time	acceleration_x	acceleration_y	acceleration_z	gyroscope_x	gyroscope_y	gyroscope_z	magnetometer_x	magnetometer_y	magnetometer_z	quaternion_w	quaternion_x	quaternion_y	quaternion_z
0	-9.6356	0.1487	-0.4568	-0.0202	0.0040	-0.0536	34.1120	21.5587	-6.4626	0.6694	0.1921	0.6948	-0.1800
0.01	-9.6520	0.1368	-0.4602	-0.0206	0.0102	-0.0571	33.6781	21.4995	-6.3882	0.6693	0.1920	0.6948	-0.1799
0.02	-9.6520	0.1187	-0.4808	-0.0201	0.0042	-0.0600	33.4775	21.4242	-6.3665	0.6693	0.1920	0.6949	-0.1799
0.03	-9.6542	0.1222	-0.4714	-0.0234	0.0007	-0.0596	33.3943	21.3602	-6.4466	0.6693	0.1919	0.6949	-0.1798
0.04	-9.6583	0.1224	-0.4729	-0.0207	0.0004	-0.0594	33.4784	21.5406	-6.5056	0.6693	0.1918	0.6950	-0.1798
0.05	-9.6541	0.1087	-0.4875	-0.0251	0.0024	-0.0560	33.6360	21.4976	-6.5815	0.6693	0.1918	0.6950	-0.1797
0.06	-9.6428	0.1040	-0.4841	-0.0228	-0.0047	-0.0593	33.5369	21.4432	-6.5497	0.6692	0.1917	0.6950	-0.1797
0.07	-9.6353	0.0965	-0.4749	-0.0235	0.0008	-0.0553	33.5522	21.5700	-6.2633	0.6693	0.1916	0.6951	-0.1797
0.08	-9.6393	0.0879	-0.4837	-0.0226	0.0032	-0.0623	33.5001	21.5706	-6.4055	0.6692	0.1916	0.6951	-0.1796
0.09	-9.6462	0.0844	-0.4898	-0.0206	0.0042	-0.0592	33.4241	21.6948	-6.6662	0.6693	0.1915	0.6952	-0.1796
0.1	-9.6459	0.0803	-0.4833	-0.0211	0.0041	-0.0569	33.5483	21.4956	-6.3715	0.6692	0.1914	0.6952	-0.1795
0.11	-9.6491	0.0804	-0.4862	-0.0211	0.0033	-0.0546	33.5464	21.7432	-6.4855	0.6692	0.1914	0.6952	-0.1795
0.12	-9.6430	0.0819	-0.4908	-0.0188	-0.0003	-0.0632	33.3356	21.6134	-6.4717	0.6692	0.1913	0.6953	-0.1794
0.13	-9.6409	0.0858	-0.4824	-0.0127	0.0036	-0.0644	33.4652	21.5111	-6.3945	0.6691	0.1913	0.6953	-0.1794
0.14	-9.6516	0.0902	-0.4854	-0.0190	-0.0021	-0.0533	33.5076	21.7647	-6.5382	0.6692	0.1913	0.6954	-0.1794
0.15	-9.6509	0.0962	-0.4902	-0.0117	-0.0029	-0.0543	33.5162	21.5761	-6.2282	0.6691	0.1912	0.6953	-0.1794
0.16	-9.6413	0.0939	-0.4832	-0.0094	-0.0026	-0.0554	33.6652	21.2754	-6.4943	0.6692	0.1912	0.6954	-0.1794
