name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	100.493	30.708	35.510	110.918	16.992	18.672	-16.992	0.396	9	9
Fp2	101.971	-34.012	35.550	113.219	-18.446	18.300	18.446	0.398	18	24
F7	56.789	75.513	40.914	102.962	53.055	23.414	-53.055	0.370	12	6
F3	72.389	50.760	85.550	123.026	35.039	44.058	-35.039	0.255	2	1
Fz	77.139	-4.018	108.227	132.965	-2.982	54.484	2.982	0.197	4	4
F4	71.512	-53.342	87.933	125.266	-36.720	44.585	36.720	0.252	13	7
F8	54.534	-82.246	37.794	105.673	-56.453	20.956	56.453	0.384	9	5
FC5	36.989	77.675	75.682	114.583	64.536	41.338	-64.536	0.270	6	4
FC1	44.613	30.803	125.526	136.733	34.623	66.641	-34.623	0.130	20	11
FC2	44.895	-37.688	123.358	136.577	-40.013	64.584	40.013	0.141	2	0
FC6	36.988	-83.437	72.453	116.530	-66.092	38.444	66.092	0.286	7	5
T7	-3.225	90.185	49.387	102.873	92.048	28.690	-92.048	0.341	18	6
C3	9.095	63.045	113.786	130.402	81.791	60.760	-81.791	0.162	16	6
Cz	12.206	-4.999	146.538	147.130	-22.270	84.857	22.270	0.029	4	3
C4	9.272	-70.276	111.384	132.027	-82.484	57.527	82.484	0.180	9	5
T8	-2.956	-97.495	47.359	108.429	-91.736	25.898	91.736	0.356	20	13
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	24	13
CP5	-30.318	77.983	85.904	119.917	111.245	45.755	-111.245	0.246	13	6
CP1	-27.120	29.139	142.392	147.851	132.945	74.381	-132.945	0.087	10	4
CP2	-25.636	-41.724	139.898	148.221	-121.568	70.708	121.568	0.107	22	11
CP6	-31.614	-85.321	83.560	123.537	-110.331	42.563	110.331	0.264	2	2
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	35	17
P7	-62.817	71.252	56.160	110.348	131.400	30.593	-131.400	0.330	4	1
P3	-62.572	50.254	110.127	136.267	141.230	53.918	-141.230	0.200	0	0
Pz	-60.807	-5.139	131.448	144.922	-175.169	65.097	175.169	0.138	15	8
P4	-62.131	-57.843	107.617	137.067	-137.047	51.733	137.047	0.213	4	4
P8	-65.511	-78.322	57.977	117.419	-129.911	29.588	129.911	0.336	20	10
EOG_VA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	27	24
O1	-101.264	29.629	65.638	124.260	163.691	31.886	-163.691	0.323	10	5
Oz	-106.843	-3.083	66.940	126.119	-178.347	32.058	178.347	0.322	9	5
O2	-102.872	-32.645	65.546	126.272	-162.394	31.271	162.394	0.326	8	4
EOG_VB	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	10	12
AF7	79.990	59.819	36.633	106.390	36.790	20.141	-36.790	0.388	16	10
AF3	93.083	34.610	69.566	121.250	20.396	35.011	-20.396	0.305	4	4
AF4	94.305	-39.848	68.083	122.950	-22.906	33.624	22.906	0.313	17	16
AF8	82.875	-62.205	35.882	109.660	-36.892	19.100	36.892	0.394	1	2
F5	66.412	64.944	66.063	113.985	44.360	35.421	-44.360	0.303	17	8
F1	71.433	27.764	106.261	131.015	21.239	54.200	-21.239	0.199	0	0
F2	72.520	-31.506	105.284	131.668	-23.482	53.093	23.482	0.205	1	0
F6	64.989	-72.116	62.261	115.329	-47.976	32.674	47.976	0.318	4	2
AFz	99.271	-2.162	77.106	125.717	-1.248	37.831	1.248	0.290	16	9
FT7	27.623	85.669	45.031	100.648	72.128	26.578	-72.128	0.352	1	1
FC3	41.871	60.012	102.683	126.089	55.096	54.525	-55.096	0.197	4	3
FC4	42.286	-64.706	101.852	127.862	-56.835	52.804	56.835	0.207	1	0
FT8	24.945	-92.662	42.775	105.063	-74.933	24.025	74.933	0.367	0	1
