onset	duration	trial_type
0	15.18	x0
15.18	1.12	x1
16.3	0.06	x2
16.36	1.16	x1
17.52	0.06	x2
17.58	0.1	x1
17.68	0.04	x2
17.72	0.26	x1
17.98	0.48	x2
18.46	0.08	x1
18.54	0.02	x2
18.56	0.1	x1
18.66	0.1	x2
18.76	0.02	x1
18.78	0.04	x2
18.82	0.14	x1
18.96	0.02	x2
18.98	0.08	x1
19.06	0.08	x2
19.14	0.16	x1
19.3	0.02	x2
19.32	0.02	x1
19.34	0.24	x2
19.58	0.08	x1
19.66	0.36	x2
20.02	0.02	x1
20.04	0.16	x2
20.2	0.06	x1
20.26	0.02	x2
20.28	0.02	x1
20.3	0.02	x2
20.32	0.08	x1
20.4	0.06	x2
20.46	0.06	x1
20.52	0.12	x2
20.64	0.04	x1
20.68	0.06	x2
20.74	0.06	x1
20.8	0.1	x2
20.9	0.02	x1
20.92	0.28	x2
21.2	0.04	x1
21.24	0.02	x2
21.26	0.14	x1
21.4	0.04	x2
21.44	0.02	x1
21.46	0.12	x2
21.58	0.02	x1
21.6	0.02	x2
21.62	0.08	x1
21.7	0.64	x2
22.34	0.02	x1
22.36	0.02	x2
22.38	0.36	x1
22.74	0.02	x2
22.76	0.58	x1
23.34	0.46	x2
23.8	0.02	x1
23.82	0.12	x2
23.94	0.14	x1
24.08	0.04	x2
24.12	0.58	x1
24.7	0.28	x2
24.98	0.16	x1
25.14	0.14	x2
25.28	0.26	x1
25.54	0.04	x2
25.58	0.12	x1
25.7	0.02	x2
25.72	0.44	x1
26.16	0.12	x2
26.28	0.5	x1
26.78	0.06	x2
26.84	0.08	x1
26.92	0.08	x2
27	0.06	x1
27.06	0.12	x2
27.18	0.02	x1
27.2	0.14	x2
27.34	0.06	x1
27.4	0.1	x2
27.5	0.48	x1
27.98	0.84	x2
28.82	0.82	x1
29.64	0.04	x2
29.68	0.04	x1
29.72	0.26	x2
29.98	0.06	x1
30.04	0.2	x2
30.24	0.16	x1
30.4	0.14	x2
30.54	0.04	x1
30.58	0.06	x2
30.64	0.42	x1
31.06	0.04	x2
31.1	0.04	x1
31.14	0.04	x2
31.18	0.04	x1
31.22	0.08	x2
31.3	0.02	x1
31.32	0.04	x2
31.36	0.02	x1
31.38	0.02	x2
31.4	0.04	x1
31.44	0.04	x2
31.48	0.02	x1
31.5	0.58	x2
32.08	1.2	x1
33.28	1.18	x2
34.46	0.44	x1
34.9	0.06	x2
34.96	0.06	x1
35.02	0.02	x2
35.04	0.86	x1
35.9	0.12	x2
36.02	0.02	x1
36.04	0.14	x2
36.18	0.16	x1
36.34	0.06	x2
36.4	0.02	x1
36.42	0.16	x2
36.58	0.58	x1
37.16	0.04	x2
37.2	0.1	x1
37.3	0.08	x2
37.38	0.14	x1
37.52	0.76	x2
38.28	0.06	x1
38.34	0.04	x2
38.38	0.04	x1
38.42	0.06	x2
38.48	0.28	x1
38.76	0.22	x2
38.98	0.12	x1
39.1	0.1	x2
39.2	0.12	x1
39.32	0.04	x2
39.36	0.08	x1
39.44	0.08	x2
39.52	0.52	x1
40.04	0.02	x2
40.06	0.04	x1
40.1	0.24	x2
40.34	0.2	x1
40.54	0.04	x2
40.58	0.08	x1
40.66	0.04	x2
40.7	0.74	x1
41.44	0.02	x2
41.46	0.02	x1
41.48	0.04	x2
41.52	0.12	x1
41.64	0.16	x2
41.8	0.02	x1
41.82	0.02	x2
41.84	0.04	x1
41.88	0.08	x2
41.96	0.06	x1
42.02	0.26	x2
42.28	0.02	x1
42.3	0.02	x2
42.32	0.1	x1
42.42	0.06	x2
42.48	0.04	x1
42.52	0.4	x2
42.92	0.16	x1
43.08	0.02	x2
43.1	0.1	x1
43.2	0.2	x2
43.4	0.72	x1
44.12	0.32	x2
44.44	0.12	x1
44.56	0.04	x2
44.6	0.06	x1
44.66	0.78	x2
45.44	0.04	x1
45.48	0.16	x2
45.64	0.2	x1
45.84	0.02	x2
45.86	0.06	x1
45.92	0.06	x2
45.98	0.04	x1
46.02	0.08	x2
46.1	0.02	x1
46.12	0.26	x2
46.38	0.88	x1
47.26	0.06	x2
47.32	0.08	x1
47.4	1.4	x2
48.8	0.02	x1
48.82	0.06	x2
48.88	0.06	x1
48.94	0.1	x2
49.04	0.02	x1
49.06	0.02	x2
49.08	0.06	x1
49.14	0.3	x2
49.44	0.42	x1
49.86	0.02	x2
49.88	0.06	x1
49.94	0.14	x2
50.08	0.08	x1
50.16	0.1	x2
50.26	0.28	x1
50.54	0.12	x2
50.66	0.06	x1
50.72	0.16	x2
50.88	0.04	x1
50.92	0.06	x2
50.98	0.02	x1
51	0.08	x2
51.08	0.1	x1
51.18	0.52	x2
51.7	0.2	x1
51.9	0.1	x2
52	0.06	x1
52.06	0.04	x2
52.1	0.06	x1
52.16	0.02	x2
52.18	0.06	x1
52.24	0.1	x2
52.34	0.02	x1
52.36	0.04	x2
52.4	0.02	x1
52.42	0.06	x2
52.48	1.06	x1
53.54	0.2	x2
53.74	0.02	x1
53.76	0.02	x2
53.78	0.02	x1
53.8	0.2	x2
54	0.04	x1
54.04	0.38	x2
54.42	0.56	x1
54.98	0.86	x2
55.84	0.08	x1
55.92	0.24	x2
56.16	0.02	x1
56.18	0.36	x2
56.54	0.48	x1
57.02	0.36	x2
57.38	1.44	x1
58.82	0.18	x2
59	0.66	x1
59.66	0.28	x2
59.94	0.1	x1
60.04	0.16	x2
60.2	0.98	x1
61.18	0.02	x2
61.2	0.38	x1
61.58	0.14	x2
61.72	0.06	x1
61.78	0.1	x2
61.88	1.44	x1
63.32	0.12	x2
63.44	0.04	x1
63.48	0.26	x2
63.74	0.1	x1
63.84	0.14	x2
63.98	0.56	x1
64.54	0.02	x2
64.56	0.02	x1
64.58	0.02	x2
64.6	0.18	x1
64.78	0.1	x2
64.88	0.04	x1
64.92	0.04	x2
64.96	0.04	x1
65	0.04	x2
65.04	0.02	x1
65.06	0.04	x2
65.1	0.02	x1
65.12	0.18	x2
65.3	0.38	x1
65.68	0.18	x2
65.86	0.16	x1
66.02	0.02	x2
66.04	0.08	x1
66.12	0.06	x2
66.18	0.06	x1
66.24	0.1	x2
66.34	0.74	x1
67.08	0.1	x2
67.18	0.1	x1
67.28	0.16	x2
67.44	0.04	x1
67.48	0.04	x2
67.52	0.04	x1
67.56	0.06	x2
67.62	0.06	x1
67.68	0.12	x2
67.8	0.16	x1
67.96	0.02	x2
67.98	0.18	x1
68.16	0.06	x2
68.22	0.14	x1
68.36	0.02	x2
68.38	0.18	x1
68.56	0.02	x2
68.58	0.04	x1
68.62	0.06	x2
68.68	0.92	x1
69.6	0.06	x2
69.66	0.04	x1
69.7	0.02	x2
69.72	0.7	x1
70.42	0.02	x2
70.44	0.02	x1
70.46	0.02	x2
70.48	0.1	x1
70.58	0.04	x2
70.62	0.36	x1
70.98	0.04	x2
71.02	0.1	x1
71.12	0.02	x2
71.14	0.02	x1
71.16	0.06	x2
71.22	0.06	x1
71.28	0.08	x2
71.36	0.08	x1
71.44	0.08	x2
71.52	0.54	x1
72.06	0.04	x2
72.1	0.08	x1
72.18	0.14	x2
72.32	0.1	x1
72.42	0.06	x2
72.48	0.82	x1
73.3	0.1	x2
73.4	1.22	x1
74.62	0.04	x2
74.66	0.06	x1
74.72	0.04	x2
74.76	0.96	x1
75.72	0.06	x2
75.78	0.02	x1
75.8	0.3	x2
76.1	0.02	x1
76.12	0.06	x2
76.18	0.12	x1
76.3	0.32	x2
76.62	0.2	x1
76.82	0.04	x2
76.86	0.2	x1
77.06	0.06	x2
77.12	0.14	x1
77.26	0.02	x2
77.28	1.08	x1
78.36	0.1	x2
78.46	0.58	x1
79.04	0.1	x2
79.14	0.02	x1
79.16	0.06	x2
79.22	0.46	x1
79.68	0.02	x2
79.7	0.1	x1
79.8	0.02	x2
79.82	0.3	x1
80.12	0.08	x2
