name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	98.539	35.339	40.721	112.325	19.730	21.255	-19.730	0.382	23	3
Fp2	97.513	-36.005	38.465	110.837	-20.266	20.307	20.266	0.387	20	6
F7	53.295	74.965	41.499	100.907	54.590	24.284	-54.590	0.365	0	0
F3	69.993	52.889	90.112	125.763	37.076	45.768	-37.076	0.246	15	2
Fz	74.589	-4.672	110.970	133.790	-3.584	56.041	3.584	0.189	30	5
F4	66.845	-58.036	90.548	126.631	-40.965	45.648	40.965	0.246	12	1
F8	52.942	-75.808	36.828	99.528	-55.071	21.717	55.071	0.379	26	2
FC5	32.433	77.825	75.835	113.400	67.377	41.970	-67.377	0.267	43	7
FC1	43.275	33.009	126.309	137.536	37.335	66.689	-37.335	0.130	13	2
FC2	42.640	-39.746	125.145	138.055	-42.988	65.024	42.988	0.139	49	8
FC6	34.566	-82.828	71.192	114.559	-67.348	38.422	67.348	0.287	37	4
T7	-4.052	87.391	51.955	101.750	92.654	30.705	-92.654	0.329	50	10
C3	8.161	65.908	117.117	134.636	82.942	60.444	-82.942	0.164	23	3
Cz	12.240	-4.547	146.100	146.683	-20.378	84.893	20.378	0.028	6	4
C4	8.298	-71.065	115.812	136.131	-83.340	58.292	83.340	0.176	17	1
T8	-3.013	-93.081	43.505	102.791	-91.854	25.039	91.854	0.361	44	11
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	18	5
CP5	-32.346	77.741	89.407	122.815	112.591	46.717	-112.591	0.240	29	4
CP1	-21.965	31.450	144.309	149.321	124.931	75.114	-124.931	0.083	21	2
CP2	-23.993	-38.611	142.746	149.809	-121.856	72.336	121.856	0.098	13	2
CP6	-26.285	-86.707	88.282	126.502	-106.865	44.256	106.865	0.254	34	10
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	21	8
P7	-61.154	69.502	61.686	111.245	131.344	33.676	-131.344	0.313	50	16
P3	-57.272	51.045	116.642	139.610	138.291	56.666	-138.291	0.185	23	4
Pz	-57.598	-6.641	134.366	146.341	-173.422	66.660	173.422	0.130	2	1
P4	-56.609	-58.834	112.377	138.905	-133.896	54.000	133.896	0.200	29	4
P8	-58.150	-76.427	59.734	113.096	-127.266	31.882	127.266	0.323	15	0
EOG_VA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	2
O1	-96.988	23.713	72.841	123.591	166.261	36.113	-166.261	0.299	48	8
Oz	-102.967	-10.704	73.905	127.196	-174.065	35.523	174.065	0.303	9	9
O2	-95.158	-37.698	70.369	124.209	-158.388	34.509	158.388	0.308	49	8
EOG_VB	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	41	14
AF7	76.694	60.463	39.400	105.309	38.251	21.971	-38.251	0.378	33	7
AF3	92.457	36.702	74.246	124.128	21.651	36.737	-21.651	0.296	1	0
AF4	90.238	-41.893	71.826	122.706	-24.903	35.827	24.903	0.301	26	4
AF8	78.668	-60.242	35.878	105.380	-37.444	19.905	37.444	0.389	36	5
F5	64.042	66.903	64.790	113.027	46.251	34.975	-46.251	0.306	0	0
F1	72.973	28.251	107.034	132.587	21.163	53.830	-21.163	0.201	0	18
F2	73.847	-32.602	105.395	132.757	-23.821	52.551	23.821	0.208	31	3
F6	64.090	-69.167	64.113	114.027	-47.181	34.213	47.181	0.310	20	5
AFz	97.378	-4.693	79.223	125.621	-2.759	39.098	2.759	0.283	17	2
FT7	24.897	85.086	44.746	99.306	73.690	26.782	-73.690	0.351	47	9
FC3	41.449	59.766	105.850	128.430	55.258	55.506	-55.258	0.192	10	3
FC4	40.482	-66.025	103.615	129.360	-58.486	53.224	58.486	0.204	22	2
FT8	27.153	-89.496	39.382	101.479	-73.122	22.835	73.122	0.373	20	3
FCz	43.821	-4.239	133.588	140.655	-5.526	71.760	5.526	0.101	18	6
C5	0.562	83.857	83.166	118.105	89.616	44.762	-89.616	0.251	28	2
C1	13.238	34.643	138.976	143.839	69.087	75.059	-69.087	0.083	24	3
C2	11.077	-41.304	139.930	146.319	-74.988	73.006	74.988	0.094	46	6
C6	4.340	-89.916	79.057	119.807	-87.237	41.290	87.237	0.271	42	13
TP7	-35.939	81.555	59.070	106.921	113.782	33.536	-113.782	0.314	16	10
CP3	-26.551	63.543	122.052	140.141	112.678	60.566	-112.678	0.164	10	3
CPz	-24.112	-5.196	149.191	151.217	-167.840	80.612	167.840	0.052	13	1
CP4	-25.422	-68.683	122.097	142.378	-110.311	59.044	110.311	0.172	33	2
TP8	-32.848	-90.236	52.135	109.268	-110.003	28.498	110.003	0.342	36	13
P5	-60.136	63.535	90.234	125.678	133.426	45.887	-133.426	0.245	22	7
P1	-56.965	26.940	132.518	146.737	154.690	64.568	-154.690	0.141	11	1
P2	-56.657	-34.703	130.888	146.785	-148.512	63.087	148.512	0.150	3	2
P6	-57.285	-73.605	87.322	127.767	-127.893	43.114	127.893	0.260	41	2
PO7	-81.424	51.739	68.597	118.374	147.567	35.415	-147.567	0.303	24	10
