name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	103.938	38.875	33.948	116.046	20.507	17.010	-20.507	0.405	6	2
Fp2	103.669	-34.133	36.290	115.018	-18.224	18.392	18.224	0.398	5	25
F7	55.362	82.239	35.687	105.365	56.052	19.798	-56.052	0.390	14	6
F3	70.344	56.892	88.108	126.285	38.965	44.242	-38.965	0.254	18	93
Fz	82.167	0.107	110.003	137.303	0.075	53.242	-0.075	0.204	13	7
F4	69.375	-57.253	87.926	125.784	-39.532	44.348	39.532	0.254	0	0
F8	51.934	-80.021	32.880	100.904	-57.017	19.017	57.017	0.394	11	8
FC5	34.198	87.347	70.357	117.257	68.619	36.872	-68.619	0.295	37	15
FC1	44.124	38.184	127.162	139.911	40.872	65.351	-40.872	0.137	7	5
FC2	46.008	-35.717	127.195	139.897	-37.823	65.396	37.823	0.137	36	19
FC6	34.327	-87.278	69.835	116.930	-68.530	36.672	68.530	0.296	18	13
T7	-5.161	97.848	38.347	105.221	93.019	21.373	-93.019	0.381	16	8
C3	4.782	72.187	114.780	135.677	86.210	57.777	-86.210	0.179	19	12
Cz	9.107	-0.142	147.792	148.073	-0.893	86.474	0.893	0.020	7	6
C4	3.529	-72.061	113.200	134.237	-87.197	57.489	87.197	0.181	29	7
T8	-7.299	-94.824	36.841	101.990	-94.402	21.175	94.402	0.382	7	4
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	18	3
CP5	-36.658	93.753	79.143	128.051	111.356	38.174	-111.356	0.288	15	2
CP1	-31.959	37.266	143.339	151.513	130.617	71.094	-130.617	0.105	6	2
CP2	-33.184	-35.412	142.089	150.148	-133.140	71.143	133.140	0.105	7	3
CP6	-39.949	-87.394	79.848	124.937	-114.566	39.725	114.566	0.279	3	4
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	10	2
P7	-68.015	87.014	45.125	119.306	128.013	22.224	-128.013	0.377	25	18
P3	-74.268	63.439	110.853	147.745	139.496	48.616	-139.496	0.230	19	11
Pz	-73.270	1.798	132.875	151.748	178.594	61.119	-178.594	0.160	0	0
P4	-74.773	-57.383	106.437	142.171	-142.496	48.474	142.496	0.231	24	8
P8	-72.306	-77.804	50.317	117.531	-132.902	25.348	132.902	0.359	19	7
EOG_VA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	17	6
O1	-115.088	38.125	61.951	136.150	161.672	27.066	-161.672	0.350	24	9
Oz	-119.405	5.190	63.926	135.539	177.511	28.141	-177.511	0.344	21	10
O2	-114.846	-28.797	63.174	134.201	-165.924	28.082	165.924	0.344	10	7
EOG_VB	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8	0
AF7	81.226	66.923	35.164	110.964	39.486	18.475	-39.486	0.397	5	2
AF3	95.916	39.101	70.914	125.529	22.179	34.397	-22.179	0.309	6	3
AF4	99.100	-35.904	66.168	124.451	-19.915	32.119	19.915	0.322	19	12
AF8	81.707	-62.954	34.787	108.855	-37.614	18.637	37.614	0.396	5	4
F5	65.811	74.207	61.379	116.641	48.432	31.750	-48.432	0.324	23	14
F1	75.035	34.546	106.299	134.623	24.721	52.149	-24.721	0.210	26	20
F2	78.259	-32.201	104.757	134.667	-22.366	51.068	22.366	0.216	27	16
F6	64.152	-73.152	57.939	113.241	-48.750	30.773	48.750	0.329	13	8
AFz	102.422	1.372	76.599	127.904	0.767	36.789	-0.767	0.296	10	8
FT7	25.339	92.558	38.498	103.398	74.689	21.859	-74.689	0.379	28	15
FC3	40.329	67.336	103.290	129.728	59.082	52.769	-59.082	0.207	30	12
FC4	40.571	-68.103	103.197	130.129	-59.217	52.470	59.217	0.209	22	18
FT8	22.862	-90.011	37.491	100.151	-75.749	21.984	75.749	0.378	3	1
FCz	49.473	-0.283	133.597	142.464	-0.328	69.679	0.328	0.113	28	9
C5	-1.384	94.324	77.156	121.869	90.841	39.279	-90.841	0.282	11	8
C1	8.121	38.057	139.761	145.077	77.954	74.441	-77.954	0.086	43	24
C2	9.322	-36.045	139.371	144.258	-75.500	75.044	75.500	0.083	4	7
C6	-2.537	-93.108	75.920	120.164	-91.561	39.183	91.561	0.282	26	20
TP7	-39.364	96.278	45.248	113.430	112.238	23.510	-112.238	0.369	8	3
CP3	-33.306	73.045	119.259	143.762	114.512	56.053	-114.512	0.189	20	14
CPz	-34.949	1.735	148.470	152.537	177.158	76.738	-177.158	0.074	44	24
CP4	-36.183	-68.337	117.183	140.396	-117.900	56.581	117.900	0.186	6	3
TP8	-45.655	-89.601	41.949	108.961	-117.001	22.643	117.001	0.374	20	15
P5	-72.442	80.729	80.564	135.114	131.903	36.603	-131.903	0.297	25	10
P1	-72.195	37.397	130.008	153.339	152.616	57.978	-152.616	0.178	2	1
P2	-69.819	-30.523	131.701	152.156	-156.386	59.947	156.386	0.167	14	14
P6	-73.576	-72.551	78.685	129.878	-135.402	37.289	135.402	0.293	13	5
PO7	-96.598	65.830	56.074	129.649	145.726	25.627	-145.726	0.358	26	12
PO3	-103.019	39.220	95.288	145.708	159.158	40.841	-159.158	0.273	27	6
POz	-101.532	2.291	104.355	145.616	178.708	45.778	-178.708	0.246	19	6
PO4	-100.094	-35.155	96.812	143.622	-160.647	42.382	160.647	0.265	33	15
PO8	-98.463	-57.441	54.479	126.343	-149.742	25.544	149.742	0.358	8	4
Ref	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	0
Gnd	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	24	17
LPA	0.000	94.143	0.000	94.143	90.000	0.000	-90.000	0.500	n/a	n/a
RPA	0.000	-90.627	0.000	90.627	-90.000	0.000	90.000	0.500	n/a	n/a
Nz	106.536	-0.000	0.000	106.536	-0.000	0.000	0.000	0.500	n/a	n/a
