name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	100.417	32.978	42.634	113.968	18.180	21.968	-18.180	0.378	19	4
Fp2	99.825	-34.096	43.314	114.034	-18.858	22.323	18.858	0.376	20	9
F7	52.417	71.733	38.019	96.636	53.843	23.168	-53.843	0.371	41	11
F3	69.379	53.757	88.991	124.990	37.769	45.396	-37.769	0.248	12	3
Fz	75.119	-2.229	112.688	135.449	-1.700	56.301	1.700	0.187	25	7
F4	65.909	-55.959	92.808	126.842	-40.333	47.028	40.333	0.239	6	0
F8	55.208	-77.113	39.648	102.792	-54.400	22.688	54.400	0.374	1	2
FC5	31.420	76.311	71.793	109.384	67.621	41.022	-67.621	0.272	12	6
FC1	41.746	33.726	125.341	136.347	38.934	66.821	-38.934	0.129	11	1
FC2	43.002	-38.670	127.514	140.016	-41.964	65.604	41.964	0.136	44	16
FC6	36.641	-83.128	74.668	117.593	-66.213	39.418	66.213	0.281	27	7
T7	-5.146	81.038	45.814	93.234	93.634	29.432	-93.634	0.336	44	15
C3	6.210	65.757	111.883	129.925	84.605	59.445	-84.605	0.170	16	5
Cz	10.750	-2.316	146.702	147.114	-12.157	85.713	12.157	0.024	31	8
C4	10.936	-72.591	117.838	138.834	-81.433	58.078	81.433	0.177	26	6
T8	-0.472	-97.254	48.080	108.491	-90.278	26.306	90.278	0.354	47	26
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	10	5
CP5	-33.138	75.429	82.333	116.475	113.717	44.981	-113.717	0.250	37	15
CP1	-24.577	31.842	142.255	147.833	127.663	74.211	-127.663	0.088	44	16
CP2	-24.921	-38.656	143.795	150.971	-122.809	72.263	122.809	0.099	30	7
CP6	-24.639	-87.972	91.469	129.278	-105.646	45.035	105.646	0.250	17	3
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	1
P7	-60.922	62.424	54.472	102.837	134.302	31.985	-134.302	0.322	14	22
P3	-57.471	50.517	111.099	134.900	138.684	55.444	-138.684	0.192	32	7
Pz	-59.019	-5.973	133.249	145.857	-174.221	66.002	174.221	0.133	29	0
P4	-55.462	-59.535	112.910	139.173	-132.972	54.223	132.972	0.199	9	3
P8	-57.639	-80.073	63.032	117.077	-125.747	32.574	125.747	0.319	7	3
