onset	duration	trial_type
0	15.18	x0
15.18	1.44	x1
16.62	0.1	x2
16.72	0.04	x1
16.76	0.02	x2
16.78	0.64	x1
17.42	0.02	x2
17.44	0.1	x1
17.54	0.2	x2
17.74	0.14	x1
17.88	0.02	x2
17.9	0.08	x1
17.98	0.04	x2
18.02	0.04	x1
18.06	0.1	x2
18.16	0.42	x1
18.58	0.02	x2
18.6	0.02	x1
18.62	0.04	x2
18.66	0.34	x1
19	0.04	x2
19.04	0.1	x1
19.14	0.02	x2
19.16	0.12	x1
19.28	0.08	x2
19.36	0.06	x1
19.42	0.24	x2
19.66	0.8	x1
20.46	0.22	x2
20.68	1.1	x1
21.78	0.02	x2
21.8	0.94	x1
22.74	0.02	x2
22.76	0.02	x1
22.78	0.06	x2
22.84	0.06	x1
22.9	0.12	x2
23.02	1.44	x1
24.46	0.06	x2
24.52	0.02	x1
24.54	0.04	x2
24.58	0.1	x1
24.68	0.04	x2
24.72	0.36	x1
25.08	0.02	x2
25.1	0.42	x1
25.52	0.02	x2
25.54	0.02	x1
25.56	0.22	x2
25.78	0.06	x1
25.84	0.04	x2
25.88	0.2	x1
26.08	0.02	x2
26.1	0.04	x1
26.14	0.02	x2
26.16	0.02	x1
26.18	0.02	x2
26.2	0.24	x1
26.44	0.16	x2
26.6	0.02	x1
26.62	0.06	x2
26.68	0.16	x1
26.84	0.04	x2
26.88	0.36	x1
27.24	0.04	x2
27.28	0.02	x1
27.3	0.02	x2
27.32	0.44	x1
27.76	0.06	x2
27.82	0.04	x1
27.86	0.02	x2
27.88	0.4	x1
28.28	0.02	x2
28.3	2.5	x1
30.8	0.04	x2
30.84	0.02	x1
30.86	0.08	x2
30.94	0.02	x1
30.96	0.12	x2
31.08	0.02	x1
31.1	0.26	x2
31.36	0.14	x1
31.5	0.02	x2
31.52	0.2	x1
31.72	0.04	x2
31.76	0.1	x1
31.86	0.02	x2
31.88	0.04	x1
31.92	0.02	x2
31.94	0.04	x1
31.98	0.02	x2
32	0.34	x1
32.34	0.04	x2
32.38	0.04	x1
32.42	0.02	x2
32.44	0.04	x1
32.48	0.12	x2
32.6	0.04	x1
32.64	0.02	x2
32.66	0.02	x1
32.68	0.14	x2
32.82	0.04	x1
32.86	0.08	x2
32.94	0.02	x1
32.96	0.06	x2
33.02	0.32	x1
33.34	0.2	x2
33.54	0.4	x1
33.94	0.16	x2
34.1	0.02	x1
34.12	0.02	x2
34.14	0.06	x1
34.2	0.26	x2
34.46	0.08	x1
34.54	0.04	x2
34.58	0.16	x1
34.74	0.12	x2
34.86	0.02	x1
34.88	0.04	x2
34.92	0.08	x1
35	0.16	x2
35.16	0.22	x1
35.38	0.14	x2
35.52	0.02	x1
35.54	0.36	x2
35.9	0.44	x1
36.34	0.06	x2
36.4	0.06	x1
36.46	0.02	x2
36.48	0.04	x1
36.52	0.04	x2
36.56	0.08	x1
36.64	0.02	x2
36.66	0.16	x1
36.82	0.12	x2
36.94	0.2	x1
37.14	0.04	x2
37.18	0.02	x1
37.2	0.02	x2
37.22	0.02	x1
37.24	0.02	x2
37.26	0.16	x1
37.42	0.02	x2
37.44	0.02	x1
37.46	0.08	x2
37.54	0.04	x1
37.58	0.48	x2
38.06	0.04	x1
38.1	0.04	x2
38.14	0.04	x1
38.18	0.04	x2
38.22	0.04	x1
38.26	0.06	x2
38.32	0.02	x1
38.34	0.16	x2
38.5	0.02	x1
38.52	0.06	x2
38.58	0.02	x1
38.6	0.02	x2
38.62	0.02	x1
38.64	0.46	x2
39.1	0.02	x1
39.12	0.08	x2
39.2	0.02	x1
39.22	0.02	x2
39.24	0.1	x1
39.34	0.02	x2
39.36	0.58	x1
39.94	0.32	x2
40.26	0.16	x1
40.42	0.02	x2
40.44	0.22	x1
40.66	0.08	x2
40.74	0.2	x1
40.94	0.02	x2
40.96	0.44	x1
41.4	0.02	x2
41.42	0.02	x1
41.44	0.3	x2
41.74	0.04	x1
41.78	0.84	x2
42.62	0.24	x1
42.86	0.02	x2
42.88	0.04	x1
42.92	0.02	x2
42.94	0.04	x1
42.98	0.06	x2
43.04	0.04	x1
43.08	0.18	x2
43.26	0.02	x1
43.28	0.64	x2
43.92	0.16	x1
44.08	0.4	x2
44.48	0.1	x1
44.58	0.24	x2
44.82	0.04	x1
44.86	0.02	x2
44.88	0.02	x1
44.9	0.04	x2
44.94	0.02	x1
44.96	0.02	x2
44.98	0.02	x1
45	0.04	x2
45.04	0.08	x1
45.12	0.52	x2
45.64	0.02	x1
45.66	0.22	x2
45.88	0.12	x1
46	0.42	x2
46.42	0.2	x1
46.62	0.16	x2
46.78	0.04	x1
46.82	1.14	x2
47.96	0.04	x1
48	0.1	x2
48.1	0.04	x1
48.14	0.28	x2
48.42	0.2	x1
48.62	0.04	x2
48.66	0.3	x1
48.96	0.52	x2
49.48	0.02	x1
49.5	1.14	x2
50.64	0.08	x1
50.72	0.14	x2
50.86	0.14	x1
51	0.04	x2
51.04	0.58	x1
51.62	0.54	x2
52.16	0.5	x1
52.66	0.1	x2
52.76	0.02	x1
52.78	0.04	x2
52.82	0.06	x1
52.88	0.34	x2
53.22	0.04	x1
53.26	0.02	x2
53.28	0.12	x1
53.4	0.14	x2
53.54	0.4	x1
53.94	0.3	x2
54.24	0.8	x1
55.04	0.32	x2
55.36	0.12	x1
55.48	0.04	x2
55.52	0.34	x1
55.86	0.52	x2
56.38	0.04	x1
56.42	0.02	x2
56.44	0.02	x1
56.46	0.02	x2
56.48	0.12	x1
56.6	0.04	x2
56.64	0.02	x1
56.66	0.04	x2
56.7	0.12	x1
56.82	0.68	x2
57.5	0.42	x1
57.92	0.24	x2
58.16	0.04	x1
58.2	0.38	x2
58.58	0.52	x1
59.1	0.94	x2
60.04	0.16	x1
60.2	0.3	x2
60.5	0.14	x1
60.64	0.04	x2
60.68	0.28	x1
60.96	0.26	x2
61.22	0.02	x1
61.24	0.22	x2
61.46	0.02	x1
61.48	0.4	x2
61.88	0.1	x1
61.98	0.96	x2
62.94	0.08	x1
63.02	0.06	x2
63.08	0.02	x1
63.1	0.02	x2
63.12	0.1	x1
63.22	0.08	x2
63.3	0.04	x1
63.34	0.36	x2
63.7	0.04	x1
63.74	0.34	x2
64.08	0.02	x1
64.1	0.02	x2
64.12	0.08	x1
64.2	0.12	x2
64.32	0.04	x1
64.36	0.02	x2
64.38	0.02	x1
64.4	0.02	x2
64.42	0.04	x1
64.46	0.02	x2
64.48	0.28	x1
64.76	0.22	x2
64.98	0.02	x1
65	0.08	x2
65.08	0.4	x1
65.48	0.02	x2
65.5	0.38	x1
65.88	0.04	x2
65.92	0.02	x1
65.94	0.12	x2
66.06	0.12	x1
66.18	0.12	x2
66.3	0.12	x1
66.42	0.02	x2
66.44	0.02	x1
66.46	0.88	x2
67.34	0.14	x1
67.48	0.28	x2
67.76	0.08	x1
67.84	0.2	x2
68.04	0.14	x1
68.18	0.06	x2
68.24	0.3	x1
68.54	0.72	x2
69.26	0.42	x1
69.68	0.08	x2
69.76	0.02	x1
69.78	0.86	x2
70.64	0.02	x1
70.66	0.16	x2
70.82	0.02	x1
70.84	0.54	x2
71.38	0.24	x1
71.62	0.3	x2
71.92	0.04	x1
71.96	0.14	x2
72.1	0.02	x1
72.12	0.02	x2
72.14	0.3	x1
72.44	0.02	x2
72.46	0.02	x1
72.48	0.54	x2
73.02	0.1	x1
73.12	0.06	x2
73.18	0.02	x1
73.2	0.12	x2
73.32	0.06	x1
73.38	0.36	x2
73.74	0.1	x1
73.84	0.04	x2
73.88	0.1	x1
73.98	0.2	x2
74.18	0.1	x1
74.28	0.18	x2
74.46	0.08	x1
74.54	0.02	x2
74.56	0.64	x1
75.2	0.1	x2
75.3	0.12	x1
75.42	0.14	x2
75.56	0.12	x1
75.68	0.02	x2
75.7	0.04	x1
75.74	0.02	x2
75.76	0.02	x1
75.78	0.04	x2
75.82	0.04	x1
75.86	0.08	x2
75.94	0.06	x1
76	0.04	x2
76.04	0.04	x1
76.08	0.06	x2
76.14	0.06	x1
76.2	0.04	x2
76.24	0.04	x1
76.28	0.14	x2
76.42	0.04	x1
76.46	0.22	x2
76.68	0.12	x1
76.8	0.26	x2
77.06	0.22	x1
77.28	0.18	x2
77.46	0.22	x1
77.68	0.02	x2
77.7	0.04	x1
77.74	0.6	x2
78.34	0.04	x1
78.38	0.02	x2
78.4	0.02	x1
78.42	0.66	x2
79.08	0.24	x1
79.32	1.4	x2
80.72	0.04	x1
80.76	0.04	x2
80.8	0.02	x1
80.82	0.58	x2
81.4	0.24	x1
81.64	0.04	x2
81.68	0.22	x1
81.9	0.86	x2
82.76	0.08	x1
82.84	0.18	x2
83.02	0.02	x1
83.04	0.02	x2
83.06	0.1	x1
83.16	0.02	x2
83.18	0.02	x1
83.2	0.02	x2
83.22	0.02	x1
83.24	0.44	x2
83.68	0.04	x1
83.72	0.03	x2
