onset	duration	trial_type
0	15.18	x0
15.18	0.7	x1
15.88	0.04	x2
15.92	0.18	x1
16.1	0.02	x2
16.12	1.16	x1
17.28	0.08	x2
17.36	1.46	x1
18.82	0.02	x2
18.84	0.08	x1
18.92	0.06	x2
18.98	0.14	x1
19.12	0.18	x2
19.3	0.06	x1
19.36	0.04	x2
19.4	0.04	x1
19.44	0.02	x2
19.46	0.02	x1
19.48	0.14	x2
19.62	0.44	x1
20.06	0.02	x2
20.08	0.08	x1
20.16	0.02	x2
20.18	0.08	x1
20.26	0.02	x2
20.28	0.14	x1
20.42	0.06	x2
20.48	0.44	x1
20.92	0.08	x2
21	0.04	x1
21.04	0.02	x2
21.06	0.04	x1
21.1	0.02	x2
21.12	0.06	x1
21.18	0.04	x2
21.22	0.12	x1
21.34	0.1	x2
21.44	1	x1
22.44	0.02	x2
22.46	0.98	x1
23.44	0.02	x2
23.46	0.28	x1
23.74	0.16	x2
23.9	0.02	x1
23.92	0.04	x2
23.96	0.02	x1
23.98	0.16	x2
24.14	0.98	x1
25.12	0.02	x2
25.14	0.04	x1
25.18	0.34	x2
25.52	0.12	x1
25.64	0.06	x2
25.7	0.02	x1
25.72	0.02	x2
25.74	0.06	x1
25.8	0.38	x2
26.18	0.16	x1
26.34	0.02	x2
26.36	1.08	x1
27.44	0.02	x2
27.46	0.06	x1
27.52	0.02	x2
27.54	0.66	x1
28.2	0.04	x2
28.24	1.88	x1
30.12	0.06	x2
30.18	0.2	x1
30.38	0.14	x2
30.52	0.02	x1
30.54	0.06	x2
30.6	0.08	x1
30.68	0.02	x2
30.7	0.08	x1
30.78	0.04	x2
30.82	0.02	x1
30.84	0.1	x2
30.94	0.38	x1
31.32	0.02	x2
31.34	0.5	x1
31.84	0.04	x2
31.88	0.08	x1
31.96	0.02	x2
31.98	0.06	x1
32.04	0.1	x2
32.14	0.34	x1
32.48	0.12	x2
32.6	0.08	x1
32.68	0.02	x2
32.7	0.36	x1
33.06	0.26	x2
33.32	0.62	x1
33.94	0.02	x2
33.96	0.38	x1
34.34	0.04	x2
34.38	0.1	x1
34.48	0.06	x2
34.54	0.16	x1
34.7	0.04	x2
34.74	0.04	x1
34.78	0.04	x2
34.82	0.04	x1
34.86	0.08	x2
34.94	0.02	x1
34.96	0.06	x2
35.02	0.14	x1
35.16	0.04	x2
35.2	0.36	x1
35.56	0.48	x2
36.04	0.1	x1
36.14	0.06	x2
36.2	0.36	x1
36.56	0.02	x2
36.58	0.32	x1
36.9	0.02	x2
36.92	0.24	x1
37.16	0.08	x2
37.24	0.16	x1
37.4	0.06	x2
37.46	0.02	x1
37.48	0.06	x2
37.54	2.46	x1
40	0.04	x2
40.04	0.02	x1
40.06	0.04	x2
40.1	0.68	x1
40.78	0.04	x2
40.82	0.06	x1
40.88	0.04	x2
40.92	0.04	x1
40.96	0.18	x2
41.14	0.04	x1
41.18	0.08	x2
41.26	0.02	x1
41.28	0.02	x2
41.3	0.04	x1
41.34	0.02	x2
41.36	0.04	x1
41.4	0.04	x2
41.44	1.16	x1
42.6	0.02	x2
42.62	0.02	x1
