name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	96.508	31.762	33.955	107.124	18.217	18.480	-18.217	0.397	2	2
Fp2	97.336	-33.837	35.714	109.064	-19.169	19.115	19.169	0.394	7	7
F7	52.760	76.468	37.417	100.155	55.396	21.937	-55.396	0.378	9	5
F3	67.098	52.093	83.222	118.919	37.825	44.412	-37.825	0.253	7	4
Fz	70.811	-2.132	106.588	127.983	-1.725	56.390	1.725	0.187	16	5
F4	66.200	-52.895	86.574	121.142	-38.626	45.614	38.626	0.247	9	6
F8	51.792	-81.073	35.237	102.455	-57.428	20.116	57.428	0.388	9	4
FC5	31.390	80.319	70.449	111.354	68.653	39.247	-68.653	0.282	1	1
FC1	37.397	32.822	123.666	133.301	41.272	68.082	-41.272	0.122	0	0
FC2	39.164	-36.431	121.756	132.987	-42.929	66.284	42.929	0.132	3	1
FC6	32.875	-83.072	69.805	113.378	-68.409	38.002	68.409	0.289	1	2
T7	-7.515	91.740	41.781	101.086	94.683	24.414	-94.683	0.364	2	3
C3	2.832	64.711	110.103	127.742	87.494	59.532	-87.494	0.169	5	2
Cz	6.143	-3.668	143.909	144.087	-30.844	87.154	30.844	0.016	3	2
C4	4.409	-69.690	110.084	130.363	-86.380	57.612	86.380	0.180	1	1
T8	-4.786	-95.851	42.443	104.936	-92.858	23.857	92.858	0.367	13	5
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	15	7
CP5	-35.100	79.207	79.043	117.275	113.901	42.376	-113.901	0.265	6	4
CP1	-33.409	31.716	138.284	145.755	136.489	71.576	-136.489	0.102	14	8
CP2	-32.578	-40.915	136.662	146.328	-128.528	69.058	128.528	0.116	13	7
CP6	-33.749	-86.311	80.612	122.828	-111.356	41.018	111.356	0.272	0	1
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	10	7
P7	-67.024	72.431	49.262	110.296	132.780	26.528	-132.780	0.353	3	3
P3	-68.661	51.225	105.022	135.529	143.275	50.796	-143.275	0.218	9	5
Pz	-68.058	-5.081	125.538	142.890	-175.731	61.470	175.731	0.159	8	9
P4	-66.262	-57.335	103.465	135.584	-139.131	49.739	139.131	0.224	4	4
P8	-66.434	-79.287	54.060	116.716	-129.959	27.593	129.959	0.347	1	0
EOG_VA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	15	9
O1	-105.789	29.790	58.885	124.685	164.273	28.182	-164.273	0.343	12	5
Oz	-110.683	-3.897	61.036	126.457	-177.984	28.859	177.984	0.340	14	4
O2	-106.016	-33.753	59.035	125.952	-162.340	27.951	162.340	0.345	19	6
EOG_VB	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6	9
AF7	75.961	61.011	33.818	103.132	38.771	19.142	-38.771	0.394	4	3
AF3	88.421	36.067	67.967	117.212	22.191	35.441	-22.191	0.303	0	0
AF4	90.258	-38.308	66.643	118.555	-22.998	34.203	22.998	0.310	6	4
AF8	79.215	-61.333	34.550	105.974	-37.749	19.027	37.749	0.394	13	13
F5	61.487	66.292	63.354	110.404	47.154	35.018	-47.154	0.305	5	4
F1	66.180	29.761	103.655	126.530	24.213	55.006	-24.213	0.194	2	1
F2	67.063	-30.236	104.511	127.806	-24.268	54.859	24.268	0.195	1	1
F6	60.998	-71.294	60.420	111.598	-49.450	32.779	49.450	0.318	11	4
AFz	93.543	-0.555	76.827	121.049	-0.340	39.396	0.340	0.281	1	1
FT7	24.638	87.278	39.793	99.035	74.236	23.691	-74.236	0.368	2	2
FC3	36.227	62.053	100.384	123.450	59.724	54.405	-59.724	0.198	0	0
FC4	36.012	-63.675	101.463	125.084	-60.509	54.209	60.509	0.199	0	1
FT8	21.633	-91.884	37.986	101.752	-76.752	21.921	76.752	0.378	3	3
FCz	41.278	-2.249	129.956	136.373	-3.119	72.354	3.119	0.098	8	2
C5	-1.743	84.384	76.113	113.652	91.183	42.044	-91.183	0.266	0	0
C1	5.898	33.016	136.237	140.304	79.872	76.170	-79.872	0.077	11	5
C2	4.720	-40.583	134.963	141.011	-83.366	73.158	83.366	0.094	4	3
C6	-0.673	-90.886	75.120	117.914	-90.424	39.574	90.424	0.280	15	7
TP7	-40.017	84.727	46.870	104.770	115.282	26.575	-115.282	0.352	13	6
CP3	-33.174	64.259	112.609	133.830	117.305	57.292	-117.305	0.182	2	1
CPz	-33.939	-4.541	143.819	147.839	-172.379	76.608	172.379	0.074	0	0
CP4	-30.335	-69.240	112.593	135.616	-113.659	56.123	113.659	0.188	9	3
TP8	-38.769	-92.175	49.887	111.750	-112.812	26.514	112.812	0.353	0	1
P5	-68.377	66.917	77.590	123.181	135.618	39.042	-135.618	0.283	2	1
P1	-63.451	29.517	126.019	144.146	155.052	60.956	-155.052	0.161	0	0
P2	-65.697	-35.280	123.631	144.379	-151.763	58.903	151.763	0.173	6	5
P6	-66.358	-72.133	81.775	127.647	-132.612	39.839	132.612	0.279	0	0
PO7	-90.246	52.945	54.812	118.118	149.601	27.649	-149.601	0.346	0	8
PO3	-90.974	31.597	90.715	132.302	160.847	43.288	-160.847	0.260	1	0
POz	-94.056	-3.673	97.391	135.443	-177.764	45.976	177.764	0.245	4	4
PO4	-90.271	-38.300	90.263	133.279	-157.010	42.629	157.010	0.263	11	3
PO8	-90.972	-60.740	57.897	123.763	-146.270	27.892	146.270	0.345	11	6
Ref	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	10	5
Gnd	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	26	17
LPA	0.000	86.361	0.000	86.361	90.000	0.000	-90.000	0.500	n/a	n/a
RPA	0.000	-90.863	0.000	90.863	-90.000	0.000	90.000	0.500	n/a	n/a
Nz	96.823	-0.000	0.000	96.823	-0.000	0.000	0.000	0.500	n/a	n/a
