name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	105.816	36.042	41.595	119.273	18.810	20.410	-18.810	0.387	9	7
Fp2	106.570	-41.038	39.700	120.902	-21.061	19.169	21.061	0.394	9	9
F7	53.620	77.944	44.274	104.454	55.475	25.079	-55.475	0.361	25	7
F3	68.324	52.506	97.828	130.366	37.542	48.626	-37.542	0.230	19	9
Fz	80.142	-6.794	121.350	145.584	-4.846	56.464	4.846	0.186	39	10
F4	72.387	-66.001	95.705	136.950	-42.358	44.333	42.358	0.254	41	53
F8	53.532	-87.001	36.849	108.594	-58.396	19.836	58.396	0.390	28	14
FC5	31.515	82.269	78.366	117.909	69.040	41.654	-69.040	0.269	35	20
FC1	36.187	33.253	136.822	145.380	42.581	70.242	-42.581	0.110	41	19
FC2	40.755	-43.497	136.876	149.292	-46.864	66.468	46.864	0.131	29	21
FC6	34.695	-96.629	74.060	126.593	-70.249	35.805	70.249	0.301	24	17
T7	-2.050	93.034	47.335	104.403	91.262	26.961	-91.262	0.350	15	12
C3	-3.501	69.592	122.200	140.671	92.880	60.308	-92.880	0.165	24	15
Cz	-2.860	-6.932	156.093	156.273	-112.419	87.250	112.419	0.015	15	9
C4	-2.419	-81.485	120.750	145.692	-91.701	55.976	91.701	0.189	29	15
T8	-2.253	-102.970	38.179	109.843	-91.253	20.339	91.253	0.387	44	13
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	17	14
CP5	-41.530	84.735	78.283	122.609	116.110	39.678	-116.110	0.280	24	13
CP1	-51.235	32.690	143.811	156.126	147.460	67.091	-147.460	0.127	9	12
CP2	-47.926	-43.325	142.759	156.697	-137.886	65.651	137.886	0.135	12	13
CP6	-39.226	-95.918	77.955	129.676	-112.242	36.952	112.242	0.295	56	28
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	25	11
P7	-67.921	78.673	39.152	111.066	130.805	20.641	-130.805	0.385	23	23
P3	-83.227	55.859	99.602	141.307	146.132	44.818	-146.132	0.251	39	7
Pz	-87.022	-6.195	121.727	149.762	-175.928	54.370	175.928	0.198	16	8
P4	-79.899	-67.571	96.349	142.242	-139.778	42.637	139.778	0.263	47	15
P8	-67.054	-86.269	43.593	117.639	-127.857	21.751	127.857	0.379	54	18
EOG_VA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	20	11
O1	-115.293	28.390	49.099	128.488	166.167	22.466	-166.167	0.375	33	6
Oz	-122.600	-4.030	46.621	131.227	-178.117	20.810	178.117	0.384	19	18
O2	-114.711	-38.416	47.186	129.849	-161.485	21.309	161.485	0.382	15	7
EOG_VB	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	9
AF7	80.295	63.839	44.103	111.660	38.487	23.265	-38.487	0.371	9	8
AF3	95.685	35.375	80.876	130.184	20.290	38.407	-20.290	0.287	15	11
AF4	99.607	-44.110	74.194	131.803	-23.886	34.258	23.886	0.310	26	13
AF8	83.484	-69.187	39.008	115.230	-39.650	19.787	39.650	0.390	14	7
F5	62.315	70.815	70.267	117.624	48.653	36.683	-48.653	0.296	21	13
F1	74.403	29.525	115.607	140.615	21.644	55.301	-21.644	0.193	41	5
F2	76.332	-40.315	117.167	145.534	-27.841	53.619	27.841	0.202	26	17
F6	67.395	-81.832	63.981	123.823	-50.526	31.112	50.526	0.327	54	6
AFz	105.517	-4.358	87.793	137.333	-2.365	39.737	2.365	0.279	41	22
FT7	23.831	88.062	44.219	101.381	74.858	25.859	-74.858	0.356	25	9
FC3	35.428	63.841	112.742	134.319	60.972	57.073	-60.972	0.183	30	6
FC4	35.416	-75.748	112.598	140.251	-64.942	53.401	64.942	0.203	50	45
FT8	26.768	-97.601	38.563	108.304	-74.663	20.859	74.663	0.384	42	6
FCz	41.744	-6.831	144.774	150.827	-9.293	73.713	9.293	0.090	22	25
C5	-5.597	88.056	81.057	119.814	93.637	42.572	-93.637	0.263	34	2
C1	-3.853	33.559	147.972	151.779	96.549	77.141	-96.549	0.071	26	19
C2	0.445	-43.611	147.696	154.001	-89.415	73.548	89.415	0.091	19	6
C6	-1.449	-102.274	78.869	129.161	-90.811	37.635	90.811	0.291	55	14
TP7	-39.697	88.052	42.852	105.666	114.268	23.925	-114.268	0.367	38	27
CP3	-45.328	68.586	117.902	143.735	123.460	55.113	-123.460	0.194	26	7
CPz	-51.761	-5.126	148.254	157.114	-174.345	70.667	174.345	0.107	2	9
CP4	-42.764	-79.030	116.752	147.328	-118.418	52.416	118.418	0.209	29	22
TP8	-40.160	-96.616	39.777	111.936	-112.571	20.815	112.571	0.384	16	6
P5	-74.693	71.323	72.259	126.046	136.322	34.979	-136.322	0.306	31	30
P1	-86.042	27.942	119.753	150.082	162.009	52.931	-162.009	0.206	30	8
P2	-81.593	-38.238	121.416	151.200	-154.890	53.419	154.890	0.203	19	20
P6	-73.059	-80.562	70.989	129.874	-132.204	33.134	132.204	0.316	17	5
PO7	-96.779	56.396	47.394	121.626	149.769	22.934	-149.769	0.373	20	30
PO3	-109.259	31.216	79.114	138.460	164.055	34.847	-164.055	0.306	41	18
POz	-110.485	-6.328	87.677	141.188	-176.722	38.389	176.722	0.287	28	8
PO4	-104.696	-42.818	81.961	139.687	-157.757	35.927	157.757	0.300	24	25
PO8	-94.334	-64.757	43.333	122.352	-145.532	20.742	145.532	0.385	43	3
Ref	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	37	57
Gnd	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	16	14
LPA	0.000	92.421	0.000	92.421	90.000	0.000	-90.000	0.500	n/a	n/a
RPA	0.000	-94.405	0.000	94.405	-90.000	0.000	90.000	0.500	n/a	n/a
Nz	107.916	-0.000	0.000	107.916	-0.000	0.000	0.000	0.500	n/a	n/a
