onset	duration	trial_type
0	15.18	x0
15.18	0.84	x1
16.02	0.16	x2
16.18	0.2	x1
16.38	0.56	x2
16.94	0.1	x1
17.04	0.18	x2
17.22	0.16	x1
17.38	0.12	x2
17.5	0.1	x1
17.6	0.22	x2
17.82	0.28	x1
18.1	0.12	x2
18.22	1.7	x1
19.92	0.2	x2
20.12	0.38	x1
20.5	0.4	x2
20.9	1.06	x1
21.96	0.08	x2
22.04	0.14	x1
22.18	0.24	x2
22.42	0.24	x1
22.66	0.04	x2
22.7	0.06	x1
22.76	0.18	x2
22.94	0.16	x1
23.1	0.08	x2
23.18	0.04	x1
23.22	0.1	x2
23.32	0.14	x1
23.46	0.16	x2
23.62	0.7	x1
24.32	0.76	x2
25.08	0.06	x1
25.14	0.12	x2
25.26	0.22	x1
25.48	0.06	x2
25.54	0.02	x1
25.56	0.08	x2
25.64	1.16	x1
26.8	0.16	x2
26.96	0.5	x1
27.46	0.44	x2
27.9	0.82	x1
28.72	0.2	x2
28.92	1.08	x1
30	0.18	x2
30.18	0.02	x1
30.2	0.18	x2
30.38	0.22	x1
30.6	0.06	x2
30.66	0.6	x1
31.26	0.02	x2
31.28	0.24	x1
31.52	0.58	x2
32.1	0.14	x1
32.24	0.02	x2
32.26	0.12	x1
32.38	0.32	x2
32.7	0.08	x1
32.78	0.12	x2
32.9	0.34	x1
33.24	0.1	x2
33.34	2.96	x1
36.3	0.68	x2
36.98	0.44	x1
37.42	2.32	x2
39.74	0.5	x1
40.24	2.3	x2
42.54	0.12	x1
42.66	0.38	x2
43.04	0.2	x1
43.24	3.26	x2
46.5	0.14	x1
46.64	0.12	x2
46.76	0.4	x1
47.16	0.06	x2
47.22	0.06	x1
47.28	0.78	x2
48.06	0.52	x1
48.58	0.02	x2
48.6	0.44	x1
49.04	0.64	x2
49.68	0.1	x1
49.78	1	x2
50.78	0.1	x1
50.88	0.04	x2
50.92	0.1	x1
51.02	0.62	x2
51.64	0.18	x1
51.82	0.18	x2
52	0.04	x1
52.04	2.4	x2
54.44	0.36	x1
54.8	2.44	x2
57.24	0.34	x1
57.58	0.02	x2
57.6	0.22	x1
57.82	0.02	x2
57.84	0.06	x1
57.9	0.9	x2
58.8	0.2	x1
59	0.02	x2
59.02	0.1	x1
59.12	0.12	x2
59.24	0.18	x1
59.42	0.34	x2
59.76	0.12	x1
59.88	0.66	x2
60.54	0.84	x1
61.38	1.26	x2
62.64	0.04	x1
62.68	0.38	x2
63.06	0.12	x1
63.18	0.06	x2
63.24	0.3	x1
63.54	0.44	x2
63.98	0.02	x1
64	0.04	x2
64.04	0.04	x1
64.08	0.24	x2
64.32	0.08	x1
64.4	0.1	x2
64.5	0.04	x1
64.54	0.04	x2
64.58	0.24	x1
64.82	0.12	x2
64.94	0.18	x1
65.12	1.08	x2
66.2	0.46	x1
66.66	0.7	x2
67.36	0.34	x1
67.7	0.56	x2
68.26	0.18	x1
68.44	0.46	x2
68.9	0.36	x1
69.26	0.82	x2
70.08	0.14	x1
70.22	0.06	x2
70.28	0.78	x1
71.06	0.02	x2
71.08	0.02	x1
71.1	0.16	x2
71.26	0.04	x1
71.3	0.02	x2
71.32	0.26	x1
71.58	0.02	x2
71.6	1.36	x1
72.96	0.02	x2
72.98	1.32	x1
74.3	0.66	x2
74.96	0.36	x1
75.32	1.2	x2
76.52	0.24	x1
76.76	2.86	x2
79.62	0.04	x1
79.66	1.84	x2
81.5	2.2	x1
83.7	0.14	x2
83.84	0.24	x1
84.08	0.86	x2
84.94	0.42	x1
85.36	0.86	x2
86.22	0.08	x1
86.3	0.94	x2
87.24	0.14	x1
87.38	2	x2
89.38	0.18	x1
89.56	0.04	x2
89.6	0.06	x1
89.66	0.22	x2
89.88	0.08	x1
89.96	1.1	x2
91.06	0.1	x1
91.16	2.16	x2
93.32	0.32	x1
93.64	0.14	x2
93.78	0.04	x1
93.82	0.02	x2
93.84	0.52	x1
94.36	0.42	x2
94.78	0.46	x1
95.24	1.56	x2
96.8	0.04	x1
96.84	1.3	x2
98.14	0.2	x1
98.34	0.1	x2
98.44	0.12	x1
98.56	0.12	x2
98.68	0.4	x1
99.08	0.16	x2
99.24	0.04	x1
99.28	0.24	x2
99.52	0.26	x1
99.78	0.22	x2
100	0.72	x1
100.72	0.02	x2
100.74	0.02	x1
100.76	0.16	x2
100.92	0.34	x1
101.26	0.38	x2
101.64	0.1	x1
101.74	0.14	x2
101.88	0.62	x1
102.5	0.36	x2
102.86	0.02	x1
102.88	0.12	x2
103	0.16	x1
103.16	0.34	x2
103.5	0.08	x1
103.58	0.3	x2
103.88	0.16	x1
104.04	0.9	x2
104.94	0.22	x1
105.16	0.1	x2
105.26	0.2	x1
105.46	0.24	x2
105.7	0.08	x1
105.78	0.1	x2
105.88	0.58	x1
106.46	1.58	x2
108.04	0.18	x1
108.22	2.06	x2
110.28	1.46	x1
111.74	0.74	x2
112.48	0.2	x1
112.68	0.06	x2
