onset	duration	trial_type
0	15.18	x0
15.18	0.02	x2
15.2	0.34	x1
15.54	1.16	x2
16.7	0.06	x1
16.76	0.02	x2
16.78	0.12	x1
16.9	0.06	x2
16.96	0.06	x1
17.02	5.42	x2
22.44	0.08	x1
22.52	3.78	x2
26.3	0.02	x1
26.32	0.92	x2
27.24	1.22	x1
28.46	10.56	x2
39.02	1.86	x1
40.88	1.64	x2
42.52	0.64	x1
43.16	3.98	x2
47.14	0.04	x1
47.18	0.1	x2
47.28	0.04	x1
47.32	0.56	x2
47.88	1.82	x1
49.7	0.06	x2
49.76	3.54	x1
53.3	2.06	x2
55.36	0.2	x1
55.56	0.04	x2
55.6	1.18	x1
56.78	6.72	x2
63.5	0.02	x1
63.52	6.12	x2
69.64	0.06	x1
69.7	0.04	x2
69.74	0.14	x1
69.88	4.42	x2
74.3	0.06	x1
74.36	0.6	x2
74.96	0.06	x1
75.02	0.2	x2
75.22	0.04	x1
75.26	0.1	x2
75.36	0.02	x1
75.38	0.06	x2
75.44	0.06	x1
75.5	0.48	x2
75.98	0.02	x1
76	0.28	x2
76.28	0.02	x1
76.3	0.04	x2
76.34	0.26	x1
76.6	0.12	x2
76.72	0.08	x1
76.8	0.04	x2
76.84	0.08	x1
76.92	0.04	x2
76.96	0.06	x1
77.02	0.02	x2
77.04	2.76	x1
79.8	0.02	x2
79.82	0.1	x1
79.92	0.06	x2
79.98	2	x1
81.98	0.1	x2
82.08	0.92	x1
83	1.46	x2
84.46	3.6	x1
88.06	0.02	x2
88.08	4	x1
92.08	0.06	x2
92.14	2.52	x1
94.66	0.16	x2
94.82	0.06	x1
94.88	0.08	x2
94.96	0.02	x1
94.98	6.84	x2
101.82	0.24	x1
102.06	0.02	x2
102.08	2.64	x1
104.72	0.06	x2
104.78	0.04	x1
104.82	0.94	x2
105.76	0.02	x1
105.78	2.46	x2
108.24	3.7	x1
111.94	0.36	x2
112.3	2.16	x1
114.46	0.1	x2
114.56	4.7	x1
119.26	5.82	x2
125.08	0.38	x1
125.46	0.92	x2
126.38	0.04	x1
126.42	0.12	x2
126.54	0.46	x1
127	0.04	x2
127.04	0.68	x1
127.72	0.02	x2
127.74	0.04	x1
127.78	0.1	x2
127.88	4.46	x1
132.34	3.9	x2
136.24	0.72	x1
136.96	0.06	x2
137.02	8.48	x1
