onset	duration	trial_type
0	15.18	x0
15.18	0.18	x1
15.36	0.08	x2
15.44	0.02	x1
15.46	0.06	x2
15.52	0.18	x1
15.7	0.22	x2
15.92	0.48	x1
16.4	0.08	x2
16.48	2.22	x1
18.7	0.08	x2
18.78	0.72	x1
19.5	0.04	x2
19.54	0.16	x1
19.7	0.04	x2
19.74	0.42	x1
20.16	0.02	x2
20.18	0.1	x1
20.28	0.1	x2
20.38	0.1	x1
20.48	0.14	x2
20.62	0.16	x1
20.78	0.16	x2
20.94	0.04	x1
20.98	0.1	x2
21.08	0.3	x1
21.38	0.24	x2
21.62	0.86	x1
22.48	0.02	x2
22.5	1.02	x1
23.52	0.04	x2
23.56	0.46	x1
24.02	0.38	x2
24.4	0.08	x1
24.48	0.06	x2
24.54	0.06	x1
24.6	0.08	x2
24.68	0.92	x1
25.6	0.34	x2
25.94	0.54	x1
26.48	0.02	x2
26.5	0.52	x1
27.02	0.16	x2
27.18	0.16	x1
27.34	0.14	x2
27.48	0.24	x1
27.72	0.02	x2
27.74	0.2	x1
27.94	0.1	x2
28.04	0.04	x1
28.08	0.62	x2
28.7	0.08	x1
28.78	0.08	x2
28.86	0.46	x1
29.32	0.24	x2
29.56	0.1	x1
29.66	0.06	x2
29.72	0.22	x1
29.94	0.02	x2
29.96	0.24	x1
30.2	0.02	x2
30.22	0.06	x1
30.28	0.1	x2
30.38	0.22	x1
30.6	0.18	x2
30.78	0.26	x1
31.04	0.1	x2
31.14	0.12	x1
31.26	1.42	x2
32.68	0.04	x1
32.72	0.22	x2
32.94	0.34	x1
33.28	0.34	x2
33.62	0.16	x1
33.78	0.12	x2
33.9	0.06	x1
33.96	0.04	x2
34	0.58	x1
34.58	0.02	x2
34.6	0.1	x1
34.7	0.02	x2
34.72	0.3	x1
35.02	0.22	x2
35.24	0.64	x1
35.88	0.12	x2
36	7.76	x1
43.76	0.26	x2
44.02	1.12	x1
45.14	0.08	x2
45.22	0.26	x1
45.48	0.92	x2
46.4	0.42	x1
46.82	0.04	x2
46.86	6.54	x1
53.4	0.02	x2
53.42	3.2	x1
56.62	0.16	x2
56.78	3.92	x1
60.7	0.04	x2
60.74	0.02	x1
60.76	0.1	x2
