name	component	type	tracked_point	units
acceleration_x	x	ACCEL	Head	m/s^2
acceleration_y	y	ACCEL	Head	m/s^2
acceleration_z	z	ACCEL	Head	m/s^2
gyroscope_x	x	GYRO	Head	deg/s
gyroscope_y	y	GYRO	Head	deg/s
gyroscope_z	z	GYRO	Head	deg/s
magnetometer_x	x	MAGN	Head	µT
magnetometer_y	y	MAGN	Head	µT
magnetometer_z	z	MAGN	Head	µT
quaternion_w	quat_w	ORNT	Head	n/a
quaternion_x	quat_x	ORNT	Head	n/a
quaternion_y	quat_y	ORNT	Head	n/a
quaternion_z	quat_z	ORNT	Head	n/a
time	n/a	LATENCY	Head	s
