name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	102.582	33.759	33.269	113.002	18.216	17.122	-18.216	0.405	8	5
Fp2	103.490	-34.581	33.901	114.260	-18.477	17.259	18.477	0.404	13	9
F7	55.805	72.610	36.272	98.499	52.456	21.607	-52.456	0.380	15	8
F3	78.012	53.120	82.990	125.678	34.252	41.326	-34.252	0.270	25	5
Fz	85.721	-2.824	105.720	136.135	-1.887	50.949	1.887	0.217	13	3
F4	74.939	-56.101	88.460	128.795	-36.819	43.379	36.819	0.259	2	1
F8	57.120	-76.429	35.731	101.886	-53.227	20.530	53.227	0.386	27	10
FC5	38.642	77.117	70.812	111.600	63.386	39.384	-63.386	0.281	2	3
FC1	53.985	33.450	121.495	137.093	31.783	62.403	-31.783	0.153	16	4
FC2	53.350	-38.410	123.404	139.821	-35.752	61.956	35.752	0.156	4	3
FC6	40.989	-82.271	71.999	116.758	-63.517	38.072	63.517	0.288	11	3
T7	-0.986	85.703	50.722	99.593	90.659	30.617	-90.659	0.330	3	1
C3	18.700	66.122	114.327	133.388	74.209	58.992	-74.209	0.172	24	9
Cz	25.773	-2.549	145.437	147.725	-5.649	79.903	5.649	0.056	9	1
C4	19.349	-68.677	119.114	138.849	-74.265	59.078	74.265	0.172	4	1
T8	1.283	-94.113	48.370	105.823	-89.219	27.199	89.219	0.349	10	6
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	13	7
CP5	-24.870	78.206	90.912	122.473	107.641	47.928	-107.641	0.234	10	3
CP1	-7.207	32.722	146.448	150.232	102.420	77.113	-102.420	0.072	11	6
CP2	-11.269	-36.518	147.571	152.439	-107.149	75.481	107.149	0.081	1	1
CP6	-18.069	-86.696	96.200	130.756	-101.773	47.368	101.773	0.237	43	23
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	45	29
P7	-57.112	68.005	67.425	111.502	130.024	37.207	-130.024	0.293	16	17
P3	-45.823	51.111	123.873	141.622	131.877	61.007	-131.877	0.161	47	22
Pz	-44.635	-4.039	142.773	149.642	-174.830	72.573	174.830	0.097	7	5
P4	-46.161	-56.771	123.470	143.522	-129.115	59.349	129.115	0.170	39	19
P8	-53.567	-77.591	70.625	117.804	-124.620	36.835	124.620	0.295	14	9
EOG_VA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	4
O1	-90.914	25.006	86.299	127.821	164.621	42.466	-164.621	0.264	8	11
Oz	-95.815	-10.017	87.944	130.441	-174.031	42.392	174.031	0.264	15	7
O2	-89.041	-38.186	84.246	128.390	-156.788	41.009	156.788	0.272	2	4
EOG_VB	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	12	5
AF7	80.437	59.301	32.385	105.050	36.399	17.956	-36.399	0.400	25	10
AF3	98.327	37.136	66.231	124.233	20.690	32.216	-20.690	0.321	19	6
AF4	96.771	-41.374	68.202	125.411	-23.149	32.945	23.149	0.317	7	1
AF8	83.376	-59.647	32.312	107.486	-35.580	17.494	35.580	0.403	23	7
F5	69.116	66.186	57.736	111.763	43.759	31.104	-43.759	0.327	20	3
F1	82.722	29.543	100.770	133.680	19.654	48.922	-19.654	0.228	19	5
F2	82.367	-31.315	101.816	134.653	-20.816	49.125	20.816	0.227	4	1
F6	71.061	-69.376	60.746	116.417	-44.313	31.453	44.313	0.325	18	6
AFz	105.198	-3.111	72.120	127.584	-1.694	34.422	1.694	0.309	6	0
FT7	26.633	81.508	42.180	95.561	71.905	26.193	-71.905	0.354	29	9
FC3	49.724	60.154	100.839	127.512	50.422	52.262	-50.422	0.210	9	4
FC4	50.007	-64.662	103.319	131.744	-52.283	51.650	52.283	0.213	10	3
FT8	29.849	-87.350	39.991	100.599	-71.134	23.424	71.134	0.370	25	12
FCz	55.815	-2.785	130.018	141.520	-2.857	66.741	2.857	0.129	15	4
C5	6.942	82.608	80.531	115.574	85.196	44.170	-85.196	0.255	40	16
C1	25.893	35.806	137.129	144.073	54.127	72.139	-54.127	0.099	23	7
C2	23.301	-39.219	139.938	147.186	-59.284	71.945	59.284	0.100	21	7
C6	12.000	-89.886	82.895	122.862	-82.396	42.431	82.396	0.264	18	5
TP7	-32.294	80.545	60.723	105.914	111.848	34.983	-111.848	0.306	34	20
CP3	-14.423	63.397	123.766	139.804	102.817	62.286	-102.817	0.154	7	3
CPz	-9.426	-2.840	152.563	152.880	-163.234	86.308	163.234	0.021	1	0
CP4	-13.501	-66.948	128.745	145.738	-101.401	62.055	101.401	0.155	10	2
TP8	-28.009	-89.425	62.417	112.593	-107.391	33.667	107.391	0.313	24	9
P5	-52.365	64.258	95.709	126.615	129.177	49.104	-129.177	0.227	7	7
P1	-43.305	28.223	140.285	149.505	146.907	69.773	-146.907	0.112	16	8
P2	-44.050	-32.355	139.477	149.804	-143.703	68.602	143.703	0.119	11	4
P6	-49.511	-73.515	97.850	132.024	-123.959	47.830	123.959	0.234	30	14
PO7	-74.819	51.154	80.258	121.062	145.640	41.525	-145.640	0.269	5	30
PO3	-70.911	31.065	113.257	137.189	156.343	55.645	-156.343	0.191	14	9
POz	-74.309	-6.534	120.683	141.877	-174.975	58.279	174.975	0.176	37	16
PO4	-68.817	-43.200	113.274	139.403	-147.881	54.347	147.881	0.198	24	7
PO8	-75.043	-60.062	78.760	124.266	-141.327	39.331	141.327	0.281	36	18
Ref	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	46	33
Gnd	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	43	37
LPA	0.000	79.161	0.000	79.161	90.000	0.000	-90.000	0.500	n/a	n/a
RPA	0.000	-85.940	0.000	85.940	-90.000	0.000	90.000	0.500	n/a	n/a
Nz	102.306	-0.000	0.000	102.306	-0.000	0.000	0.000	0.500	n/a	n/a
