onset	duration	trial_type
0	15.18	x0
15.18	0.34	x2
15.52	0.22	x1
15.74	0.04	x2
15.78	0.52	x1
16.3	0.1	x2
16.4	1.1	x1
17.5	1	x2
18.5	0.06	x1
18.56	0.06	x2
18.62	0.12	x1
18.74	0.12	x2
18.86	0.2	x1
19.06	0.18	x2
19.24	0.28	x1
19.52	0.2	x2
19.72	1.46	x1
21.18	1.14	x2
22.32	0.12	x1
22.44	0.24	x2
22.68	0.06	x1
22.74	0.16	x2
22.9	0.44	x1
23.34	0.52	x2
23.86	0.34	x1
24.2	0.02	x2
24.22	0.18	x1
24.4	0.06	x2
24.46	0.4	x1
24.86	0.64	x2
25.5	0.94	x1
26.44	0.04	x2
26.48	0.02	x1
26.5	0.4	x2
26.9	0.12	x1
27.02	0.5	x2
27.52	0.9	x1
28.42	0.2	x2
28.62	0.02	x1
28.64	1.22	x2
29.86	0.2	x1
30.06	0.02	x2
30.08	0.02	x1
30.1	0.36	x2
30.46	0.24	x1
30.7	0.06	x2
30.76	0.16	x1
30.92	0.42	x2
31.34	0.28	x1
31.62	0.7	x2
32.32	0.04	x1
32.36	0.2	x2
32.56	0.18	x1
32.74	0.42	x2
33.16	0.36	x1
33.52	0.08	x2
33.6	0.04	x1
33.64	0.12	x2
33.76	0.1	x1
33.86	0.26	x2
34.12	0.06	x1
34.18	0.14	x2
34.32	0.9	x1
35.22	0.1	x2
35.32	0.46	x1
35.78	0.1	x2
35.88	0.04	x1
35.92	0.36	x2
36.28	0.08	x1
36.36	0.34	x2
36.7	0.06	x1
36.76	0.02	x2
36.78	0.02	x1
36.8	0.12	x2
36.92	0.3	x1
37.22	0.3	x2
37.52	0.18	x1
37.7	0.1	x2
37.8	0.18	x1
37.98	0.24	x2
38.22	0.02	x1
38.24	0.02	x2
38.26	0.48	x1
38.74	0.86	x2
39.6	0.12	x1
39.72	0.1	x2
39.82	0.08	x1
39.9	0.08	x2
39.98	0.12	x1
40.1	0.52	x2
40.62	0.08	x1
40.7	0.18	x2
40.88	0.22	x1
41.1	0.08	x2
41.18	0.16	x1
41.34	1.46	x2
42.8	0.06	x1
42.86	0.44	x2
43.3	0.12	x1
43.42	0.9	x2
44.32	0.34	x1
44.66	1.02	x2
45.68	0.84	x1
46.52	0.04	x2
46.56	0.12	x1
46.68	0.84	x2
47.52	0.26	x1
47.78	0.28	x2
48.06	0.18	x1
48.24	0.08	x2
48.32	0.14	x1
48.46	0.64	x2
49.1	0.14	x1
49.24	0.18	x2
49.42	0.26	x1
49.68	0.02	x2
49.7	0.08	x1
49.78	0.12	x2
49.9	0.44	x1
50.34	0.48	x2
50.82	0.04	x1
50.86	0.06	x2
50.92	0.5	x1
51.42	0.2	x2
51.62	0.08	x1
51.7	0.08	x2
51.78	0.24	x1
52.02	0.94	x2
52.96	0.06	x1
53.02	0.18	x2
53.2	0.14	x1
53.34	0.24	x2
53.58	0.2	x1
53.78	0.04	x2
53.82	0.02	x1
53.84	0.02	x2
53.86	0.14	x1
54	0.12	x2
54.12	0.08	x1
54.2	0.04	x2
54.24	0.34	x1
54.58	0.94	x2
55.52	0.04	x1
55.56	0.02	x2
55.58	0.02	x1
55.6	0.1	x2
55.7	0.16	x1
55.86	0.74	x2
56.6	0.14	x1
56.74	0.48	x2
57.22	0.18	x1
57.4	0.02	x2
57.42	0.14	x1
57.56	0.3	x2
57.86	0.18	x1
58.04	1.36	x2
59.4	0.02	x1
59.42	0.78	x2
60.2	0.1	x1
60.3	0.2	x2
60.5	0.42	x1
60.92	0.9	x2
61.82	0.22	x1
62.04	0.8	x2
62.84	0.1	x1
62.94	0.1	x2
63.04	0.14	x1
63.18	0.62	x2
63.8	0.86	x1
64.66	0.08	x2
64.74	0.14	x1
64.88	0.12	x2
65	1.46	x1
66.46	0.06	x2
66.52	0.04	x1
66.56	0.1	x2
66.66	0.02	x1
66.68	0.04	x2
66.72	0.34	x1
