onset	duration	trial_type
0	15.18	x0
15.18	0.22	x1
15.4	0.1	x2
15.5	0.18	x1
15.68	0.06	x2
15.74	0.16	x1
15.9	0.06	x2
15.96	0.28	x1
16.24	0.04	x2
16.28	0.02	x1
16.3	0.4	x2
16.7	1.62	x1
18.32	0.22	x2
18.54	0.3	x1
18.84	0.48	x2
19.32	0.18	x1
19.5	0.2	x2
19.7	0.04	x1
19.74	0.04	x2
19.78	0.02	x1
19.8	0.16	x2
19.96	0.14	x1
20.1	0.04	x2
20.14	0.02	x1
20.16	0.26	x2
20.42	0.2	x1
20.62	0.08	x2
20.7	0.02	x1
20.72	0.06	x2
20.78	0.2	x1
20.98	0.16	x2
21.14	0.9	x1
22.04	0.1	x2
22.14	0.16	x1
22.3	0.1	x2
22.4	0.06	x1
22.46	0.38	x2
22.84	0.18	x1
23.02	0.32	x2
23.34	0.06	x1
23.4	0.02	x2
23.42	0.28	x1
23.7	0.06	x2
23.76	0.04	x1
23.8	0.24	x2
24.04	0.3	x1
24.34	0.18	x2
24.52	0.66	x1
25.18	0.26	x2
25.44	0.08	x1
25.52	0.12	x2
25.64	0.16	x1
25.8	0.02	x2
25.82	0.12	x1
25.94	0.12	x2
26.06	0.12	x1
26.18	0.02	x2
26.2	0.02	x1
26.22	0.02	x2
26.24	0.12	x1
26.36	0.08	x2
26.44	0.04	x1
26.48	0.1	x2
26.58	0.68	x1
27.26	0.06	x2
27.32	0.04	x1
27.36	0.02	x2
27.38	0.24	x1
27.62	0.12	x2
27.74	0.08	x1
27.82	0.1	x2
27.92	0.02	x1
27.94	0.02	x2
27.96	0.8	x1
28.76	0.08	x2
28.84	0.74	x1
29.58	0.02	x2
29.6	0.14	x1
29.74	0.06	x2
29.8	0.14	x1
29.94	0.38	x2
30.32	0.02	x1
30.34	0.16	x2
30.5	0.18	x1
30.68	0.16	x2
30.84	0.14	x1
30.98	0.06	x2
31.04	0.18	x1
31.22	0.2	x2
31.42	0.26	x1
31.68	0.02	x2
31.7	0.14	x1
31.84	0.04	x2
31.88	0.1	x1
31.98	0.5	x2
32.48	1.06	x1
33.54	0.04	x2
33.58	0.32	x1
33.9	0.06	x2
33.96	0.24	x1
34.2	0.02	x2
34.22	0.12	x1
34.34	0.02	x2
34.36	0.04	x1
34.4	0.1	x2
34.5	0.26	x1
34.76	0.22	x2
34.98	0.08	x1
35.06	0.22	x2
35.28	0.06	x1
35.34	0.02	x2
35.36	0.08	x1
35.44	0.16	x2
35.6	0.66	x1
36.26	0.06	x2
36.32	0.32	x1
36.64	0.14	x2
36.78	0.04	x1
36.82	0.06	x2
36.88	0.04	x1
36.92	0.06	x2
36.98	0.38	x1
37.36	0.06	x2
