time	acceleration_x	acceleration_y	acceleration_z	gyroscope_x	gyroscope_y	gyroscope_z	magnetometer_x	magnetometer_y	magnetometer_z	quaternion_w	quaternion_x	quaternion_y	quaternion_z
0	-9.5153	-0.0385	-1.5687	0.0018	-0.0024	0.0085	34.9390	-23.4453	4.0088	0.4436	-0.5587	0.5204	0.4695
0.01	-9.5223	-0.0338	-1.5701	0.0015	-0.0086	0.0124	34.9756	-23.2726	4.2220	0.4435	-0.5586	0.5203	0.4695
0.02	-9.5244	-0.0372	-1.5768	0.0053	-0.0046	0.0059	35.1432	-23.2426	3.8587	0.4436	-0.5587	0.5204	0.4695
0.03	-9.5126	-0.0407	-1.5703	-0.0027	-0.0093	0.0104	35.1036	-23.3906	4.1087	0.4435	-0.5586	0.5203	0.4695
0.04	-9.5154	-0.0469	-1.5644	0.0020	-0.0066	0.0132	34.9617	-23.2940	4.0378	0.4436	-0.5586	0.5204	0.4695
0.05	-9.5284	-0.0500	-1.5693	-0.0023	-0.0098	0.0083	35.2084	-23.4044	4.1859	0.4436	-0.5586	0.5204	0.4696
0.06	-9.5223	-0.0488	-1.5574	-0.0026	-0.0051	0.0120	34.9442	-23.3720	4.2890	0.4435	-0.5585	0.5204	0.4696
0.07	-9.5184	-0.0451	-1.5606	-0.0019	-0.0013	0.0001	34.9612	-23.3764	4.2294	0.4436	-0.5586	0.5204	0.4696
0.08	-9.5259	-0.0467	-1.5711	-0.0044	-0.0013	0.0007	34.9613	-23.4010	4.1415	0.4435	-0.5586	0.5204	0.4695
0.09	-9.5210	-0.0461	-1.5691	-0.0037	-0.0002	0.0026	34.9556	-23.1127	4.1973	0.4436	-0.5586	0.5204	0.4696
0.1	-9.5160	-0.0494	-1.5652	0.0040	-0.0072	0.0069	34.9751	-23.3079	3.9686	0.4435	-0.5585	0.5203	0.4695
0.11	-9.5222	-0.0480	-1.5701	0.0012	-0.0026	0.0025	34.8449	-23.3632	4.1144	0.4436	-0.5586	0.5204	0.4695
0.12	-9.5257	-0.0457	-1.5809	-0.0048	-0.0085	0.0112	34.9528	-23.3378	4.0046	0.4436	-0.5586	0.5204	0.4695
0.13	-9.5225	-0.0499	-1.5668	-0.0020	-0.0073	0.0105	35.1714	-23.5867	4.0586	0.4436	-0.5586	0.5204	0.4696
0.14	-9.5168	-0.0486	-1.5585	-0.0060	-0.0059	0.0037	34.9273	-23.4422	4.0989	0.4435	-0.5585	0.5203	0.4696
0.15	-9.5249	-0.0494	-1.5585	0.0012	-0.0088	0.0040	34.8836	-23.4635	4.0600	0.4436	-0.5586	0.5203	0.4696
0.16	-9.5193	-0.0539	-1.5526	-0.0000	-0.0055	0.0055	35.2282	-23.4810	3.9087	0.4436	-0.5586	0.5203	0.4696
0.17	-9.5150	-0.0562	-1.5520	-0.0058	-0.0057	0.0074	35.1251	-23.3435	3.9789	0.4435	-0.5585	0.5203	0.4696
0.18	-9.5198	-0.0603	-1.5563	-0.0043	-0.0122	0.0083	34.9527	-23.6213	4.0123	0.4436	-0.5586	0.5203	0.4697
0.19	-9.5238	-0.0655	-1.5596	-0.0072	-0.0125	0.0086	35.0783	-23.5515	3.9797	0.4436	-0.5585	0.5203	0.4697
0.2	-9.5148	-0.0687	-1.5584	-0.0049	-0.0098	0.0055	35.0319	-23.4290	4.0212	0.4436	-0.5586	0.5203	0.4697
0.21	-9.5130	-0.0692	-1.5599	0.0087	-0.0074	0.0049	35.0602	-23.4047	3.8859	0.4436	-0.5584	0.5203	0.4697
0.22	-9.5249	-0.0658	-1.5575	0.0015	-0.0033	0.0038	34.9339	-23.2367	3.6887	0.4436	-0.5585	0.5203	0.4697
