name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	105.655	35.723	51.878	123.006	18.681	24.945	-18.681	0.361	5	3
Fp2	105.871	-31.556	52.770	122.430	-16.597	25.532	16.597	0.358	8	5
F7	53.700	79.775	48.270	107.599	56.054	26.654	-56.054	0.352	5	2
F3	66.137	56.000	99.963	132.297	40.255	49.077	-40.255	0.227	2	2
Fz	71.587	3.393	125.153	144.221	2.713	60.203	-2.713	0.166	0	0
F4	66.416	-53.216	101.657	132.579	-38.704	50.064	38.704	0.222	4	2
F8	53.656	-74.932	48.703	104.239	-54.395	27.855	54.395	0.345	2	2
FC5	28.759	81.986	83.268	120.343	70.670	43.783	-70.670	0.257	4	2
FC1	34.183	38.359	135.925	145.312	48.294	69.293	-48.294	0.115	2	1
FC2	34.910	-32.937	136.803	144.978	-43.334	70.667	43.334	0.107	5	3
FC6	27.885	-79.662	81.339	117.216	-70.708	43.942	70.708	0.256	11	6
T7	-7.584	93.820	48.111	105.709	94.621	27.073	-94.621	0.350	14	10
C3	-3.432	70.274	122.210	141.016	92.796	60.070	-92.796	0.166	9	3
Cz	0.539	4.436	154.093	154.157	83.071	88.339	-83.071	0.009	1	0
C4	-4.634	-67.174	122.506	139.791	-93.947	61.205	93.947	0.160	8	2
T8	-6.908	-87.901	45.422	99.184	-94.494	27.255	94.494	0.349	9	6
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	0
CP5	-40.961	86.323	89.235	130.738	115.385	43.043	-115.385	0.261	10	3
CP1	-39.014	39.825	144.896	155.251	134.411	68.955	-134.411	0.117	3	1
CP2	-37.995	-32.634	147.009	155.307	-139.340	71.186	139.340	0.105	7	3
CP6	-42.288	-80.874	89.985	128.165	-117.604	44.596	117.604	0.252	10	3
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	20	11
P7	-74.602	79.393	57.593	123.230	133.218	27.863	-133.218	0.345	14	5
P3	-79.913	57.056	110.799	148.047	144.474	48.453	-144.474	0.231	7	2
Pz	-79.659	3.658	130.907	153.282	177.371	58.652	-177.371	0.174	6	1
P4	-75.302	-52.241	112.935	145.444	-145.249	50.940	145.249	0.217	10	3
P8	-72.506	-73.688	59.907	119.481	-134.537	30.092	134.537	0.333	10	2
EOG_VA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8	6
O1	-116.341	33.719	61.635	135.908	163.837	26.969	-163.837	0.350	12	4
Oz	-121.794	0.673	65.057	138.082	179.684	28.109	-179.684	0.344	6	2
O2	-116.094	-29.137	64.019	135.739	-165.911	28.140	165.911	0.344	8	2
EOG_VB	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8	4
AF7	83.777	64.727	47.145	115.891	37.690	24.004	-37.690	0.367	3	2
AF3	91.884	40.191	84.035	130.843	23.625	39.960	-23.625	0.278	2	2
AF4	91.475	-35.442	85.388	130.058	-21.179	41.036	21.179	0.272	3	3
AF8	83.935	-60.474	50.538	115.136	-35.772	26.036	35.772	0.355	3	4
F5	62.751	70.473	75.137	120.622	48.317	38.529	-48.317	0.286	1	1
F1	68.323	32.211	118.630	140.637	25.242	57.514	-25.242	0.180	1	0
F2	68.204	-28.535	118.930	140.037	-22.704	58.133	22.704	0.177	0	0
F6	60.670	-69.068	74.055	118.048	-48.704	38.853	48.704	0.284	1	1
AFz	98.391	4.313	93.844	136.037	2.510	43.617	-2.510	0.258	6	3
FT7	25.085	87.464	49.637	103.649	73.997	28.613	-73.997	0.341	7	3
FC3	31.659	66.012	112.355	134.102	64.378	56.911	-64.378	0.184	1	0
FC4	30.295	-63.383	113.607	133.573	-64.453	58.269	64.453	0.176	0	0
FT8	24.635	-84.471	46.573	99.556	-73.741	27.892	73.741	0.345	8	5
FCz	37.533	1.738	143.892	148.717	2.652	75.366	-2.652	0.081	0	0
C5	-5.415	88.247	85.674	123.113	93.511	44.099	-93.511	0.255	2	1
C1	-2.453	41.502	143.766	149.657	93.382	73.871	-93.382	0.090	4	2
