time	acceleration_x	acceleration_y	acceleration_z	gyroscope_x	gyroscope_y	gyroscope_z	magnetometer_x	magnetometer_y	magnetometer_z	quaternion_w	quaternion_x	quaternion_y	quaternion_z
0	-5.3246	-0.1816	-0.9004	0.0068	0.0070	0.0090	23.8174	-14.6147	0.8374	0.2390	-0.3234	0.2628	0.2678
0.01	-10.5112	-0.3358	-1.7617	-0.0027	0.0110	0.0210	46.8971	-28.7478	1.7432	0.4722	-0.6391	0.5193	0.5292
0.02	-9.2357	-0.3106	-1.5289	-0.0043	0.0081	0.0150	41.4589	-25.2660	1.8289	0.4154	-0.5626	0.4570	0.4658
0.03	-9.9207	-0.3886	-1.6492	-0.0102	0.0114	0.0145	44.8198	-27.0971	2.0571	0.4459	-0.6041	0.4906	0.5001
0.04	-9.5109	-0.4492	-1.5291	-0.0065	0.0018	0.0144	43.3258	-25.8877	2.0747	0.4269	-0.5785	0.4697	0.4789
0.05	-9.7840	-0.5218	-1.5384	-0.0043	0.0026	0.0171	44.0693	-26.8592	2.1427	0.4390	-0.5950	0.4831	0.4926
0.06	-9.5689	-0.5537	-1.4359	0.0048	0.0096	0.0209	43.0733	-27.1568	2.0757	0.4312	-0.5846	0.4746	0.4839
0.07	-9.6470	-0.5587	-1.4007	0.0217	0.0087	0.0199	43.5381	-27.3852	1.8818	0.4359	-0.5910	0.4798	0.4892
0.08	-9.6090	-0.4913	-1.4380	0.0175	0.0089	0.0223	42.9719	-26.2538	1.7216	0.4331	-0.5873	0.4769	0.4862
0.09	-9.6271	-0.4257	-1.4792	0.0355	0.0117	0.0189	43.3017	-26.6792	1.8236	0.4345	-0.5892	0.4785	0.4876
0.1	-9.6654	-0.3342	-1.5486	0.0398	0.0086	0.0226	43.4453	-26.5534	1.9475	0.4339	-0.5883	0.4780	0.4869
0.11	-9.7104	-0.2668	-1.6219	0.0349	0.0082	0.0229	43.4760	-26.6003	1.9633	0.4339	-0.5883	0.4781	0.4868
0.12	-9.6876	-0.2288	-1.6065	0.0290	0.0007	0.0153	43.2912	-26.4493	1.6323	0.4340	-0.5883	0.4781	0.4868
0.13	-9.6792	-0.2268	-1.5895	0.0162	-0.0100	0.0131	43.3689	-26.5872	1.8356	0.4340	-0.5883	0.4781	0.4868
0.14	-9.6709	-0.2540	-1.5707	0.0134	-0.0049	0.0113	43.3625	-26.5869	1.8646	0.4340	-0.5883	0.4781	0.4868
0.15	-9.6600	-0.3019	-1.5405	-0.0021	-0.0103	0.0056	43.4180	-26.4765	1.7655	0.4340	-0.5883	0.4780	0.4869
0.16	-9.6358	-0.3579	-1.5196	-0.0006	-0.0010	0.0056	43.2579	-26.5358	1.8920	0.4339	-0.5884	0.4780	0.4869
0.17	-9.6569	-0.3889	-1.4863	-0.0038	-0.0029	0.0105	43.2652	-26.6993	1.8341	0.4339	-0.5884	0.4779	0.4869
0.18	-9.7008	-0.4245	-1.5536	-0.0038	-0.0059	0.0101	43.3051	-26.4697	1.9639	0.4338	-0.5885	0.4778	0.4870
