name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	106.649	33.894	44.243	120.334	17.631	21.572	-17.631	0.380	8	8
Fp2	107.494	-37.451	45.088	122.435	-19.208	21.608	19.208	0.380	11	7
F7	53.907	73.239	56.773	107.206	53.645	31.976	-53.645	0.322	0	0
F3	75.609	53.612	100.874	136.991	35.339	47.422	-35.339	0.237	0	0
Fz	89.371	2.308	123.941	152.820	1.479	54.196	-1.479	0.199	1	15
F4	82.194	-54.758	101.469	141.599	-33.672	45.774	33.672	0.246	2	12
F8	56.796	-76.607	54.325	109.753	-53.447	29.668	53.447	0.335	2	19
FC5	34.403	77.527	91.299	124.618	66.071	47.108	-66.071	0.238	0	1
FC1	53.345	35.055	139.674	153.569	33.310	65.439	-33.310	0.136	0	1
FC2	57.698	-35.905	140.370	155.955	-31.894	64.167	31.894	0.144	1	3
FC6	42.344	-83.494	91.869	131.165	-63.108	44.460	63.108	0.253	2	10
T7	-8.567	86.125	67.267	109.616	95.680	37.855	-95.680	0.290	2	8
C3	10.651	63.761	135.749	150.355	80.517	64.536	-80.517	0.141	0	0
Cz	26.527	-2.132	165.263	167.392	-4.595	80.852	4.595	0.051	2	9
C4	19.256	-71.583	138.052	156.695	-74.944	61.766	74.944	0.157	2	17
T8	1.223	-93.949	67.760	115.842	-89.254	35.799	89.254	0.301	6	11
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	2
CP5	-32.855	76.277	110.567	138.285	113.303	53.088	-113.303	0.205	0	2
CP1	-14.932	32.394	166.516	170.293	114.747	77.909	-114.747	0.067	13	12
CP2	-7.479	-39.825	169.324	174.105	-100.636	76.542	100.636	0.075	5	6
CP6	-23.145	-89.137	116.090	148.182	-104.556	51.575	104.556	0.213	4	7
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	11
P7	-69.869	68.359	87.532	131.211	135.626	41.844	-135.626	0.268	0	1
P3	-60.962	47.358	141.292	161.005	142.159	61.350	-142.159	0.159	8	14
Pz	-53.197	-7.509	165.686	174.178	-171.965	72.035	171.965	0.100	2	8
P4	-49.000	-62.850	145.626	166.006	-127.941	61.310	127.941	0.159	1	2
P8	-58.404	-85.313	92.875	138.979	-124.395	41.933	124.395	0.267	0	0
EOG_VA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	8
O1	-108.486	21.697	106.492	153.560	168.690	43.907	-168.690	0.256	13	1
Oz	-108.072	-11.119	112.604	156.470	-174.126	46.026	174.126	0.244	2	12
O2	-101.162	-43.085	109.987	155.522	-156.931	45.008	156.931	0.250	1	2
EOG_VB	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	9	23
AF7	81.995	59.195	48.576	112.191	35.826	25.657	-35.826	0.357	2	4
AF3	102.151	38.085	79.163	134.730	20.447	35.985	-20.447	0.300	2	8
AF4	103.437	-40.825	79.632	136.774	-21.538	35.607	21.538	0.302	5	15
AF8	84.762	-60.951	47.070	114.522	-35.719	24.269	35.719	0.365	5	10
F5	66.806	66.708	76.357	121.422	44.958	38.966	-44.958	0.284	5	8
F1	83.479	31.846	117.658	147.737	20.881	52.788	-20.881	0.207	0	0
F2	88.697	-31.349	118.314	151.156	-19.465	51.511	19.465	0.214	1	2
F6	70.980	-70.910	77.621	126.852	-44.971	37.727	44.971	0.290	4	16
AFz	111.989	0.770	87.356	142.032	0.394	37.955	-0.394	0.289	6	18
FT7	23.088	81.931	61.139	104.804	74.262	35.688	-74.262	0.302	4	11
FC3	43.197	61.945	120.828	142.487	55.110	57.994	-55.110	0.178	0	0
FC4	51.047	-66.790	122.232	148.349	-52.610	55.482	52.610	0.192	2	12
FT8	28.297	-88.356	59.944	110.457	-72.242	32.867	72.242	0.317	6	8
FCz	58.506	0.644	146.771	158.003	0.631	68.266	-0.631	0.121	0	0
C5	0.711	81.489	100.295	129.229	89.500	50.905	-89.500	0.217	0	2
C1	19.900	36.898	156.015	161.549	61.661	74.959	-61.661	0.084	1	1
C2	26.868	-38.768	159.456	166.286	-55.277	73.521	55.277	0.092	5	12
C6	7.061	-91.555	100.324	136.004	-85.590	47.532	85.590	0.236	3	6
TP7	-41.432	82.630	76.762	120.153	116.630	39.707	-116.630	0.279	2	4
CP3	-24.967	60.818	142.353	156.801	112.319	65.211	-112.319	0.138	4	17
CPz	-12.789	-2.963	174.743	175.235	-166.957	85.704	166.957	0.024	0	9
CP4	-14.751	-71.563	146.339	163.566	-101.647	63.467	101.647	0.147	5	16
TP8	-30.825	-94.123	80.349	127.536	-108.133	39.051	108.133	0.283	3	4
P5	-65.179	62.866	116.371	147.454	136.035	52.111	-136.035	0.210	0	0
P1	-51.569	27.998	160.535	170.923	151.502	69.921	-151.502	0.112	8	10
P2	-47.272	-35.684	164.624	174.955	-142.952	70.212	142.952	0.110	2	1
P6	-54.153	-77.726	123.036	155.280	-124.866	52.406	124.866	0.209	0	0
PO7	-94.131	45.852	97.542	143.100	154.029	42.972	-154.029	0.261	0	0
PO3	-88.965	28.775	131.553	161.397	162.076	54.596	-162.076	0.197	10	14
POz	-82.921	-8.119	145.793	167.921	-174.407	60.253	174.407	0.165	0	0
PO4	-82.041	-45.607	135.908	165.172	-150.930	55.369	150.930	0.192	14	6
PO8	-83.010	-67.889	101.979	147.984	-140.722	43.561	140.722	0.258	1	1
Ref	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6	12
