onset	duration	trial_type
0	15.18	x0
15.18	0.56	x1
15.74	0.08	x2
15.82	0.34	x1
16.16	0.1	x2
16.26	0.22	x1
16.48	0.02	x2
16.5	0.02	x1
16.52	0.02	x2
16.54	0.4	x1
16.94	0.02	x2
16.96	0.56	x1
17.52	0.02	x2
17.54	0.34	x1
17.88	0.04	x2
17.92	0.04	x1
17.96	0.04	x2
18	0.04	x1
18.04	0.06	x2
18.1	0.02	x1
18.12	0.16	x2
18.28	0.16	x1
18.44	0.04	x2
18.48	0.08	x1
18.56	0.02	x2
18.58	0.66	x1
19.24	0.02	x2
19.26	0.82	x1
20.08	0.02	x2
20.1	0.34	x1
20.44	0.04	x2
20.48	0.02	x1
20.5	0.1	x2
20.6	0.36	x1
20.96	0.04	x2
21	0.22	x1
21.22	0.06	x2
21.28	0.52	x1
21.8	0.04	x2
21.84	0.1	x1
21.94	0.32	x2
22.26	0.1	x1
22.36	0.04	x2
22.4	0.12	x1
22.52	0.02	x2
22.54	0.14	x1
22.68	0.1	x2
22.78	0.44	x1
23.22	0.16	x2
23.38	0.04	x1
23.42	0.04	x2
23.46	0.68	x1
24.14	0.02	x2
24.16	0.14	x1
24.3	0.04	x2
24.34	0.3	x1
24.64	0.02	x2
24.66	1.12	x1
25.78	0.04	x2
25.82	0.02	x1
25.84	0.04	x2
25.88	0.08	x1
25.96	0.06	x2
26.02	0.24	x1
26.26	0.1	x2
26.36	0.22	x1
26.58	0.08	x2
26.66	0.06	x1
26.72	0.02	x2
26.74	0.16	x1
26.9	0.02	x2
26.92	0.28	x1
27.2	0.08	x2
27.28	2.72	x1
30	0.02	x2
30.02	0.06	x1
30.08	0.02	x2
30.1	0.5	x1
30.6	0.02	x2
30.62	0.94	x1
31.56	0.02	x2
31.58	0.3	x1
31.88	0.04	x2
31.92	0.78	x1
32.7	0.04	x2
32.74	0.06	x1
32.8	0.02	x2
32.82	0.64	x1
33.46	0.02	x2
33.48	0.88	x1
34.36	0.06	x2
34.42	0.04	x1
34.46	0.04	x2
34.5	0.1	x1
34.6	0.02	x2
34.62	0.04	x1
34.66	0.02	x2
34.68	0.64	x1
35.32	0.02	x2
35.34	0.32	x1
35.66	0.02	x2
35.68	0.28	x1
35.96	0.04	x2
36	1.08	x1
37.08	0.1	x2
37.18	0.1	x1
37.28	0.04	x2
37.32	0.06	x1
37.38	0.04	x2
37.42	0.98	x1
38.4	0.06	x2
38.46	0.02	x1
38.48	0.04	x2
38.52	0.98	x1
39.5	0.04	x2
39.54	0.18	x1
39.72	0.02	x2
39.74	0.04	x1
39.78	0.02	x2
39.8	0.02	x1
39.82	0.04	x2
39.86	0.04	x1
39.9	0.04	x2
39.94	0.1	x1
40.04	0.14	x2
40.18	0.52	x1
40.7	0.02	x2
40.72	0.02	x1
40.74	0.02	x2
40.76	0.08	x1
40.84	0.06	x2
40.9	0.1	x1
41	0.06	x2
41.06	0.04	x1
41.1	0.04	x2
41.14	0.26	x1
41.4	0.04	x2
41.44	0.02	x1
41.46	0.04	x2
41.5	0.04	x1
41.54	0.02	x2
41.56	0.08	x1
41.64	0.2	x2
41.84	0.02	x1
41.86	0.06	x2
41.92	0.02	x1
41.94	0.02	x2
41.96	0.04	x1
42	0.04	x2
42.04	0.16	x1
42.2	0.08	x2
42.28	0.56	x1
42.84	0.1	x2
42.94	0.02	x1
42.96	0.04	x2
43	0.06	x1
43.06	0.02	x2
43.08	0.32	x1
43.4	0.02	x2
43.42	0.58	x1
44	0.06	x2
44.06	0.02	x1
44.08	0.06	x2
44.14	0.44	x1
44.58	0.02	x2
44.6	1.1	x1
45.7	0.12	x2
45.82	0.16	x1
45.98	0.08	x2
46.06	0.3	x1
46.36	0.04	x2
46.4	0.06	x1
46.46	0.02	x2
46.48	0.1	x1
46.58	0.04	x2
46.62	0.06	x1
46.68	0.04	x2
46.72	0.2	x1
46.92	0.02	x2
46.94	0.72	x1
47.66	0.04	x2
47.7	0.18	x1
47.88	0.02	x2
47.9	0.04	x1
47.94	0.08	x2
48.02	0.08	x1
48.1	0.02	x2
48.12	0.14	x1
48.26	0.12	x2
48.38	1.12	x1
49.5	0.02	x2
49.52	0.12	x1
49.64	0.02	x2
49.66	0.3	x1
49.96	0.06	x2
50.02	1.18	x1
51.2	0.02	x2
51.22	0.06	x1
51.28	0.02	x2
51.3	0.18	x1
51.48	0.14	x2
51.62	0.58	x1
52.2	0.04	x2
52.24	0.14	x1
52.38	0.22	x2
52.6	0.14	x1
52.74	0.16	x2
52.9	0.08	x1
52.98	0.02	x2
53	0.02	x1
53.02	0.06	x2
53.08	0.04	x1
53.12	0.02	x2
53.14	0.54	x1
53.68	0.02	x2
53.7	0.1	x1
53.8	0.04	x2
53.84	0.24	x1
54.08	0.1	x2
54.18	0.18	x1
54.36	0.16	x2
54.52	0.6	x1
55.12	0.06	x2
55.18	0.12	x1
55.3	0.02	x2
55.32	0.08	x1
55.4	0.02	x2
55.42	0.02	x1
55.44	0.04	x2
55.48	0.88	x1
56.36	0.02	x2
56.38	0.12	x1
56.5	0.12	x2
56.62	0.58	x1
57.2	0.02	x2
57.22	0.02	x1
57.24	0.04	x2
57.28	1.34	x1
58.62	0.08	x2
58.7	0.32	x1
59.02	0.04	x2
59.06	0.54	x1
59.6	0.1	x2
59.7	0.36	x1
60.06	0.04	x2
60.1	0.54	x1
60.64	0.08	x2
60.72	0.06	x1
60.78	0.02	x2
60.8	1	x1
61.8	0.06	x2
61.86	1.52	x1
63.38	0.02	x2
63.4	0.26	x1
63.66	0.02	x2
63.68	0.12	x1
63.8	0.02	x2
63.82	0.12	x1
63.94	0.02	x2
63.96	0.04	x1
64	0.12	x2
64.12	0.42	x1
64.54	0.06	x2
64.6	0.16	x1
64.76	0.04	x2
64.8	0.14	x1
64.94	0.04	x2
64.98	1.04	x1
66.02	0.06	x2
66.08	0.1	x1
66.18	0.04	x2
66.22	0.46	x1
66.68	0.02	x2
66.7	0.26	x1
66.96	0.02	x2
66.98	1.16	x1
68.14	0.02	x2
68.16	1.08	x1
69.24	0.02	x2
69.26	0.98	x1
70.24	0.04	x2
70.28	1.1	x1
71.38	0.02	x2
71.4	0.24	x1
71.64	0.02	x2
71.66	0.04	x1
71.7	0.02	x2
71.72	0.28	x1
72	0.02	x2
72.02	2.42	x1
74.44	0.04	x2
74.48	0.28	x1
74.76	0.06	x2
74.82	0.36	x1
75.18	0.06	x2
75.24	0.18	x1
75.42	0.06	x2
75.48	0.18	x1
75.66	0.02	x2
75.68	0.1	x1
75.78	0.02	x2
75.8	0.14	x1
75.94	0.06	x2
76	0.36	x1
76.36	0.02	x2
76.38	0.54	x1
76.92	0.08	x2
77	0.34	x1
77.34	0.18	x2
77.52	0.02	x1
77.54	0.04	x2
77.58	0.12	x1
77.7	0.02	x2
77.72	0.88	x1
78.6	0.14	x2
78.74	0.58	x1
79.32	0.04	x2
79.36	0.36	x1
79.72	0.1	x2
79.82	0.94	x1
80.76	0.04	x2
80.8	0.8	x1
81.6	0.02	x2
81.62	0.26	x1
81.88	0.02	x2
81.9	0.46	x1
82.36	0.02	x2
82.38	1.26	x1
83.64	0.02	x2
83.66	0.86	x1
84.52	0.02	x2
84.54	0.14	x1
84.68	0.04	x2
84.72	0.74	x1
85.46	0.08	x2
85.54	0.1	x1
85.64	0.04	x2
85.68	0.84	x1
86.52	0.02	x2
86.54	2.32	x1
88.86	0.04	x2
88.9	0.36	x1
89.26	0.02	x2
89.28	0.02	x1
89.3	0.02	x2
89.32	0.06	x1
89.38	0.08	x2
89.46	0.24	x1
89.7	0.02	x2
89.72	0.26	x1
89.98	0.06	x2
90.04	0.08	x1
90.12	0.04	x2
90.16	2.18	x1
92.34	0.02	x2
92.36	0.8	x1
93.16	0.08	x2
93.24	0.48	x1
93.72	0.04	x2
93.76	0.1	x1
93.86	0.04	x2
93.9	0.5	x1
94.4	0.02	x2
94.42	0.06	x1
94.48	0.06	x2
94.54	0.02	x1
94.56	0.04	x2
94.6	0.08	x1
94.68	0.04	x2
94.72	1.34	x1
96.06	0.04	x2
96.1	0.22	x1
96.32	0.04	x2
96.36	2.72	x1
99.08	0.02	x2
99.1	0.02	x1
99.12	0.02	x2
99.14	0.02	x1
99.16	0.02	x2
99.18	0.48	x1
99.66	0.04	x2
99.7	0.04	x1
99.74	0.02	x2
99.76	0.56	x1
100.32	0.02	x2
100.34	0.26	x1
100.6	0.02	x2
100.62	0.22	x1
100.84	0.02	x2
100.86	0.22	x1
101.08	0.02	x2
101.1	0.6	x1
101.7	0.06	x2
101.76	0.24	x1
102	0.04	x2
102.04	0.02	x1
102.06	0.04	x2
102.1	0.26	x1
102.36	0.04	x2
102.4	1.14	x1
103.54	0.04	x2
103.58	0.22	x1
103.8	0.04	x2
103.84	0.12	x1
103.96	0.02	x2
103.98	0.48	x1
104.46	0.02	x2
104.48	0.04	x1
104.52	0.06	x2
104.58	1.12	x1
105.7	0.02	x2
105.72	0.34	x1
106.06	0.06	x2
106.12	0.3	x1
106.42	0.3	x2
106.72	0.02	x1
106.74	0.04	x2
106.78	0.02	x1
106.8	0.06	x2
106.86	0.04	x1
106.9	0.04	x2
106.94	0.54	x1
107.48	0.04	x2
107.52	0.24	x1
107.76	0.04	x2
107.8	0.5	x1
108.3	0.08	x2
108.38	0.02	x1
108.4	0.02	x2
108.42	0.04	x1
108.46	0.02	x2
108.48	0.38	x1
108.86	0.02	x2
108.88	0.24	x1
109.12	0.02	x2
109.14	0.08	x1
109.22	0.02	x2
109.24	0.06	x1
109.3	0.04	x2
109.34	0.12	x1
109.46	0.02	x2
109.48	1.08	x1
110.56	0.06	x2
110.62	0.38	x1
111	0.12	x2
111.12	0.02	x1
111.14	0.08	x2
111.22	1.2	x1
112.42	0.06	x2
112.48	0.02	x1
112.5	0.02	x2
112.52	0.52	x1
113.04	0.06	x2
113.1	0.52	x1
113.62	0.02	x2
113.64	1.12	x1
114.76	0.28	x2
115.04	0.12	x1
115.16	0.06	x2
115.22	0.7	x1
115.92	0.1	x2
116.02	0.04	x1
116.06	0.04	x2
116.1	0.26	x1
116.36	0.12	x2
116.48	0.42	x1
116.9	0.04	x2
116.94	0.04	x1
116.98	0.08	x2
117.06	0.18	x1
117.24	0.02	x2
117.26	1.12	x1
118.38	0.02	x2
118.4	0.16	x1
118.56	0.06	x2
118.62	0.74	x1
119.36	0.06	x2
119.42	1.38	x1
120.8	0.12	x2
120.92	0.18	x1
121.1	0.02	x2
121.12	0.38	x1
121.5	0.02	x2
121.52	1.1	x1
122.62	0.26	x2
122.88	0.06	x1
122.94	0.02	x2
122.96	0.08	x1
123.04	0.06	x2
123.1	0.04	x1
123.14	0.02	x2
123.16	0.42	x1
123.58	0.04	x2
123.62	0.28	x1
123.9	0.02	x2
123.92	2.6	x1
126.52	0.06	x2
126.58	0.92	x1
127.5	0.04	x2
127.54	0.62	x1
128.16	0.18	x2
128.34	0.18	x1
128.52	0.68	x2
129.2	0.16	x1
129.36	0.04	x2
129.4	0.2	x1
129.6	0.02	x2
129.62	0.38	x1
130	0.14	x2
130.14	0.02	x1
130.16	0.1	x2
130.26	0.1	x1
130.36	0.08	x2
130.44	1.06	x1
131.5	0.02	x2
131.52	0.02	x1
131.54	0.02	x2
131.56	0.48	x1
132.04	0.12	x2
132.16	0.02	x1
132.18	0.08	x2
132.26	0.1	x1
132.36	0.52	x2
132.88	0.04	x1
132.92	0.04	x2
132.96	0.02	x1
132.98	0.02	x2
133	0.4	x1
133.4	0.02	x2
133.42	0.08	x1
133.5	0.02	x2
133.52	0.02	x1
133.54	0.2	x2
133.74	0.02	x1
133.76	0.08	x2
133.84	0.02	x1
133.86	0.02	x2
133.88	0.44	x1
134.32	0.02	x2
134.34	0.04	x1
134.38	0.04	x2
134.42	0.02	x1
134.44	0.02	x2
134.46	0.02	x1
134.48	0.2	x2
134.68	0.4	x1
135.08	0.04	x2
135.12	0.08	x1
135.2	0.02	x2
135.22	0.12	x1
135.34	0.04	x2
135.38	0.06	x1
135.44	0.04	x2
135.48	0.36	x1
135.84	0.06	x2
135.9	0.44	x1
136.34	0.04	x2
136.38	0.16	x1
136.54	0.04	x2
136.58	0.06	x1
136.64	0.02	x2
136.66	0.26	x1
136.92	0.02	x2
136.94	0.18	x1
137.12	0.04	x2
137.16	0.18	x1
137.34	0.02	x2
137.36	0.2	x1
137.56	0.02	x2
137.58	0.1	x1
137.68	0.02	x2
137.7	0.26	x1
137.96	0.08	x2
138.04	0.08	x1
138.12	0.08	x2
138.2	0.3	x1
138.5	0.08	x2
138.58	0.64	x1
139.22	0.14	x2
139.36	0.22	x1
139.58	0.04	x2
139.62	0.02	x1
139.64	0.06	x2
139.7	0.48	x1
140.18	0.04	x2
140.22	0.24	x1
140.46	0.02	x2
140.48	0.5	x1
140.98	0.08	x2
141.06	0.76	x1
141.82	0.02	x2
141.84	1.16	x1
143	0.04	x2
143.04	0.04	x1
143.08	0.02	x2
143.1	0.1	x1
143.2	0.1	x2
143.3	0.4	x1
143.7	0.04	x2
143.74	0.5	x1
144.24	0.06	x2
144.3	0.04	x1
144.34	0.04	x2
144.38	0.02	x1
144.4	0.02	x2
144.42	0.02	x1
144.44	0.02	x2
144.46	0.38	x1
144.84	0.06	x2
144.9	0.1	x1
145	0.04	x2
145.04	0.02	x1
145.06	0.04	x2
145.1	0.46	x1
145.56	0.04	x2
145.6	0.02	x1
145.62	0.06	x2
145.68	0.06	x1
145.74	0.06	x2
145.8	1.32	x1
147.12	0.06	x2
147.18	0.4	x1
147.58	0.04	x2
147.62	0.04	x1
147.66	0.06	x2
