name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	101.789	33.176	38.313	113.708	18.052	19.691	-18.052	0.391	15	5
Fp2	101.228	-36.138	37.849	113.954	-19.646	19.399	19.646	0.392	3	1
F7	49.965	76.805	32.194	97.118	56.954	19.359	-56.954	0.392	4	2
F3	65.421	53.540	84.635	119.622	39.297	45.034	-39.297	0.250	3	0
Fz	74.709	-4.168	110.892	133.775	-3.194	55.990	3.194	0.189	5	0
F4	65.813	-59.124	86.198	123.520	-41.935	44.254	41.935	0.254	13	2
F8	50.875	-80.137	32.081	100.196	-57.590	18.674	57.590	0.396	6	2
FC5	28.868	80.459	67.706	109.046	70.263	38.381	-70.263	0.287	11	0
FC1	36.339	34.795	123.561	133.411	43.757	67.845	-43.757	0.123	10	0
FC2	36.256	-41.080	122.826	134.493	-48.570	65.959	48.570	0.134	5	0
FC6	29.731	-88.159	65.192	113.604	-71.364	35.019	71.364	0.305	5	1
T7	-8.465	87.069	39.356	95.925	95.553	24.222	-95.553	0.365	8	4
C3	-3.620	69.131	107.394	127.772	92.998	57.194	-92.998	0.182	10	2
Cz	-0.484	-2.932	143.524	143.555	-99.380	88.814	99.380	0.007	10	0
C4	-3.729	-77.622	106.822	132.098	-92.751	53.965	92.751	0.200	9	1
T8	-7.642	-93.270	36.192	100.337	-94.684	21.143	94.684	0.383	12	3
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	17	4
CP5	-41.613	80.252	71.200	115.071	117.408	38.224	-117.408	0.288	13	1
CP1	-43.899	35.208	132.597	144.044	141.270	67.004	-141.270	0.128	12	2
CP2	-42.054	-40.958	134.127	146.411	-135.756	66.362	135.756	0.131	7	1
CP6	-41.143	-87.574	75.390	122.661	-115.165	37.925	115.165	0.289	11	1
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	19	4
P7	-71.192	72.650	39.361	109.067	134.419	21.155	-134.419	0.382	14	1
P3	-78.336	53.398	95.328	134.445	145.720	45.158	-145.720	0.249	13	0
Pz	-81.998	-3.641	118.397	144.065	-177.458	55.269	177.458	0.193	12	0
P4	-74.995	-60.178	98.131	137.388	-141.256	45.583	141.256	0.247	14	1
P8	-72.507	-77.278	41.465	113.791	-133.175	21.370	133.175	0.381	18	1
EOG_VA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	2
O1	-110.240	28.929	39.985	120.783	165.296	19.333	-165.296	0.393	20	2
Oz	-117.979	-4.636	44.732	126.260	-177.750	20.750	177.750	0.385	9	1
O2	-112.072	-33.654	43.683	124.903	-163.285	20.471	163.285	0.386	9	1
EOG_VB	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6	2
AF7	76.482	62.715	33.484	104.421	39.352	18.703	-39.352	0.396	2	0
AF3	89.638	37.631	67.691	118.461	22.773	34.849	-22.773	0.306	3	3
AF4	91.621	-41.375	67.021	120.823	-24.304	33.690	24.304	0.313	0	0
AF8	78.038	-66.105	32.061	107.181	-40.267	17.406	40.267	0.403	14	7
F5	61.239	67.805	58.414	108.443	47.913	32.592	-47.913	0.319	3	1
F1	69.417	27.859	106.414	130.072	21.867	54.897	-21.867	0.195	5	0
F2	70.595	-36.129	104.687	131.333	-27.102	52.855	27.102	0.206	7	0
F6	62.127	-73.341	62.106	114.437	-49.732	32.868	49.732	0.317	7	3
AFz	101.994	-1.377	73.331	125.627	-0.774	35.713	0.774	0.302	13	2
FT7	20.641	83.991	35.035	93.316	76.193	22.052	-76.193	0.377	6	1
FC3	30.929	64.659	99.188	122.375	64.436	54.147	-64.436	0.199	15	0
FC4	34.526	-70.092	98.696	125.880	-63.776	51.633	63.776	0.213	15	2
FT8	22.750	-89.404	29.093	96.732	-75.723	17.503	75.723	0.403	12	3
FCz	39.246	-5.492	131.635	137.471	-7.966	73.246	7.966	0.093	4	0
C5	-7.101	84.207	71.796	110.887	94.820	40.351	-94.820	0.276	8	0
C1	-2.064	36.038	134.786	139.536	93.278	75.007	-93.278	0.083	5	1
C2	-0.900	-44.518	133.426	140.660	-91.158	71.545	91.158	0.103	14	1
C6	-4.112	-92.770	69.087	115.742	-92.538	36.649	92.538	0.296	14	1
TP7	-42.486	83.021	42.608	102.533	117.101	24.554	-117.101	0.364	15	2
CP3	-44.115	64.853	107.930	133.420	124.225	53.993	-124.225	0.200	9	1
CPz	-45.249	-4.201	140.653	147.812	-174.696	72.095	174.696	0.099	6	0
CP4	-42.426	-72.980	107.652	136.803	-120.171	51.898	120.171	0.212	14	1
TP8	-42.354	-89.002	40.873	106.705	-115.449	22.523	115.449	0.375	13	1
P5	-76.644	67.621	67.410	122.438	138.579	33.406	-138.579	0.314	15	1
