time	acceleration_x	acceleration_y	acceleration_z	gyroscope_x	gyroscope_y	gyroscope_z	magnetometer_x	magnetometer_y	magnetometer_z	quaternion_w	quaternion_x	quaternion_y	quaternion_z
0	0.6039	-9.7782	1.7004	0.0015	-0.0053	-0.0095	10.9197	27.8194	-0.0636	-0.7415	0.6318	-0.1199	0.1911
0.01	0.5969	-9.7518	1.6984	0.0042	-0.0064	-0.0088	11.1067	28.0385	-0.1392	-0.7416	0.6319	-0.1200	0.1911
0.02	0.5981	-9.7644	1.7138	0.0005	-0.0060	-0.0060	11.1410	28.0571	0.1044	-0.7416	0.6318	-0.1199	0.1911
0.03	0.5941	-9.8409	1.7197	-0.0024	0.0014	-0.0104	10.9580	28.1123	-0.0538	-0.7416	0.6319	-0.1200	0.1911
0.04	0.6018	-9.8344	1.7207	0.0189	-0.0096	-0.0054	11.0602	28.2012	-0.0594	-0.7415	0.6318	-0.1199	0.1910
0.05	0.6152	-9.8122	1.7376	0.0240	-0.0027	-0.0100	11.0676	28.1814	-0.0460	-0.7417	0.6317	-0.1199	0.1910
0.06	0.6283	-9.7905	1.7374	0.0220	-0.0076	-0.0134	11.2200	28.0995	-0.0753	-0.7417	0.6317	-0.1198	0.1910
0.07	0.6355	-9.7497	1.7504	0.0240	0.0072	-0.0074	11.2600	28.0520	0.0437	-0.7418	0.6316	-0.1198	0.1910
0.08	0.6304	-9.7641	1.7606	0.0223	0.0144	-0.0057	11.1196	27.9956	-0.0586	-0.7419	0.6315	-0.1199	0.1911
0.09	0.6178	-9.7745	1.7639	0.0232	0.0213	-0.0038	11.1837	27.9089	-0.1801	-0.7419	0.6314	-0.1199	0.1911
0.1	0.5976	-9.7395	1.7637	0.0233	0.0246	-0.0048	11.2908	27.7596	-0.0912	-0.7420	0.6313	-0.1200	0.1912
0.11	0.5765	-9.7238	1.7675	0.0228	0.0210	-0.0060	11.4364	27.7488	-0.2650	-0.7420	0.6311	-0.1201	0.1912
0.12	0.5703	-9.7211	1.7590	0.0222	0.0232	-0.0091	11.2694	27.9763	-0.1816	-0.7421	0.6311	-0.1202	0.1913
0.13	0.5693	-9.7313	1.7686	0.0111	0.0168	-0.0063	11.2645	27.7275	-0.0153	-0.7421	0.6310	-0.1203	0.1913
0.14	0.5658	-9.7460	1.7611	0.0135	0.0293	-0.0117	11.0622	27.6220	-0.0152	-0.7421	0.6310	-0.1204	0.1914
0.15	0.5526	-9.7287	1.7580	0.0192	0.0289	-0.0109	11.2058	27.8185	0.2750	-0.7422	0.6309	-0.1205	0.1915
0.16	0.5342	-9.7525	1.7620	0.0042	0.0218	-0.0052	11.9236	27.6795	0.2073	-0.7422	0.6308	-0.1206	0.1915
0.17	0.5100	-9.7640	1.7524	0.0110	0.0279	-0.0083	11.8102	27.6928	0.2486	-0.7422	0.6308	-0.1207	0.1916
0.18	0.5032	-9.7632	1.7559	0.0093	0.0217	-0.0088	11.2367	28.0119	0.0755	-0.7422	0.6307	-0.1207	0.1917
0.19	0.4878	-9.7576	1.7554	0.0112	0.0239	-0.0135	11.1228	28.2482	-0.1095	-0.7423	0.6307	-0.1208	0.1918
0.2	0.4879	-9.7795	1.7510	0.0025	0.0170	-0.0154	11.1663	28.0101	-0.1829	-0.7422	0.6306	-0.1209	0.1918
0.21	0.5047	-9.7844	1.7484	0.0021	0.0035	-0.0139	11.2415	27.8122	-0.2733	-0.7423	0.6307	-0.1209	0.1919
0.22	0.5215	-9.7746	1.7479	0.0057	-0.0034	-0.0217	11.1820	28.0617	-0.1171	-0.7422	0.6306	-0.1208	0.1918
0.23	0.5390	-9.7624	1.7385	0.0045	-0.0080	-0.0174	11.1346	27.9875	-0.0551	-0.7422	0.6306	-0.1208	0.1919
0.24	0.5737	-9.7755	1.7403	0.0100	-0.0243	-0.0141	11.2561	28.1047	-0.2107	-0.7423	0.6306	-0.1207	0.1918
0.25	0.5887	-9.7794	1.7434	0.0067	-0.0232	-0.0061	11.1189	28.1105	0.0427	-0.7423	0.6306	-0.1206	0.1917
0.26	0.5993	-9.7942	1.7293	0.0046	-0.0171	-0.0075	11.1280	27.8668	0.0501	-0.7424	0.6307	-0.1206	0.1916
0.27	0.5989	-9.7887	1.7367	0.0186	-0.0145	-0.0028	10.6727	28.0000	-0.1172	-0.7424	0.6306	-0.1205	0.1916
0.28	0.5884	-9.8072	1.7346	0.0219	-0.0156	-0.0027	11.0150	27.7940	-0.1489	-0.7425	0.6306	-0.1205	0.1915
0.29	0.5758	-9.8138	1.7332	0.0173	-0.0072	-0.0059	11.3687	27.7983	-0.1252	-0.7424	0.6305	-0.1204	0.1914
0.3	0.5597	-9.8024	1.7336	0.0231	-0.0086	-0.0008	11.1200	27.8364	-0.2730	-0.7426	0.6304	-0.1204	0.1914
0.31	0.5540	-9.7813	1.7320	0.0232	-0.0075	-0.0045	11.1738	27.8789	-0.1643	-0.7427	0.6304	-0.1204	0.1914
0.32	0.5482	-9.7801	1.7426	0.0236	-0.0054	-0.0052	11.2224	27.7003	-0.1249	-0.7427	0.6303	-0.1203	0.1913
0.33	0.5374	-9.7793	1.7381	0.0228	-0.0077	-0.0042	11.2064	27.8055	-0.1306	-0.7428	0.6302	-0.1203	0.1913
0.34	0.5329	-9.7624	1.7407	0.0223	-0.0073	-0.0075	11.0664	27.8444	-0.2971	-0.7429	0.6302	-0.1203	0.1913
