time	acceleration_x	acceleration_y	acceleration_z	gyroscope_x	gyroscope_y	gyroscope_z	magnetometer_x	magnetometer_y	magnetometer_z	quaternion_w	quaternion_x	quaternion_y	quaternion_z
0	-9.1620	-0.5890	2.8472	-0.0401	-0.0247	-0.0728	36.9835	28.0932	-20.8869	0.4844	0.4330	0.4019	-0.6453
0.01	-9.1352	-0.6186	2.8621	-0.0361	-0.0284	-0.0825	36.9647	27.9653	-21.0731	0.4843	0.4328	0.4019	-0.6453
0.02	-9.1118	-0.6338	2.8693	-0.0354	-0.0351	-0.0815	37.1280	27.8923	-21.0303	0.4844	0.4327	0.4021	-0.6455
0.03	-9.0610	-0.6371	2.9041	-0.0401	-0.0423	-0.0826	37.1275	28.1520	-21.0585	0.4844	0.4324	0.4021	-0.6455
0.04	-9.0352	-0.6588	2.9021	-0.0378	-0.0418	-0.0883	37.0964	28.1894	-20.7684	0.4844	0.4322	0.4022	-0.6457
0.05	-8.9948	-0.6812	2.8935	-0.0354	-0.0386	-0.0872	37.3887	28.4575	-20.8698	0.4844	0.4319	0.4022	-0.6457
0.06	-8.9302	-0.7105	2.8905	-0.0243	-0.0402	-0.0878	37.3204	28.3813	-20.9990	0.4844	0.4317	0.4023	-0.6459
0.07	-8.8706	-0.7296	2.8904	-0.0169	-0.0194	-0.0860	37.2523	28.1036	-21.0941	0.4843	0.4316	0.4024	-0.6460
0.08	-8.8881	-0.7411	2.9035	-0.0141	0.0085	-0.0868	37.2105	28.0801	-21.0867	0.4842	0.4315	0.4024	-0.6460
0.09	-8.9794	-0.7448	2.8894	-0.0117	0.0321	-0.0855	36.9808	28.0573	-21.0525	0.4841	0.4316	0.4027	-0.6461
0.1	-9.0197	-0.7554	2.8971	-0.0021	0.0299	-0.0822	36.9949	28.1465	-21.1891	0.4838	0.4317	0.4027	-0.6460
0.11	-9.0456	-0.7629	2.9056	0.0041	0.0258	-0.0764	37.1334	28.2737	-20.7858	0.4837	0.4318	0.4029	-0.6461
0.12	-9.0463	-0.7642	2.8985	0.0035	0.0206	-0.0746	37.2283	27.9733	-20.8267	0.4835	0.4318	0.4029	-0.6460
0.13	-9.0566	-0.7556	2.9103	0.0131	0.0270	-0.0777	37.3558	28.1080	-21.1270	0.4833	0.4320	0.4030	-0.6461
0.14	-9.0740	-0.7518	2.8917	0.0117	0.0208	-0.0663	37.1047	28.1871	-21.1105	0.4831	0.4321	0.4030	-0.6461
0.15	-9.0321	-0.7605	2.8926	0.0125	0.0065	-0.0672	37.3116	28.0808	-20.9216	0.4830	0.4322	0.4030	-0.6461
0.16	-8.9712	-0.7561	2.8969	0.0119	0.0092	-0.0635	37.3280	28.2244	-21.0802	0.4829	0.4323	0.4030	-0.6462
0.17	-8.9656	-0.7422	2.8890	0.0149	0.0132	-0.0597	37.2009	28.0894	-20.9956	0.4828	0.4324	0.4029	-0.6462
0.18	-8.9800	-0.7333	2.8862	0.0126	0.0204	-0.0564	37.2538	28.3291	-20.9434	0.4827	0.4326	0.4029	-0.6463
0.19	-8.9724	-0.7258	2.8905	0.0121	0.0263	-0.0468	37.2246	28.1899	-20.9639	0.4825	0.4327	0.4029	-0.6461
0.2	-8.9915	-0.7247	2.8926	0.0115	0.0243	-0.0467	37.1316	28.2166	-20.7306	0.4825	0.4329	0.4029	-0.6462
0.21	-8.9835	-0.7069	2.8854	0.0078	0.0259	-0.0488	37.3235	28.0283	-20.9562	0.4823	0.4330	0.4029	-0.6461
0.22	-8.9551	-0.6932	2.9004	-0.0075	0.0348	-0.0471	37.2580	28.0904	-20.8973	0.4823	0.4332	0.4030	-0.6460
0.23	-8.9886	-0.6933	2.8830	-0.0134	0.0463	-0.0381	37.2108	28.2270	-20.7247	0.4822	0.4334	0.4031	-0.6459
0.24	-8.9875	-0.6714	2.8624	-0.0137	0.0445	-0.0351	37.2630	28.1984	-20.8325	0.4822	0.4336	0.4032	-0.6457
0.25	-8.9366	-0.6476	2.8943	-0.0127	0.0440	-0.0348	37.1683	28.2088	-20.8176	0.4821	0.4338	0.4033	-0.6456
0.26	-9.0143	-0.6221	2.9085	-0.0224	0.0684	-0.0350	37.1238	28.2121	-20.7360	0.4820	0.4340	0.4034	-0.6453
