onset	duration	trial_type
0	15.18	x0
15.18	1.24	x1
16.42	0.04	x2
16.46	2.72	x1
19.18	0.06	x2
19.24	0.64	x1
19.88	0.12	x2
20	0.26	x1
20.26	0.02	x2
20.28	0.18	x1
20.46	0.1	x2
20.56	0.56	x1
21.12	0.04	x2
21.16	1.16	x1
22.32	0.12	x2
22.44	1.28	x1
23.72	0.08	x2
23.8	1.4	x1
25.2	1.04	x2
26.24	0.06	x1
26.3	0.08	x2
26.38	1.5	x1
27.88	0.04	x2
27.92	0.02	x1
27.94	0.02	x2
27.96	0.02	x1
27.98	0.1	x2
28.08	1.8	x1
29.88	0.14	x2
30.02	0.2	x1
30.22	0.12	x2
30.34	0.04	x1
30.38	0.7	x2
31.08	0.02	x1
31.1	0.1	x2
31.2	0.1	x1
31.3	0.06	x2
31.36	0.14	x1
31.5	0.02	x2
31.52	0.04	x1
31.56	0.12	x2
31.68	0.22	x1
31.9	0.2	x2
32.1	0.08	x1
32.18	0.06	x2
32.24	0.04	x1
32.28	0.04	x2
32.32	0.02	x1
32.34	0.04	x2
32.38	0.48	x1
32.86	0.06	x2
32.92	0.02	x1
32.94	0.04	x2
32.98	0.1	x1
33.08	0.02	x2
33.1	0.14	x1
33.24	0.02	x2
33.26	0.16	x1
33.42	0.02	x2
33.44	0.02	x1
33.46	0.08	x2
33.54	0.26	x1
33.8	0.02	x2
33.82	0.18	x1
34	0.28	x2
34.28	0.04	x1
34.32	0.08	x2
34.4	0.16	x1
34.56	0.04	x2
34.6	0.16	x1
34.76	0.02	x2
34.78	0.1	x1
34.88	0.12	x2
35	0.5	x1
35.5	0.1	x2
35.6	0.18	x1
35.78	0.04	x2
35.82	2.06	x1
37.88	0.04	x2
37.92	0.08	x1
38	0.06	x2
38.06	0.64	x1
38.7	0.18	x2
38.88	0.4	x1
39.28	0.3	x2
39.58	0.44	x1
40.02	0.24	x2
40.26	1.08	x1
41.34	0.02	x2
41.36	0.8	x1
42.16	0.02	x2
42.18	0.18	x1
42.36	0.02	x2
42.38	0.08	x1
42.46	0.06	x2
42.52	0.06	x1
42.58	0.02	x2
42.6	0.08	x1
42.68	0.2	x2
42.88	0.02	x1
42.9	0.34	x2
43.24	0.06	x1
43.3	0.02	x2
43.32	0.86	x1
44.18	0.14	x2
44.32	0.08	x1
44.4	0.04	x2
44.44	1.46	x1
45.9	0.1	x2
46	0.44	x1
46.44	0.02	x2
46.46	0.7	x1
47.16	0.02	x2
47.18	0.18	x1
47.36	0.14	x2
47.5	0.08	x1
47.58	0.06	x2
47.64	0.12	x1
47.76	0.4	x2
48.16	0.02	x1
48.18	0.08	x2
48.26	0.16	x1
48.42	0.16	x2
48.58	1.08	x1
49.66	0.02	x2
49.68	0.04	x1
49.72	0.34	x2
50.06	0.26	x1
50.32	0.04	x2
50.36	1.08	x1
51.44	0.02	x2
51.46	1.02	x1
52.48	0.04	x2
52.52	0.32	x1
52.84	0.02	x2
52.86	0.44	x1
53.3	0.1	x2
53.4	0.88	x1
54.28	0.04	x2
54.32	0.08	x1
54.4	0.18	x2
54.58	1.34	x1
55.92	0.26	x2
56.18	1.5	x1
57.68	0.42	x2
58.1	0.04	x1
58.14	0.14	x2
58.28	0.3	x1
58.58	0.08	x2
58.66	0.06	x1
58.72	0.18	x2
58.9	0.02	x1
58.92	0.29	x2
