onset	duration	trial_type
0	15.18	x99
15.18	6.3	x5
21.48	5.26	x8
26.74	5.94	x5
32.68	6.2	x8
38.88	2.82	x5
41.7	1.88	x8
43.58	12.2	x5
55.78	1.02	x8
56.8	9.86	x5
66.66	3.2	x8
69.86	5.94	x5
75.8	2.46	x8
78.26	2.78	x5
81.04	4.24	x8
85.28	21.04	x5
106.32	1.58	x8
107.9	8.5	x5
116.4	9.58	x8
125.98	2.54	x5
128.52	2.14	x8
130.66	7.76	x5
138.42	5.2	x8
143.62	2.36	x5
145.98	1.3	x8
147.28	24.06	x5
171.34	1.26	x8
172.6	4.22	x5
176.82	0.94	x8
177.76	1.26	x5
179.02	1.1	x8
180.12	3.52	x5
183.64	4.04	x8
187.68	3.06	x5
190.74	6.84	x8
197.58	10.88	x5
208.46	1.36	x8
209.82	3.18	x5
213	1.66	x8
214.66	3.34	x5
218	2.3	x8
220.3	6.92	x5
227.22	2.02	x8
229.24	4.26	x5
233.5	1.76	x8
235.26	1.04	x5
236.3	3.06	x8
239.36	1.68	x5
241.04	0.82	x8
241.86	3	x5
244.86	5.6	x8
250.46	11.98	x5
262.44	2.62	x8
265.06	1.88	x5
266.94	3.18	x8
270.12	1.5	x5
271.62	9.18	x8
280.8	2.62	x5
283.42	1.72	x8
285.14	1.22	x5
286.36	3.14	x8
289.5	7.66	x5
297.16	4.2	x8
301.36	1.5	x5
302.86	7.2	x8
310.06	0.94	x5
311	1	x8
312	20.22	x5
332.22	1.4	x8
333.62	2.12	x5
335.74	3.12	x8
338.86	1.88	x5
340.74	5.48	x8
346.22	21.7	x5
367.92	1.4	x8
369.32	5.86	x5
