time	acceleration_x	acceleration_y	acceleration_z	gyroscope_x	gyroscope_y	gyroscope_z	magnetometer_x	magnetometer_y	magnetometer_z	quaternion_w	quaternion_x	quaternion_y	quaternion_z
0	-5.3481	-0.1266	-0.7885	-0.0125	0.0080	-0.0065	20.3631	6.4279	4.2874	-0.2756	-0.2589	-0.3267	0.2300
0.01	-10.5645	-0.2538	-1.5597	-0.0101	0.0088	-0.0099	40.0894	12.7656	8.5270	-0.5444	-0.5115	-0.6455	0.4544
0.02	-9.2968	-0.2304	-1.3790	-0.0064	0.0055	-0.0059	35.3190	11.2435	7.4851	-0.4791	-0.4501	-0.5681	0.4000
0.03	-9.9785	-0.2496	-1.4825	-0.0146	0.0133	-0.0099	38.0019	12.0571	8.0851	-0.5144	-0.4833	-0.6099	0.4294
0.04	-9.5520	-0.2417	-1.4229	-0.0098	0.0076	-0.0080	36.3362	11.5666	7.5916	-0.4926	-0.4627	-0.5840	0.4112
0.05	-9.8235	-0.2465	-1.4649	-0.0084	0.0165	-0.0106	37.5282	11.8666	7.9946	-0.5066	-0.4758	-0.6007	0.4229
0.06	-9.6592	-0.2488	-1.4480	-0.0100	0.0108	-0.0053	36.7306	11.4117	7.8388	-0.4977	-0.4675	-0.5901	0.4154
0.07	-9.7650	-0.2511	-1.4690	-0.0090	0.0055	-0.0048	37.0155	11.3566	7.8938	-0.5032	-0.4726	-0.5966	0.4200
0.08	-9.6986	-0.2497	-1.4600	-0.0057	0.0114	-0.0028	37.0150	11.4291	7.7229	-0.5000	-0.4696	-0.5929	0.4174
0.09	-9.7213	-0.2513	-1.4485	-0.0094	0.0090	-0.0074	37.3407	11.5096	7.7268	-0.5017	-0.4711	-0.5948	0.4187
0.1	-9.7205	-0.2526	-1.4639	-0.0056	0.0120	-0.0053	37.4783	11.4220	8.1055	-0.5010	-0.4705	-0.5940	0.4182
0.11	-9.7259	-0.2513	-1.4632	0.0013	0.0104	-0.0019	37.9950	11.7164	7.9355	-0.5010	-0.4705	-0.5940	0.4182
0.12	-9.7055	-0.2453	-1.4506	-0.0049	0.0115	-0.0008	37.4544	11.6939	8.0136	-0.5010	-0.4705	-0.5939	0.4182
0.13	-9.7212	-0.2408	-1.4619	-0.0094	0.0035	-0.0051	37.1184	11.8801	7.7488	-0.5010	-0.4705	-0.5939	0.4182
0.14	-9.7232	-0.2415	-1.4584	-0.0092	0.0071	-0.0018	37.0076	11.8182	7.7410	-0.5010	-0.4705	-0.5939	0.4182
0.15	-9.7430	-0.2327	-1.4866	-0.0037	0.0023	0.0008	37.0055	11.6828	8.0637	-0.5011	-0.4705	-0.5939	0.4182
0.16	-9.6823	-0.2393	-1.4340	-0.0062	-0.0037	-0.0064	37.2261	11.7095	7.5934	-0.5011	-0.4705	-0.5938	0.4182
0.17	-9.7044	-0.2333	-1.4534	-0.0067	0.0042	-0.0053	37.0020	11.6889	7.9615	-0.5011	-0.4704	-0.5938	0.4183
0.18	-9.7543	-0.2539	-1.4854	-0.0095	0.0071	-0.0038	36.9785	11.4281	7.9345	-0.5011	-0.4704	-0.5938	0.4183
0.19	-9.7019	-0.2496	-1.4312	-0.0063	-0.0025	-0.0050	36.9518	11.5593	7.9247	-0.5012	-0.4704	-0.5938	0.4183
0.2	-9.7090	-0.2583	-1.4352	-0.0038	0.0116	-0.0121	37.0393	11.7431	7.8419	-0.5012	-0.4704	-0.5938	0.4183
0.21	-9.7231	-0.2641	-1.4489	0.0003	0.0050	-0.0004	36.9966	11.6715	7.7102	-0.5012	-0.4704	-0.5938	0.4184
0.22	-9.7194	-0.2385	-1.4373	0.0022	0.0146	-0.0062	37.0439	11.7285	8.0655	-0.5011	-0.4704	-0.5937	0.4184
0.23	-9.7019	-0.2368	-1.4247	-0.0048	0.0080	-0.0031	37.1453	11.5606	7.8346	-0.5011	-0.4704	-0.5937	0.4184
0.24	-9.7238	-0.2232	-1.4351	-0.0042	0.0120	-0.0006	37.0268	11.5627	7.8749	-0.5012	-0.4704	-0.5937	0.4184
0.25	-9.7273	-0.2266	-1.4385	-0.0036	0.0097	-0.0036	37.0666	11.6653	7.9346	-0.5012	-0.4704	-0.5937	0.4184
0.26	-9.7158	-0.2189	-1.4259	-0.0064	0.0090	-0.0014	37.0632	11.4060	7.8204	-0.5012	-0.4704	-0.5937	0.4184
0.27	-9.7202	-0.2233	-1.4357	-0.0055	0.0067	0.0028	37.0387	11.5039	7.8178	-0.5012	-0.4704	-0.5937	0.4184
0.28	-9.7111	-0.2329	-1.4309	-0.0034	0.0106	-0.0096	37.1361	11.7054	7.6716	-0.5012	-0.4704	-0.5937	0.4184
