onset	duration	trial_type
0	15.18	x0
15.18	0.08	x2
15.26	0.04	x1
15.3	0.12	x2
15.42	0.1	x1
15.52	0.14	x2
15.66	1.26	x1
16.92	0.04	x2
16.96	0.16	x1
17.12	0.04	x2
17.16	0.04	x1
17.2	0.04	x2
17.24	0.12	x1
17.36	0.02	x2
17.38	0.82	x1
18.2	0.28	x2
18.48	0.34	x1
18.82	0.08	x2
18.9	1.06	x1
19.96	0.1	x2
20.06	0.2	x1
20.26	0.02	x2
20.28	0.04	x1
20.32	0.02	x2
20.34	0.02	x1
20.36	0.02	x2
20.38	0.16	x1
20.54	0.12	x2
20.66	0.02	x1
20.68	0.02	x2
20.7	0.3	x1
21	0.36	x2
21.36	0.1	x1
21.46	0.18	x2
21.64	0.16	x1
21.8	0.02	x2
21.82	0.04	x1
21.86	0.14	x2
22	0.06	x1
22.06	0.08	x2
22.14	0.06	x1
22.2	0.04	x2
22.24	0.28	x1
22.52	0.04	x2
22.56	0.02	x1
22.58	0.02	x2
22.6	0.02	x1
22.62	0.04	x2
22.66	0.06	x1
22.72	0.02	x2
22.74	0.02	x1
22.76	0.18	x2
22.94	0.26	x1
23.2	0.04	x2
23.24	1.12	x1
24.36	0.04	x2
24.4	0.08	x1
24.48	0.04	x2
24.52	0.18	x1
24.7	0.3	x2
25	0.14	x1
25.14	0.14	x2
25.28	0.08	x1
25.36	0.18	x2
25.54	2.92	x1
28.46	0.12	x2
28.58	0.02	x1
28.6	0.08	x2
28.68	0.36	x1
29.04	0.2	x2
29.24	0.54	x1
29.78	0.02	x2
29.8	0.04	x1
29.84	0.38	x2
30.22	1.44	x1
31.66	0.02	x2
31.68	0.08	x1
31.76	0.04	x2
31.8	0.04	x1
31.84	0.04	x2
31.88	0.08	x1
31.96	0.06	x2
32.02	0.06	x1
32.08	0.62	x2
32.7	0.06	x1
32.76	0.26	x2
33.02	0.14	x1
33.16	0.02	x2
33.18	0.02	x1
33.2	0.02	x2
33.22	0.06	x1
33.28	0.16	x2
33.44	0.12	x1
33.56	0.02	x2
33.58	0.04	x1
33.62	0.02	x2
33.64	0.08	x1
33.72	0.04	x2
33.76	0.66	x1
34.42	0.02	x2
34.44	0.04	x1
34.48	0.06	x2
34.54	0.76	x1
35.3	0.14	x2
35.44	0.02	x1
35.46	0.04	x2
35.5	0.44	x1
35.94	0.08	x2
36.02	0.42	x1
36.44	0.1	x2
36.54	0.2	x1
36.74	0.02	x2
36.76	0.2	x1
36.96	0.02	x2
36.98	0.2	x1
37.18	0.34	x2
37.52	0.02	x1
37.54	0.04	x2
37.58	0.02	x1
37.6	0.04	x2
37.64	0.64	x1
38.28	0.04	x2
38.32	0.46	x1
38.78	0.2	x2
38.98	0.12	x1
39.1	0.2	x2
39.3	0.16	x1
39.46	0.44	x2
39.9	0.1	x1
40	1.2	x2
41.2	0.06	x1
41.26	0.08	x2
41.34	0.52	x1
41.86	0.38	x2
42.24	0.02	x1
42.26	0.06	x2
42.32	0.1	x1
42.42	0.3	x2
42.72	0.12	x1
42.84	0.5	x2
43.34	0.02	x1
43.36	0.26	x2
43.62	0.12	x1
43.74	0.02	x2
43.76	0.02	x1
43.78	0.92	x2
44.7	0.2	x1
44.9	0.14	x2
45.04	0.12	x1
45.16	0.02	x2
45.18	0.02	x1
45.2	0.04	x2
45.24	0.52	x1
45.76	0.4	x2
46.16	0.04	x1
46.2	0.04	x2
46.24	1.58	x1
47.82	0.02	x2
47.84	0.02	x1
47.86	0.4	x2
48.26	0.08	x1
48.34	0.06	x2
48.4	0.02	x1
48.42	0.28	x2
48.7	0.04	x1
48.74	0.14	x2
48.88	0.1	x1
48.98	0.34	x2
49.32	0.02	x1
49.34	0.02	x2
49.36	0.2	x1
49.56	0.02	x2
49.58	0.2	x1
49.78	0.3	x2
50.08	0.6	x1
50.68	0.24	x2
50.92	0.02	x1
50.94	0.04	x2
50.98	0.02	x1
51	0.02	x2
51.02	0.08	x1
51.1	0.28	x2
51.38	0.12	x1
51.5	0.06	x2
51.56	0.04	x1
51.6	0.04	x2
51.64	0.1	x1
51.74	0.06	x2
51.8	0.04	x1
51.84	0.02	x2
51.86	0.06	x1
51.92	0.02	x2
51.94	0.12	x1
52.06	0.68	x2
52.74	0.26	x1
53	0.02	x2
53.02	0.54	x1
53.56	0.46	x2
54.02	0.02	x1
54.04	1.04	x2
55.08	0.24	x1
55.32	0.76	x2
56.08	0.02	x1
56.1	0.04	x2
56.14	0.04	x1
56.18	0.02	x2
56.2	0.08	x1
56.28	0.44	x2
56.72	0.06	x1
56.78	0.08	x2
56.86	0.68	x1
57.54	0.24	x2
57.78	0.7	x1
58.48	0.06	x2
58.54	0.04	x1
58.58	0.22	x2
58.8	0.64	x1
59.44	0.34	x2
59.78	0.04	x1
59.82	0.04	x2
59.86	0.32	x1
60.18	0.04	x2
60.22	0.02	x1
60.24	0.08	x2
60.32	0.06	x1
60.38	0.2	x2
60.58	0.06	x1
60.64	0.02	x2
60.66	0.74	x1
61.4	0.16	x2
61.56	0.24	x1
61.8	0.04	x2
61.84	0.06	x1
61.9	0.06	x2
61.96	0.02	x1
61.98	0.04	x2
62.02	0.08	x1
62.1	0.18	x2
62.28	0.16	x1
62.44	0.02	x2
62.46	0.2	x1
62.66	0.02	x2
62.68	0.36	x1
63.04	0.02	x2
63.06	0.22	x1
63.28	0.08	x2
63.36	0.02	x1
63.38	0.1	x2
63.48	0.06	x1
63.54	0.02	x2
63.56	0.1	x1
63.66	0.02	x2
63.68	1.08	x1
64.76	0.28	x2
65.04	0.18	x1
65.22	0.04	x2
65.26	0.44	x1
65.7	0.04	x2
65.74	0.02	x1
65.76	0.04	x2
65.8	0.02	x1
65.82	0.1	x2
65.92	0.42	x1
66.34	0.04	x2
66.38	0.1	x1
66.48	0.06	x2
66.54	0.22	x1
66.76	0.02	x2
66.78	0.6	x1
67.38	0.08	x2
67.46	0.5	x1
67.96	0.02	x2
67.98	0.08	x1
68.06	0.04	x2
68.1	0.68	x1
68.78	0.16	x2
68.94	0.1	x1
69.04	0.02	x2
69.06	0.18	x1
69.24	0.14	x2
69.38	0.06	x1
69.44	0.1	x2
69.54	0.02	x1
69.56	0.02	x2
69.58	0.68	x1
70.26	0.2	x2
70.46	0.74	x1
71.2	0.12	x2
71.32	0.38	x1
