name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	98.473	27.628	45.885	112.096	15.672	24.163	-15.672	0.366	7	4
Fp2	94.917	-38.432	47.144	112.733	-22.043	24.720	22.043	0.363	11	10
F7	52.803	72.452	37.906	97.336	53.915	22.919	-53.915	0.373	30	8
F3	68.035	51.096	90.592	124.284	36.907	46.795	-36.907	0.240	12	3
Fz	69.146	-4.513	115.684	134.850	-3.734	59.079	3.734	0.172	29	7
F4	60.553	-58.736	96.949	128.514	-44.127	48.972	44.127	0.228	32	8
F8	49.565	-78.747	42.536	102.308	-57.813	24.567	57.813	0.364	54	7
FC5	31.640	76.854	73.723	111.098	67.624	41.574	-67.624	0.269	17	9
FC1	39.911	33.370	127.498	137.703	39.899	67.803	-39.899	0.123	23	5
FC2	37.532	-37.879	130.763	141.217	-45.264	67.815	45.264	0.123	41	8
FC6	28.775	-83.786	77.578	117.756	-71.046	41.209	71.046	0.271	35	11
T7	-4.923	84.957	47.274	97.348	93.316	29.053	-93.316	0.339	48	25
C3	6.631	67.479	115.340	133.794	84.388	59.550	-84.388	0.169	24	6
Cz	7.502	-0.588	148.735	148.926	-4.482	87.104	4.482	0.016	2	1
C4	3.496	-69.425	123.563	141.774	-87.117	60.639	87.117	0.163	22	5
T8	-7.015	-95.041	48.249	106.818	-94.221	26.852	94.221	0.351	53	25
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	26	1
CP5	-32.784	80.284	86.125	122.221	112.213	44.803	-112.213	0.251	37	12
CP1	-25.614	35.746	145.371	151.877	125.623	73.169	-125.623	0.094	37	12
CP2	-29.810	-34.113	147.669	154.461	-131.149	72.945	131.149	0.095	32	8
CP6	-32.348	-85.030	94.591	131.240	-110.828	46.116	110.828	0.244	25	11
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	59	12
P7	-64.088	68.805	60.131	111.611	132.967	32.599	-132.967	0.319	27	13
P3	-59.673	56.462	115.302	141.574	136.584	54.530	-136.584	0.197	22	7
Pz	-63.398	-0.891	136.988	150.949	-179.195	65.163	179.195	0.138	25	7
P4	-63.154	-54.665	117.630	144.268	-139.121	54.622	139.121	0.197	32	8
P8	-64.308	-76.143	65.396	119.205	-130.183	33.271	130.183	0.315	37	17
EOG_VA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	9	6
O1	-101.269	30.196	70.709	127.149	163.396	33.787	-163.396	0.312	38	15
Oz	-107.040	-3.692	75.214	130.875	-178.025	35.079	178.025	0.305	46	16
O2	-102.060	-34.286	74.188	130.750	-161.431	34.569	161.431	0.308	15	9
EOG_VB	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	17	5
AF7	76.351	56.452	38.472	102.452	36.478	22.056	-36.478	0.377	34	4
AF3	88.807	32.907	77.454	122.347	20.332	39.277	-20.332	0.282	19	7
AF4	85.305	-43.340	79.377	124.322	-26.933	39.679	26.933	0.280	51	8
AF8	74.292	-62.122	42.444	105.735	-39.902	23.667	39.902	0.369	25	10
F5	62.822	64.449	63.723	110.276	45.732	35.299	-45.732	0.304	12	3
F1	69.712	27.612	109.274	132.525	21.608	55.543	-21.608	0.191	39	12
F2	67.094	-32.796	110.915	133.714	-26.049	56.047	26.049	0.189	18	3
F6	59.660	-70.656	69.544	115.706	-49.823	36.944	49.823	0.295	46	7
AFz	92.258	-5.908	85.330	125.808	-3.664	42.707	3.664	0.263	14	4
FT7	23.200	80.519	40.988	93.282	73.927	26.066	-73.927	0.355	12	999
FC3	39.038	59.455	105.401	127.154	56.711	55.988	-56.711	0.189	23	6
FC4	35.224	-66.424	109.868	133.131	-62.063	55.615	62.063	0.191	15	1
FT8	21.909	-89.583	42.765	101.656	-76.257	24.878	76.257	0.362	4	1
FCz	39.284	-3.277	135.888	141.491	-4.769	73.823	4.769	0.090	7	4
C5	0.678	82.970	79.575	114.963	89.532	43.803	-89.532	0.257	31	10
C1	9.874	38.219	139.779	145.246	75.515	74.230	-75.515	0.088	22	6
