onset	duration	trial_type
0	15.18	x0
15.18	1.02	x1
16.2	0.04	x2
16.24	0.62	x1
16.86	0.02	x2
16.88	0.1	x1
16.98	0.02	x2
17	0.04	x1
17.04	0.04	x2
17.08	0.26	x1
17.34	0.02	x2
17.36	0.02	x1
17.38	0.06	x2
17.44	0.04	x1
17.48	0.06	x2
17.54	0.72	x1
18.26	0.02	x2
18.28	0.02	x1
18.3	0.04	x2
18.34	0.24	x1
18.58	0.04	x2
18.62	0.36	x1
18.98	0.02	x2
19	0.12	x1
19.12	0.04	x2
19.16	0.02	x1
19.18	0.1	x2
19.28	0.04	x1
19.32	0.04	x2
19.36	0.14	x1
19.5	0.04	x2
19.54	0.06	x1
19.6	0.02	x2
19.62	0.76	x1
20.38	0.06	x2
20.44	0.82	x1
21.26	0.02	x2
21.28	0.06	x1
21.34	0.04	x2
21.38	0.04	x1
21.42	0.02	x2
21.44	0.14	x1
21.58	0.06	x2
21.64	0.04	x1
21.68	0.04	x2
21.72	0.02	x1
21.74	0.02	x2
21.76	0.06	x1
21.82	0.02	x2
21.84	0.02	x1
21.86	0.02	x2
21.88	0.06	x1
21.94	0.06	x2
22	0.06	x1
22.06	0.02	x2
22.08	0.1	x1
22.18	0.02	x2
22.2	0.3	x1
22.5	0.02	x2
22.52	0.34	x1
22.86	0.02	x2
22.88	0.02	x1
22.9	0.06	x2
22.96	1.64	x1
24.6	0.02	x2
24.62	0.06	x1
24.68	0.04	x2
24.72	1.58	x1
26.3	0.18	x2
26.48	1.7	x1
28.18	0.02	x2
28.2	0.74	x1
28.94	0.02	x2
28.96	0.1	x1
29.06	0.04	x2
29.1	0.14	x1
29.24	0.02	x2
29.26	0.3	x1
29.56	0.02	x2
29.58	0.18	x1
29.76	0.02	x2
29.78	0.04	x1
29.82	0.06	x2
29.88	0.16	x1
30.04	0.1	x2
30.14	0.04	x1
30.18	0.3	x2
30.48	0.06	x1
30.54	0.46	x2
31	0.28	x1
31.28	0.02	x2
31.3	0.02	x1
31.32	0.02	x2
31.34	0.08	x1
31.42	0.18	x2
31.6	0.26	x1
31.86	0.06	x2
31.92	0.12	x1
32.04	0.02	x2
32.06	0.16	x1
32.22	0.22	x2
32.44	0.72	x1
33.16	0.02	x2
33.18	0.02	x1
33.2	0.46	x2
33.66	0.02	x1
33.68	0.06	x2
33.74	0.02	x1
33.76	0.04	x2
33.8	0.02	x1
33.82	0.04	x2
33.86	0.04	x1
33.9	0.24	x2
34.14	0.02	x1
34.16	0.02	x2
34.18	0.04	x1
34.22	0.22	x2
34.44	0.02	x1
34.46	0.06	x2
34.52	0.02	x1
34.54	0.02	x2
34.56	0.02	x1
34.58	0.02	x2
34.6	0.06	x1
34.66	0.02	x2
34.68	0.06	x1
34.74	0.04	x2
34.78	1.3	x1
36.08	0.34	x2
36.42	0.18	x1
36.6	0.02	x2
36.62	0.06	x1
36.68	0.06	x2
36.74	0.02	x1
36.76	0.08	x2
36.84	0.08	x1
36.92	0.22	x2
37.14	1.68	x1
38.82	0.02	x2
38.84	0.3	x1
39.14	0.02	x2
39.16	1.2	x1
40.36	0.14	x2
40.5	0.06	x1
40.56	0.04	x2
40.6	0.06	x1
40.66	0.24	x2
40.9	0.04	x1
40.94	0.12	x2
41.06	0.04	x1
41.1	0.02	x2
41.12	0.02	x1
41.14	0.04	x2
41.18	0.02	x1
41.2	0.26	x2
41.46	0.02	x1
41.48	0.62	x2
42.1	0.38	x1
42.48	0.14	x2
42.62	0.06	x1
42.68	0.4	x2
43.08	0.2	x1
43.28	0.32	x2
43.6	0.32	x1
43.92	0.42	x2
44.34	0.04	x1
44.38	0.54	x2
44.92	0.02	x1
44.94	1.52	x2
46.46	0.02	x1
46.48	0.2	x2
46.68	0.02	x1
46.7	0.28	x2
46.98	0.02	x1
47	0.3	x2
47.3	0.22	x1
47.52	0.26	x2
47.78	0.02	x1
47.8	0.02	x2
47.82	0.04	x1
47.86	0.02	x2
47.88	0.12	x1
48	0.02	x2
48.02	0.06	x1
48.08	0.28	x2
48.36	0.02	x1
48.38	0.42	x2
48.8	0.1	x1
48.9	0.02	x2
48.92	0.12	x1
49.04	0.04	x2
49.08	0.26	x1
49.34	0.04	x2
49.38	0.1	x1
49.48	0.02	x2
49.5	0.02	x1
49.52	0.28	x2
49.8	0.02	x1
49.82	0.02	x2
49.84	0.08	x1
49.92	0.04	x2
49.96	0.12	x1
50.08	0.1	x2
50.18	0.32	x1
50.5	0.44	x2
50.94	0.12	x1
51.06	0.28	x2
51.34	0.06	x1
51.4	0.16	x2
51.56	0.08	x1
51.64	0.06	x2
51.7	0.04	x1
51.74	0.02	x2
51.76	0.02	x1
51.78	0.02	x2
51.8	0.02	x1
51.82	0.86	x2
52.68	0.06	x1
52.74	0.08	x2
52.82	0.08	x1
52.9	0.04	x2
52.94	0.02	x1
52.96	0.02	x2
52.98	0.04	x1
53.02	1.1	x2
54.12	0.02	x1
54.14	0.2	x2
54.34	0.2	x1
54.54	0.22	x2
54.76	4.36	x1
59.12	0.1	x2
59.22	0.2	x1
59.42	0.02	x2
59.44	0.04	x1
59.48	0.22	x2
59.7	0.08	x1
59.78	0.2	x2
59.98	0.1	x1
60.08	0.18	x2
60.26	0.22	x1
60.48	0.12	x2
60.6	0.4	x1
61	0.02	x2
61.02	0.38	x1
61.4	0.02	x2
61.42	0.58	x1
62	0.06	x2
62.06	0.14	x1
62.2	0.02	x2
62.22	0.18	x1
62.4	0.02	x2
62.42	0.04	x1
62.46	0.04	x2
62.5	0.34	x1
62.84	0.04	x2
62.88	0.02	x1
62.9	0.06	x2
62.96	0.12	x1
63.08	0.06	x2
63.14	0.52	x1
63.66	0.02	x2
63.68	0.02	x1
63.7	0.14	x2
63.84	1.44	x1
65.28	0.02	x2
65.3	0.08	x1
65.38	0.02	x2
65.4	0.14	x1
65.54	0.02	x2
65.56	0.56	x1
66.12	0.02	x2
66.14	0.02	x1
66.16	0.06	x2
66.22	0.08	x1
66.3	0.02	x2
66.32	0.06	x1
66.38	0.02	x2
66.4	0.2	x1
66.6	0.04	x2
66.64	0.16	x1
66.8	0.02	x2
66.82	0.02	x1
66.84	0.02	x2
66.86	0.02	x1
66.88	0.02	x2
66.9	0.1	x1
67	0.12	x2
67.12	0.14	x1
67.26	0.02	x2
67.28	0.22	x1
67.5	0.02	x2
67.52	0.5	x1
68.02	0.02	x2
68.04	0.14	x1
68.18	0.04	x2
68.22	0.02	x1
68.24	0.02	x2
68.26	0.08	x1
68.34	0.02	x2
68.36	0.1	x1
68.46	0.02	x2
68.48	0.48	x1
68.96	0.02	x2
68.98	0.06	x1
69.04	0.16	x2
69.2	0.04	x1
69.24	0.02	x2
69.26	0.42	x1
