onset	duration	trial_type
0	15.18	x0
15.18	0.24	x1
15.42	0.06	x2
15.48	0.02	x1
15.5	0.02	x2
15.52	0.02	x1
15.54	0.02	x2
15.56	1.92	x1
17.48	0.02	x2
17.5	0.98	x1
18.48	0.16	x2
18.64	0.48	x1
19.12	0.02	x2
19.14	0.04	x1
19.18	0.02	x2
19.2	0.36	x1
19.56	0.22	x2
19.78	0.08	x1
19.86	0.08	x2
19.94	1.14	x1
21.08	0.02	x2
21.1	0.26	x1
21.36	0.04	x2
21.4	0.24	x1
21.64	0.02	x2
21.66	0.24	x1
21.9	0.22	x2
22.12	0.26	x1
22.38	0.02	x2
22.4	3.52	x1
25.92	0.04	x2
25.96	0.08	x1
26.04	0.06	x2
26.1	0.32	x1
26.42	0.02	x2
26.44	0.02	x1
26.46	0.08	x2
26.54	0.02	x1
26.56	0.08	x2
26.64	0.06	x1
26.7	0.04	x2
26.74	0.2	x1
26.94	0.04	x2
26.98	0.02	x1
27	0.68	x2
27.68	0.08	x1
27.76	0.08	x2
27.84	0.3	x1
28.14	0.08	x2
28.22	1.04	x1
29.26	0.08	x2
29.34	0.02	x1
29.36	0.02	x2
29.38	0.08	x1
29.46	0.04	x2
29.5	1.42	x1
30.92	0.04	x2
30.96	0.7	x1
31.66	0.52	x2
32.18	0.46	x1
32.64	0.04	x2
32.68	0.18	x1
32.86	0.02	x2
32.88	0.04	x1
32.92	0.02	x2
32.94	0.2	x1
33.14	0.04	x2
33.18	0.24	x1
33.42	0.1	x2
33.52	0.18	x1
33.7	0.16	x2
33.86	0.02	x1
33.88	0.34	x2
34.22	0.02	x1
34.24	0.06	x2
34.3	0.02	x1
34.32	0.06	x2
34.38	0.22	x1
34.6	0.02	x2
34.62	1.08	x1
35.7	0.06	x2
35.76	0.12	x1
35.88	0.06	x2
35.94	0.04	x1
35.98	0.02	x2
36	0.2	x1
36.2	0.02	x2
36.22	0.08	x1
36.3	0.04	x2
36.34	1.48	x1
37.82	0.04	x2
37.86	0.06	x1
37.92	0.02	x2
37.94	0.02	x1
37.96	0.04	x2
38	0.54	x1
38.54	0.1	x2
38.64	0.18	x1
38.82	0.06	x2
38.88	0.02	x1
38.9	0.14	x2
39.04	0.84	x1
39.88	0.02	x2
39.9	0.46	x1
40.36	0.14	x2
40.5	0.14	x1
40.64	0.16	x2
40.8	0.1	x1
40.9	0.02	x2
40.92	0.54	x1
41.46	0.02	x2
41.48	0.06	x1
41.54	0.1	x2
41.64	0.26	x1
41.9	0.08	x2
41.98	0.08	x1
42.06	0.04	x2
42.1	0.6	x1
42.7	0.04	x2
42.74	0.54	x1
43.28	0.04	x2
43.32	0.04	x1
43.36	0.18	x2
43.54	0.08	x1
43.62	0.04	x2
43.66	0.12	x1
43.78	0.02	x2
43.8	0.22	x1
44.02	0.06	x2
44.08	0.2	x1
44.28	0.2	x2
44.48	0.04	x1
44.52	0.02	x2
44.54	0.08	x1
44.62	0.1	x2
44.72	0.08	x1
44.8	0.04	x2
44.84	0.08	x1
44.92	0.12	x2
45.04	0.22	x1
45.26	0.02	x2
45.28	0.12	x1
45.4	0.04	x2
45.44	0.34	x1
45.78	0.12	x2
45.9	0.4	x1
46.3	0.12	x2
46.42	0.28	x1
46.7	0.02	x2
46.72	1.38	x1
48.1	0.04	x2
48.14	0.98	x1
49.12	0.02	x2
49.14	0.06	x1
49.2	0.02	x2
49.22	0.04	x1
49.26	0.02	x2
49.28	0.04	x1
49.32	0.02	x2
49.34	0.88	x1
50.22	0.08	x2
50.3	0.1	x1
50.4	0.18	x2
50.58	0.06	x1
50.64	0.1	x2
50.74	0.08	x1
50.82	0.02	x2
50.84	0.16	x1
51	0.08	x2
51.08	0.02	x1
51.1	0.02	x2
51.12	0.14	x1
51.26	0.22	x2
51.48	0.06	x1
51.54	0.06	x2
51.6	0.26	x1
51.86	0.08	x2
51.94	0.06	x1
52	0.06	x2
52.06	0.14	x1
52.2	0.06	x2
52.26	0.26	x1
52.52	0.02	x2
52.54	0.2	x1
52.74	0.04	x2
52.78	0.04	x1
52.82	0.06	x2
52.88	0.02	x1
52.9	0.28	x2
53.18	0.48	x1
53.66	0.16	x2
53.82	0.14	x1
53.96	0.38	x2
54.34	0.78	x1
55.12	0.04	x2
55.16	0.1	x1
55.26	0.02	x2
55.28	0.36	x1
55.64	0.04	x2
55.68	0.16	x1
55.84	0.02	x2
55.86	0.1	x1
55.96	0.04	x2
56	0.26	x1
56.26	0.02	x2
56.28	0.04	x1
56.32	0.2	x2
56.52	0.26	x1
56.78	0.28	x2
57.06	1.32	x1
58.38	0.24	x2
58.62	0.36	x1
58.98	0.04	x2
59.02	0.04	x1
59.06	0.14	x2
59.2	0.01	x1
