onset	duration	trial_type
0	15.18	x0
15.18	0.36	x1
15.54	0.12	x2
15.66	0.84	x1
16.5	0.36	x2
16.86	3.92	x1
20.78	0.02	x2
20.8	2.3	x1
23.1	0.02	x2
23.12	0.8	x1
23.92	0.02	x2
23.94	0.04	x1
23.98	0.06	x2
24.04	0.06	x1
24.1	0.04	x2
24.14	0.04	x1
24.18	0.02	x2
24.2	0.1	x1
24.3	0.04	x2
24.34	1.76	x1
26.1	0.02	x2
26.12	0.18	x1
26.3	0.02	x2
26.32	1.46	x1
27.78	0.06	x2
27.84	0.42	x1
28.26	0.02	x2
28.28	0.22	x1
28.5	0.06	x2
28.56	0.16	x1
28.72	0.04	x2
28.76	0.12	x1
28.88	0.08	x2
28.96	0.2	x1
29.16	0.02	x2
29.18	0.28	x1
29.46	0.04	x2
29.5	0.82	x1
30.32	0.04	x2
30.36	0.02	x1
30.38	0.02	x2
30.4	0.66	x1
31.06	0.04	x2
31.1	0.16	x1
31.26	0.28	x2
31.54	0.3	x1
31.84	0.02	x2
31.86	0.74	x1
32.6	0.04	x2
32.64	0.36	x1
33	0.08	x2
33.08	0.42	x1
33.5	0.06	x2
33.56	0.04	x1
33.6	0.02	x2
33.62	0.02	x1
33.64	0.16	x2
33.8	0.12	x1
33.92	0.18	x2
34.1	0.46	x1
34.56	0.02	x2
34.58	0.06	x1
34.64	0.18	x2
34.82	0.3	x1
35.12	0.12	x2
35.24	0.04	x1
35.28	0.1	x2
35.38	0.52	x1
35.9	0.02	x2
35.92	0.58	x1
36.5	0.12	x2
36.62	0.02	x1
36.64	0.06	x2
36.7	0.28	x1
36.98	0.02	x2
37	0.36	x1
37.36	0.02	x2
37.38	0.02	x1
37.4	0.02	x2
37.42	0.12	x1
37.54	0.08	x2
37.62	0.24	x1
37.86	0.06	x2
37.92	0.52	x1
38.44	0.04	x2
38.48	0.02	x1
38.5	0.48	x2
38.98	0.9	x1
39.88	0.12	x2
40	0.02	x1
40.02	0.06	x2
40.08	0.06	x1
40.14	0.02	x2
40.16	0.28	x1
40.44	0.28	x2
40.72	0.02	x1
40.74	0.04	x2
40.78	0.12	x1
40.9	0.04	x2
40.94	0.1	x1
41.04	0.24	x2
41.28	0.06	x1
41.34	0.14	x2
41.48	0.02	x1
41.5	0.06	x2
41.56	0.04	x1
41.6	0.02	x2
41.62	0.64	x1
42.26	0.06	x2
42.32	0.02	x1
42.34	0.14	x2
42.48	0.02	x1
42.5	0.06	x2
42.56	0.28	x1
42.84	0.04	x2
42.88	0.04	x1
42.92	0.02	x2
42.94	0.04	x1
42.98	0.1	x2
43.08	0.9	x1
43.98	0.04	x2
44.02	0.08	x1
44.1	0.06	x2
44.16	0.3	x1
44.46	0.04	x2
44.5	0.1	x1
44.6	0.04	x2
44.64	0.88	x1
45.52	0.04	x2
45.56	0.68	x1
46.24	0.02	x2
46.26	0.02	x1
46.28	0.04	x2
46.32	0.02	x1
46.34	0.1	x2
46.44	0.02	x1
46.46	0.24	x2
46.7	0.08	x1
46.78	0.14	x2
46.92	0.02	x1
46.94	0.1	x2
47.04	0.08	x1
47.12	0.02	x2
47.14	0.04	x1
47.18	0.14	x2
47.32	0.02	x1
47.34	0.02	x2
47.36	1.36	x1
48.72	0.02	x2
48.74	0.02	x1
48.76	0.04	x2
48.8	0.52	x1
49.32	0.02	x2
49.34	1	x1
50.34	0.1	x2
50.44	1.56	x1
52	0.04	x2
52.04	0.04	x1
52.08	0.04	x2
52.12	1.94	x1
54.06	0.04	x2
54.1	0.02	x1
54.12	0.06	x2
54.18	0.02	x1
54.2	0.12	x2
54.32	0.5	x1
54.82	0.02	x2
54.84	0.02	x1
54.86	0.14	x2
55	0.04	x1
55.04	0.02	x2
55.06	0.1	x1
55.16	0.02	x2
55.18	0.22	x1
55.4	0.1	x2
55.5	1.34	x1
56.84	0.12	x2
56.96	0.02	x1
56.98	0.04	x2
57.02	1.14	x1
58.16	0.02	x2
58.18	0.06	x1
58.24	0.06	x2
58.3	0.91	x1
