name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	114.564	26.573	59.600	131.845	13.059	26.875	-13.059	0.351	6	8
Fp2	108.372	-44.786	54.536	129.323	-22.454	24.942	22.454	0.361	11	7
F7	61.501	72.893	66.333	116.172	49.845	34.819	-49.845	0.307	7	5
F3	78.130	47.735	112.421	144.988	31.423	50.840	-31.423	0.218	13	44
Fz	83.784	-7.813	132.423	156.897	-5.327	57.566	5.327	0.180	2	1
F4	73.990	-62.271	106.450	143.819	-40.084	47.746	40.084	0.235	3	5
F8	53.128	-79.329	52.984	109.192	-56.189	29.028	56.189	0.339	9	10
FC5	40.555	75.513	101.198	132.620	61.762	49.735	-61.762	0.224	10	9
FC1	50.520	26.636	148.547	159.148	27.800	68.970	-27.800	0.117	4	2
FC2	48.244	-44.416	143.792	158.039	-42.634	65.485	42.634	0.136	7	7
FC6	33.670	-86.666	86.483	126.981	-68.769	42.928	68.769	0.262	13	28
T7	-0.920	87.695	72.729	113.933	90.601	39.668	-90.601	0.280	1	1
C3	12.052	60.208	143.817	156.376	78.680	66.880	-78.680	0.128	1	0
Cz	17.956	-8.781	170.325	171.494	-26.059	83.307	26.059	0.037	17	13
C4	6.890	-77.569	134.673	155.567	-84.924	59.961	84.924	0.167	1	1
T8	-4.046	-91.260	56.750	107.542	-92.539	31.850	92.539	0.323	7	4
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	20	14
CP5	-28.231	76.879	114.351	140.654	110.164	54.390	-110.164	0.198	5	82
CP1	-20.389	28.300	169.377	172.931	125.771	78.364	-125.771	0.065	3	4
CP2	-21.127	-44.626	166.179	173.359	-115.333	73.452	115.333	0.092	6	4
CP6	-32.688	-86.923	102.586	138.376	-110.609	47.847	110.609	0.234	3	1
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	23	16
P7	-63.071	72.751	86.090	129.159	130.924	41.801	-130.924	0.268	18	999
P3	-61.201	46.819	140.259	160.031	142.584	61.217	-142.584	0.160	3	1
Pz	-63.127	-8.002	158.100	170.425	-172.776	68.076	172.776	0.122	2	2
P4	-59.546	-62.097	133.027	158.423	-133.799	57.108	133.799	0.183	11	9
P8	-64.475	-77.839	77.373	127.289	-129.635	37.434	129.635	0.292	17	6
EOG_VA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	0
