onset	duration	trial_type
0	15.18	x0
15.18	0.1	x1
15.28	0.06	x2
15.34	0.94	x1
16.28	1.52	x2
17.8	0.12	x1
17.92	0.14	x2
18.06	0.54	x1
18.6	0.1	x2
18.7	0.42	x1
19.12	0.04	x2
19.16	0.08	x1
19.24	0.06	x2
19.3	0.24	x1
19.54	0.58	x2
20.12	0.04	x1
20.16	0.14	x2
20.3	0.02	x1
20.32	0.06	x2
20.38	0.18	x1
20.56	1.18	x2
21.74	0.44	x1
22.18	0.02	x2
22.2	0.82	x1
23.02	0.24	x2
23.26	0.22	x1
23.48	0.12	x2
23.6	0.28	x1
23.88	0.34	x2
24.22	0.74	x1
24.96	0.34	x2
25.3	0.08	x1
25.38	0.02	x2
25.4	0.02	x1
25.42	0.02	x2
25.44	0.12	x1
25.56	0.02	x2
25.58	0.22	x1
25.8	0.34	x2
26.14	0.24	x1
26.38	0.58	x2
26.96	0.08	x1
27.04	0.14	x2
27.18	0.04	x1
27.22	0.56	x2
27.78	0.44	x1
28.22	0.16	x2
28.38	0.4	x1
28.78	0.22	x2
29	0.02	x1
29.02	0.06	x2
29.08	0.2	x1
29.28	0.14	x2
29.42	0.02	x1
29.44	0.38	x2
29.82	0.12	x1
29.94	0.3	x2
30.24	0.1	x1
30.34	0.28	x2
30.62	0.16	x1
30.78	0.04	x2
30.82	0.04	x1
30.86	0.2	x2
31.06	0.04	x1
31.1	0.2	x2
31.3	0.02	x1
31.32	0.1	x2
31.42	0.04	x1
31.46	0.5	x2
31.96	0.16	x1
32.12	0.64	x2
32.76	0.28	x1
33.04	0.16	x2
33.2	0.14	x1
33.34	0.14	x2
33.48	0.14	x1
33.62	0.3	x2
33.92	0.04	x1
33.96	0.04	x2
34	0.5	x1
34.5	0.22	x2
34.72	0.12	x1
34.84	0.08	x2
34.92	0.64	x1
35.56	0.06	x2
35.62	0.02	x1
35.64	0.68	x2
36.32	0.08	x1
36.4	0.32	x2
36.72	0.72	x1
37.44	0.06	x2
37.5	0.12	x1
37.62	0.8	x2
38.42	0.04	x1
38.46	0.64	x2
39.1	0.34	x1
39.44	0.18	x2
39.62	0.76	x1
40.38	0.2	x2
40.58	0.42	x1
41	0.28	x2
41.28	0.06	x1
41.34	0.06	x2
41.4	0.02	x1
41.42	0.46	x2
41.88	0.12	x1
42	0.02	x2
42.02	0.16	x1
42.18	0.04	x2
42.22	0.02	x1
42.24	0.1	x2
42.34	0.06	x1
42.4	1.24	x2
43.64	0.18	x1
43.82	0.44	x2
44.26	0.06	x1
44.32	0.44	x2
44.76	0.12	x1
44.88	0.06	x2
44.94	0.06	x1
45	0.14	x2
45.14	0.16	x1
45.3	0.18	x2
45.48	0.16	x1
45.64	0.04	x2
45.68	0.38	x1
46.06	0.4	x2
46.46	1.04	x1
47.5	2.14	x2
49.64	0.4	x1
50.04	0.36	x2
50.4	0.34	x1
50.74	1.38	x2
52.12	0.14	x1
52.26	0.46	x2
52.72	0.32	x1
53.04	0.04	x2
53.08	0.08	x1
53.16	0.04	x2
53.2	0.2	x1
53.4	0.02	x2
53.42	0.06	x1
53.48	0.64	x2
54.12	0.26	x1
54.38	0.18	x2
54.56	0.76	x1
55.32	0.1	x2
55.42	1.1	x1
56.52	0.02	x2
56.54	0.18	x1
56.72	0.02	x2
56.74	0.06	x1
56.8	0.18	x2
56.98	0.16	x1
57.14	0.06	x2
57.2	0.34	x1
57.54	0.22	x2
57.76	0.1	x1
57.86	0.04	x2
57.9	0.44	x1
58.34	0.1	x2
58.44	0.08	x1
58.52	0.18	x2
58.7	0.06	x1
58.76	0.12	x2
58.88	0.56	x1
59.44	0.1	x2
59.54	0.06	x1
59.6	0.08	x2
59.68	0.1	x1
59.78	0.66	x2
60.44	0.16	x1
60.6	0.24	x2
60.84	0.54	x1
