name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	100.629	28.853	34.396	110.190	15.999	18.189	-15.999	0.399	3	0
Fp2	99.862	-35.934	34.216	111.510	-19.791	17.869	19.791	0.401	4	6
F7	58.159	76.492	41.458	104.653	52.753	23.338	-52.753	0.370	11	6
F3	73.149	50.299	87.255	124.476	34.513	44.506	-34.513	0.253	11	6
Fz	77.187	-5.983	107.562	132.526	-4.432	54.255	4.432	0.199	1	0
F4	73.429	-55.805	85.444	125.724	-37.235	42.813	37.235	0.262	0	0
F8	55.288	-83.321	37.398	106.760	-56.433	20.505	56.433	0.386	14	12
FC5	38.382	77.637	74.940	114.528	63.693	40.870	-63.693	0.273	4	1
FC1	45.393	31.551	124.861	136.551	34.801	66.119	-34.801	0.133	14	4
FC2	45.221	-40.521	122.455	136.682	-41.862	63.625	41.862	0.147	7	2
FC6	35.886	-87.375	69.984	117.558	-67.672	36.535	67.672	0.297	11	7
T7	-3.065	89.973	48.571	102.292	91.951	28.348	-91.951	0.343	10	3
C3	9.674	62.385	114.983	131.174	81.185	61.231	-81.185	0.160	10	2
Cz	12.713	-5.360	146.365	147.014	-22.862	84.615	22.862	0.030	15	5
C4	9.160	-73.398	109.713	132.318	-82.886	56.012	82.886	0.189	10	2
T8	-3.654	-99.005	43.348	108.141	-92.114	23.631	92.114	0.369	8	4
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	13	6
CP5	-29.723	77.519	84.557	118.501	110.978	45.525	-110.978	0.247	16	5
CP1	-23.773	31.168	142.591	147.881	127.334	74.629	-127.334	0.085	4	1
CP2	-24.735	-40.849	140.544	148.435	-121.196	71.233	121.196	0.104	12	4
CP6	-28.348	-86.718	85.735	125.197	-108.103	43.220	108.103	0.260	16	4
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	10	5
P7	-62.419	69.744	57.230	109.707	131.828	31.444	-131.828	0.325	5	0
P3	-61.855	49.421	110.703	136.102	141.376	54.428	-141.376	0.198	1	0
