name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	106.811	35.407	38.129	118.811	18.340	18.718	-18.340	0.396	0	4
Fp2	101.723	-37.295	39.044	115.165	-20.135	19.818	20.135	0.390	0	12
F7	57.734	81.906	40.608	108.124	54.821	22.060	-54.821	0.377	6	6
F3	71.828	55.285	90.895	128.365	37.585	45.080	-37.585	0.250	5	10
Fz	80.074	-0.166	114.745	139.922	-0.119	55.091	0.119	0.194	7	6
F4	69.477	-57.436	91.009	128.096	-39.580	45.274	39.580	0.248	7	0
F8	50.564	-82.236	38.861	104.065	-58.414	21.927	58.414	0.378	6	6
FC5	36.362	86.748	73.965	119.659	67.258	38.180	-67.258	0.288	14	10
FC1	44.254	38.611	128.964	141.707	41.104	65.516	-41.104	0.136	6	3
FC2	43.396	-35.533	131.152	142.642	-39.311	66.846	39.311	0.129	9	2
FC6	31.843	-87.155	74.226	118.825	-69.930	38.658	69.930	0.285	17	34
T7	-1.952	98.471	42.530	107.281	91.136	23.356	-91.136	0.370	2	6
C3	5.137	73.026	116.251	137.381	85.976	57.800	-85.976	0.179	6	2
Cz	6.705	1.092	148.258	148.414	9.248	87.377	-9.248	0.015	8	3
C4	0.936	-70.764	116.306	136.146	-89.242	58.680	89.242	0.174	0	16
T8	-10.016	-95.661	43.199	105.439	-95.977	24.186	95.977	0.366	16	8
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	1
CP5	-36.750	93.440	80.530	128.711	111.470	38.731	-111.470	0.285	9	9
CP1	-32.088	38.920	143.292	151.912	129.504	70.607	-129.504	0.108	7	0
CP2	-33.473	-32.235	143.826	151.147	-136.080	72.094	136.080	0.099	9	0
CP6	-41.842	-85.396	81.403	125.179	-116.104	40.564	116.104	0.275	8	8
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	4
P7	-69.769	86.635	50.440	122.138	128.845	24.392	-128.845	0.364	7	12
P3	-73.352	64.993	109.440	146.907	138.458	48.155	-138.458	0.232	13	10
Pz	-73.036	3.846	133.473	152.197	176.986	61.279	-176.986	0.160	14	20
P4	-75.421	-54.582	106.534	141.481	-144.107	48.850	144.107	0.229	5	9
P8	-72.365	-76.877	51.428	117.437	-133.268	25.971	133.268	0.356	4	7
EOG_VA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	1
O1	-113.871	39.022	63.105	135.910	161.084	27.666	-161.084	0.346	8	9
Oz	-117.920	6.869	65.902	135.261	176.666	29.158	-176.666	0.338	10	9
O2	-113.775	-26.782	65.148	133.814	-166.754	29.134	166.754	0.338	15	12
EOG_VB	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	1
AF7	84.279	66.111	40.510	114.519	38.112	20.716	-38.112	0.385	5	2
AF3	97.217	35.934	73.699	127.177	20.286	35.415	-20.286	0.303	3	5
AF4	96.124	-37.586	72.482	126.119	-21.356	35.079	21.356	0.305	1	12
AF8	79.335	-63.965	39.761	109.391	-38.878	21.314	38.878	0.382	0	13
F5	65.965	73.639	65.755	118.734	48.147	33.628	-48.147	0.313	1	6
F1	76.410	33.605	108.471	136.871	23.740	52.420	-23.740	0.209	16	15
F2	75.663	-32.543	109.826	137.279	-23.273	53.132	23.273	0.205	6	1
F6	63.233	-74.507	64.769	117.238	-49.679	33.536	49.679	0.314	1	5
AFz	102.572	-0.857	80.948	130.669	-0.479	38.279	0.479	0.287	2	6
FT7	27.590	92.542	42.241	105.401	73.399	23.626	-73.399	0.369	10	8
FC3	42.117	66.869	105.455	131.780	57.796	53.152	-57.796	0.205	3	12
FC4	36.975	-68.026	108.054	132.930	-61.474	54.377	61.474	0.198	10	30
FT8	21.476	-91.468	42.120	102.964	-76.787	24.147	76.787	0.366	7	9
FCz	46.944	-0.205	136.524	144.370	-0.251	71.024	0.251	0.105	2	10
C5	-0.713	94.170	77.949	122.248	90.434	39.616	-90.434	0.280	16	18
C1	5.855	39.786	140.000	145.661	81.628	73.973	-81.628	0.089	5	2
C2	8.156	-34.428	141.634	145.986	-76.672	75.974	76.672	0.078	5	19
C6	-3.681	-92.126	80.766	122.572	-92.288	41.218	92.288	0.271	4	21
TP7	-39.389	96.713	45.874	114.059	112.160	23.715	-112.160	0.368	1	4
CP3	-33.150	74.587	118.429	143.831	113.962	55.425	-113.962	0.192	2	6
CPz	-34.575	4.528	148.645	152.680	172.539	76.798	-172.539	0.073	9	2
CP4	-37.607	-66.854	118.664	141.298	-119.359	57.121	119.359	0.183	10	2
TP8	-46.317	-88.492	46.277	110.080	-117.628	24.859	117.628	0.362	1	10
P5	-71.344	81.786	80.074	134.873	131.099	36.420	-131.099	0.298	22	14
P1	-71.811	37.859	128.794	152.244	152.202	57.777	-152.202	0.179	6	3
P2	-70.526	-27.687	130.808	151.166	-158.566	59.920	158.566	0.167	7	8
P6	-73.881	-70.501	79.712	129.548	-136.341	37.974	136.341	0.289	1	9
PO7	-95.467	67.561	54.517	129.037	144.713	24.992	-144.713	0.361	15	14
PO3	-101.764	41.771	96.029	146.021	157.684	41.120	-157.684	0.272	16	8
POz	-101.529	5.167	104.237	145.603	177.087	45.717	-177.087	0.246	5	9
PO4	-100.297	-31.387	97.947	143.660	-162.623	42.984	162.623	0.261	16	10
PO8	-96.662	-56.969	55.355	125.112	-149.486	26.260	149.486	0.354	0	18
Ref	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	11	5
Gnd	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	31	24
LPA	0.000	95.117	0.000	95.117	90.000	0.000	-90.000	0.500	n/a	n/a
RPA	0.000	-91.466	0.000	91.466	-90.000	0.000	90.000	0.500	n/a	n/a
Nz	106.161	-0.000	0.000	106.161	-0.000	0.000	0.000	0.500	n/a	n/a
