onset	duration	trial_type
0	15.18	x0
15.18	0.1	x1
15.28	0.02	x2
15.3	0.08	x1
15.38	0.04	x2
15.42	0.1	x1
15.52	0.02	x2
15.54	0.02	x1
15.56	0.02	x2
15.58	1.96	x1
17.54	0.04	x2
17.58	0.02	x1
17.6	0.16	x2
17.76	0.02	x1
17.78	0.04	x2
17.82	0.5	x1
18.32	0.02	x2
18.34	0.02	x1
18.36	0.02	x2
18.38	1.2	x1
19.58	0.94	x2
20.52	0.1	x1
20.62	0.02	x2
20.64	0.02	x1
20.66	0.04	x2
20.7	0.56	x1
21.26	0.04	x2
21.3	0.14	x1
21.44	0.16	x2
21.6	0.34	x1
21.94	0.02	x2
21.96	0.12	x1
22.08	0.06	x2
22.14	0.6	x1
22.74	0.04	x2
22.78	1.08	x1
23.86	0.56	x2
24.42	0.22	x1
24.64	0.1	x2
24.74	0.08	x1
24.82	0.04	x2
24.86	0.1	x1
24.96	0.04	x2
25	0.18	x1
25.18	0.14	x2
25.32	0.02	x1
25.34	0.02	x2
25.36	0.4	x1
25.76	0.04	x2
25.8	0.08	x1
25.88	0.28	x2
26.16	0.14	x1
26.3	0.06	x2
26.36	0.02	x1
26.38	0.06	x2
26.44	0.06	x1
26.5	0.06	x2
26.56	0.02	x1
26.58	0.44	x2
27.02	0.62	x1
27.64	0.42	x2
28.06	0.76	x1
28.82	0.34	x2
29.16	0.02	x1
29.18	0.32	x2
29.5	0.24	x1
29.74	0.18	x2
29.92	0.1	x1
30.02	0.16	x2
30.18	0.78	x1
30.96	0.04	x2
31	0.04	x1
31.04	0.02	x2
31.06	0.04	x1
31.1	0.02	x2
31.12	0.3	x1
31.42	0.44	x2
31.86	0.6	x1
32.46	0.58	x2
33.04	0.22	x1
33.26	0.72	x2
33.98	0.04	x1
34.02	0.32	x2
34.34	0.06	x1
34.4	0.54	x2
34.94	0.02	x1
34.96	0.42	x2
35.38	0.04	x1
35.42	0.06	x2
35.48	0.04	x1
35.52	0.02	x2
35.54	0.1	x1
35.64	0.04	x2
35.68	0.76	x1
36.44	0.08	x2
36.52	0.12	x1
36.64	2.92	x2
39.56	0.08	x1
39.64	2.58	x2
42.22	0.36	x1
42.58	1.88	x2
44.46	0.02	x1
44.48	1.9	x2
46.38	0.02	x1
46.4	0.64	x2
47.04	0.02	x1
47.06	0.02	x2
47.08	0.1	x1
47.18	0.42	x2
47.6	0.14	x1
47.74	0.02	x2
47.76	0.04	x1
47.8	0.06	x2
47.86	0.1	x1
47.96	1.82	x2
49.78	0.12	x1
49.9	0.24	x2
50.14	0.26	x1
50.4	0.1	x2
50.5	0.1	x1
50.6	0.3	x2
50.9	0.22	x1
51.12	0.14	x2
51.26	0.22	x1
51.48	0.3	x2
51.78	0.1	x1
51.88	0.28	x2
52.16	0.16	x1
52.32	1.02	x2
53.34	0.16	x1
53.5	0.06	x2
53.56	0.22	x1
53.78	0.02	x2
53.8	0.08	x1
53.88	0.22	x2
54.1	0.18	x1
54.28	0.04	x2
54.32	0.02	x1
54.34	0.06	x2
54.4	0.02	x1
54.42	0.18	x2
54.6	0.2	x1
54.8	0.04	x2
54.84	0.04	x1
54.88	0.56	x2
55.44	0.26	x1
55.7	0.24	x2
55.94	0.12	x1
56.06	1.1	x2
57.16	0.04	x1
57.2	0.88	x2
58.08	0.28	x1
58.36	0.06	x2
58.42	0.16	x1
58.58	0.14	x2
58.72	0.18	x1
58.9	0.08	x2
58.98	0.16	x1
59.14	0.14	x2
59.28	0.14	x1
59.42	1.62	x2
61.04	0.06	x1
61.1	0.04	x2
61.14	0.24	x1
61.38	0.02	x2
61.4	0.08	x1
61.48	0.02	x2
61.5	0.18	x1
61.68	1.62	x2
63.3	0.16	x1
63.46	0.68	x2
64.14	0.02	x1
64.16	0.46	x2
64.62	0.52	x1
65.14	0.5	x2
65.64	0.02	x1
65.66	0.56	x2
66.22	0.1	x1
66.32	0.18	x2
66.5	0.02	x1
66.52	0.28	x2
66.8	0.36	x1
67.16	0.26	x2
67.42	0.54	x1
67.96	0.26	x2
68.22	0.06	x1
68.28	0.02	x2
68.3	0.02	x1
68.32	0.22	x2
68.54	0.04	x1
68.58	0.54	x2
69.12	0.08	x1
69.2	0.22	x2
69.42	0.1	x1
69.52	0.14	x2
69.66	0.04	x1
69.7	0.02	x2
69.72	0.02	x1
69.74	0.04	x2
69.78	0.02	x1
69.8	0.2	x2
70	0.16	x1
70.16	0.26	x2
70.42	0.08	x1
70.5	0.34	x2
70.84	0.56	x1
71.4	0.48	x2
71.88	0.14	x1
72.02	0.04	x2
72.06	0.02	x1
72.08	0.02	x2
72.1	0.06	x1
72.16	0.02	x2
72.18	0.04	x1
72.22	0.16	x2
72.38	0.02	x1
72.4	0.34	x2
72.74	0.58	x1
73.32	0.12	x2
73.44	0.04	x1
73.48	0.52	x2
74	0.04	x1
74.04	0.14	x2
74.18	0.14	x1
74.32	0.22	x2
74.54	0.14	x1
74.68	0.32	x2
75	0.1	x1
75.1	0.1	x2
75.2	0.62	x1
75.82	0.84	x2
76.66	0.01	x1
