name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	98.491	28.584	43.755	111.499	16.184	23.106	-16.184	0.372	11	6
Fp2	95.349	-41.506	47.001	114.120	-23.524	24.322	23.524	0.365	12	9
F7	53.039	69.408	40.450	96.264	52.615	24.847	-52.615	0.362	38	10
F3	69.254	48.854	91.178	124.484	35.201	47.092	-35.201	0.238	16	2
Fz	72.002	-5.508	115.677	136.366	-4.374	58.025	4.374	0.178	32	6
F4	63.547	-59.434	98.176	131.184	-43.085	48.451	43.085	0.231	19	3
F8	50.383	-80.871	43.224	104.627	-58.077	24.401	58.077	0.364	34	7
FC5	33.043	73.554	75.137	110.216	65.808	42.978	-65.808	0.261	18	3
FC1	41.783	31.201	127.042	137.328	36.750	67.683	-36.750	0.124	26	7
FC2	38.510	-40.267	131.491	142.809	-46.277	67.036	46.277	0.128	26	7
FC6	31.870	-86.899	79.385	121.939	-69.860	40.619	69.860	0.274	11	3
T7	-4.288	81.858	49.687	95.854	92.999	31.223	-92.999	0.327	0	0
C3	7.766	62.865	116.534	132.636	82.957	61.473	-82.957	0.158	30	6
Cz	8.665	-4.222	149.180	149.491	-25.975	86.303	25.975	0.021	30	6
C4	5.760	-71.910	123.823	143.305	-85.420	59.774	85.420	0.168	16	6
T8	-4.406	-97.329	50.443	109.712	-92.592	27.373	92.592	0.348	32	16
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	55	23
CP5	-31.106	75.389	87.756	119.800	112.421	47.098	-112.421	0.238	24	6
CP1	-22.430	31.576	145.369	150.440	125.388	75.081	-125.388	0.083	18	2
CP2	-28.821	-37.727	146.650	154.143	-127.378	72.061	127.378	0.100	37	5
CP6	-29.809	-88.380	96.686	134.342	-108.639	46.030	108.639	0.244	19	10
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	27	9
P7	-59.127	67.129	59.820	107.613	131.374	33.771	-131.374	0.312	23	9
P3	-56.683	49.441	117.002	139.093	138.904	57.265	-138.904	0.182	50	18
Pz	-60.988	-4.567	135.902	149.029	-175.717	65.771	175.717	0.135	31	8
P4	-61.010	-55.834	118.398	144.422	-137.536	55.065	137.536	0.194	15	7
P8	-60.449	-78.643	64.948	118.562	-127.548	33.216	127.548	0.315	19	10
EOG_VA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	1
O1	-97.170	27.482	75.480	126.073	164.208	36.777	-164.208	0.296	35	5
Oz	-103.285	-5.531	74.410	127.418	-176.935	35.731	176.935	0.301	38	8
O2	-98.498	-36.838	73.294	128.183	-159.494	34.875	159.494	0.306	43	9
EOG_VB	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	1
AF7	77.021	54.236	39.302	102.070	35.152	22.647	-35.152	0.374	8	2
AF3	91.005	32.244	77.236	123.641	19.510	38.659	-19.510	0.285	23	7
AF4	87.025	-45.479	80.558	127.009	-27.591	39.366	27.591	0.281	25	8
AF8	75.874	-64.314	42.884	108.315	-40.286	23.323	40.286	0.370	27	9
F5	64.054	62.613	64.450	110.351	44.348	35.736	-44.348	0.301	23	6
F1	71.973	25.727	108.763	132.934	19.670	54.902	-19.670	0.195	23	6
F2	69.726	-34.647	112.006	136.409	-26.423	55.195	26.423	0.193	34	8
F6	61.701	-73.757	71.134	119.612	-50.086	36.491	50.086	0.297	24	10
AFz	94.237	-8.259	86.330	128.069	-5.009	42.384	5.009	0.265	9	3
FT7	23.833	78.145	43.523	92.569	73.039	28.046	-73.039	0.344	12	3
FC3	39.654	56.458	106.063	126.528	54.917	56.957	-54.917	0.184	27	20
FC4	37.745	-68.152	111.455	135.984	-61.021	55.047	61.021	0.194	34	4
FT8	23.717	-92.009	45.064	105.161	-75.546	25.374	75.546	0.359	43	11
FCz	40.174	-4.980	136.266	142.152	-7.067	73.454	7.067	0.092	29	4
C5	1.539	79.334	81.199	113.532	88.888	45.660	-88.888	0.246	13	3
C1	11.614	33.105	140.628	144.938	70.668	75.992	-70.668	0.078	17	4
C2	7.165	-41.042	144.915	150.785	-80.098	73.960	80.098	0.089	44	5
C6	1.706	-93.702	86.523	127.551	-88.957	42.714	88.957	0.263	29	9
TP7	-34.350	77.944	55.977	101.925	113.783	33.312	-113.783	0.315	31	9
CP3	-26.107	60.278	121.340	137.980	113.418	61.571	-113.418	0.158	25	7
CPz	-27.902	-3.902	151.038	153.643	-172.039	79.434	172.039	0.059	5	2
CP4	-29.090	-68.210	128.499	148.360	-113.097	60.012	113.097	0.167	2	1
TP8	-35.350	-91.453	62.266	116.148	-111.133	32.418	111.133	0.320	43	12
P5	-58.872	62.646	89.893	124.383	133.221	46.279	-133.221	0.243	39	10
P1	-58.270	28.129	132.996	147.901	154.232	64.057	-154.232	0.144	25	5
P2	-60.448	-32.230	133.334	149.903	-151.934	62.807	151.934	0.151	33	21
P6	-60.583	-73.826	94.987	134.696	-129.373	44.845	129.373	0.251	38	10
PO7	-79.672	50.767	69.466	117.262	147.495	36.327	-147.495	0.298	33	8
PO3	-81.120	31.910	104.099	135.777	158.527	50.058	-158.527	0.222	31	13
POz	-87.897	-3.204	110.588	141.300	-177.912	51.503	177.912	0.214	14	4
PO4	-81.237	-41.775	105.131	139.274	-152.786	49.012	152.786	0.228	9	3
PO8	-83.225	-59.398	71.302	124.653	-144.484	34.890	144.484	0.306	26	6
Ref	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	13	16
Gnd	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	24	16
LPA	0.000	74.886	0.000	74.886	90.000	0.000	-90.000	0.500	n/a	n/a
RPA	0.000	-88.170	0.000	88.170	-90.000	0.000	90.000	0.500	n/a	n/a
Nz	95.571	-0.000	0.000	95.571	-0.000	0.000	0.000	0.500	n/a	n/a
