name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	104.394	35.057	31.229	114.465	18.563	15.832	-18.563	0.412	n/a	5
Fp2	104.263	-37.647	33.146	115.701	-19.854	16.647	19.854	0.408	n/a	1
F7	54.918	78.092	35.906	101.998	54.883	20.611	-54.883	0.385	n/a	6
F3	73.766	53.420	85.659	125.031	35.911	43.244	-35.911	0.260	n/a	1
Fz	86.296	-2.969	110.291	140.071	-1.970	51.943	1.970	0.211	n/a	13
F4	75.897	-60.631	85.273	129.259	-38.620	41.277	38.620	0.271	n/a	63
F8	53.269	-84.250	33.958	105.303	-57.696	18.813	57.696	0.395	n/a	9
FC5	36.389	83.414	69.223	114.341	66.431	37.258	-66.431	0.293	n/a	12
FC1	49.380	35.738	127.011	140.881	35.895	64.362	-35.895	0.142	n/a	13
FC2	52.452	-39.384	128.087	143.905	-36.901	62.884	36.901	0.151	n/a	39
FC6	36.467	-91.023	70.584	120.818	-68.167	35.747	68.167	0.301	n/a	33
T7	-4.177	93.984	38.493	101.648	92.545	22.252	-92.545	0.376	n/a	93
C3	7.752	69.045	114.013	133.515	83.594	58.642	-83.594	0.174	n/a	13
Cz	14.612	-2.853	148.157	148.903	-11.048	84.262	11.048	0.032	n/a	7
C4	8.567	-75.744	115.846	138.675	-83.547	56.655	83.547	0.185	n/a	34
T8	-6.064	-100.908	40.865	109.037	-93.439	22.011	93.439	0.378	n/a	20
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3
CP5	-35.365	88.675	79.005	123.919	111.743	39.610	-111.743	0.280	n/a	13
CP1	-29.550	35.296	142.759	149.998	129.936	72.128	-129.936	0.099	n/a	21
CP2	-27.006	-37.601	144.165	151.416	-125.687	72.197	125.687	0.099	n/a	9
CP6	-36.719	-92.266	82.551	129.136	-111.701	39.736	111.701	0.279	n/a	32
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2
