onset	duration	trial_type
0	15.18	x0
15.18	0.32	x1
15.5	0.1	x2
15.6	0.02	x1
15.62	0.28	x2
15.9	0.36	x1
16.26	0.08	x2
16.34	0.02	x1
16.36	0.1	x2
16.46	0.04	x1
16.5	0.02	x2
16.52	0.82	x1
17.34	0.14	x2
17.48	0.04	x1
17.52	0.02	x2
17.54	0.44	x1
17.98	0.18	x2
18.16	0.02	x1
18.18	0.08	x2
18.26	0.02	x1
18.28	0.02	x2
18.3	0.28	x1
18.58	0.48	x2
19.06	0.5	x1
19.56	0.08	x2
19.64	1.08	x1
20.72	0.12	x2
20.84	1.26	x1
22.1	0.02	x2
22.12	0.06	x1
22.18	0.16	x2
22.34	0.02	x1
22.36	0.02	x2
22.38	0.06	x1
22.44	0.06	x2
22.5	0.2	x1
22.7	0.26	x2
22.96	0.06	x1
23.02	0.18	x2
23.2	0.16	x1
23.36	0.16	x2
23.52	0.14	x1
23.66	0.1	x2
23.76	0.14	x1
23.9	0.48	x2
24.38	0.92	x1
25.3	0.06	x2
25.36	0.06	x1
25.42	0.22	x2
25.64	0.08	x1
25.72	0.04	x2
25.76	0.06	x1
25.82	0.06	x2
25.88	0.04	x1
25.92	0.06	x2
25.98	0.02	x1
26	0.02	x2
26.02	0.12	x1
26.14	0.04	x2
26.18	0.02	x1
26.2	0.04	x2
26.24	0.04	x1
26.28	0.02	x2
26.3	0.02	x1
26.32	0.02	x2
26.34	0.04	x1
26.38	0.04	x2
26.42	0.54	x1
26.96	0.04	x2
27	1.38	x1
28.38	0.04	x2
28.42	0.04	x1
28.46	0.02	x2
28.48	0.12	x1
28.6	0.04	x2
28.64	0.36	x1
29	0.04	x2
29.04	0.52	x1
29.56	0.04	x2
29.6	0.4	x1
30	0.02	x2
30.02	0.12	x1
30.14	0.1	x2
30.24	0.24	x1
30.48	0.06	x2
30.54	0.46	x1
31	0.08	x2
31.08	0.12	x1
31.2	0.38	x2
31.58	0.02	x1
31.6	1.56	x2
33.16	0.14	x1
33.3	0.42	x2
33.72	0.44	x1
34.16	0.3	x2
34.46	1.02	x1
35.48	0.12	x2
35.6	0.28	x1
35.88	0.28	x2
36.16	0.08	x1
36.24	0.02	x2
36.26	0.02	x1
36.28	0.06	x2
36.34	0.44	x1
36.78	0.58	x2
37.36	0.28	x1
37.64	0.06	x2
37.7	0.56	x1
38.26	0.12	x2
38.38	0.36	x1
38.74	0.02	x2
38.76	0.14	x1
38.9	0.08	x2
38.98	0.14	x1
39.12	0.48	x2
39.6	0.24	x1
39.84	0.28	x2
40.12	0.02	x1
40.14	0.04	x2
40.18	0.04	x1
40.22	0.04	x2
40.26	0.1	x1
40.36	0.24	x2
40.6	0.4	x1
41	0.06	x2
41.06	0.1	x1
41.16	0.34	x2
41.5	0.36	x1
41.86	0.32	x2
42.18	0.36	x1
42.54	0.12	x2
42.66	0.02	x1
42.68	0.16	x2
42.84	0.06	x1
42.9	0.06	x2
42.96	0.08	x1
43.04	0.02	x2
43.06	0.62	x1
43.68	0.06	x2
43.74	0.02	x1
43.76	0.32	x2
44.08	0.12	x1
44.2	0.08	x2
44.28	0.12	x1
44.4	0.36	x2
44.76	0.64	x1
45.4	0.02	x2
45.42	0.32	x1
45.74	0.58	x2
46.32	0.06	x1
46.38	0.14	x2
46.52	0.22	x1
46.74	0.22	x2
46.96	0.04	x1
47	0.02	x2
47.02	0.04	x1
47.06	0.02	x2
47.08	0.12	x1
47.2	0.12	x2
47.32	0.1	x1
47.42	0.1	x2
47.52	0.24	x1
47.76	0.02	x2
47.78	0.04	x1
47.82	0.34	x2
48.16	0.7	x1
48.86	0.02	x2
48.88	0.66	x1
49.54	0.82	x2
50.36	0.3	x1
50.66	0.62	x2
51.28	1.28	x1
52.56	0.04	x2
52.6	0.12	x1
52.72	0.12	x2
52.84	0.34	x1
53.18	0.04	x2
53.22	0.24	x1
53.46	0.12	x2
53.58	0.16	x1
53.74	0.04	x2
53.78	0.14	x1
53.92	0.06	x2
53.98	0.04	x1
54.02	0.04	x2
54.06	0.46	x1
54.52	0.06	x2
54.58	0.1	x1
54.68	0.16	x2
54.84	0.04	x1
54.88	0.06	x2
54.94	0.22	x1
55.16	0.06	x2
55.22	0.02	x1
55.24	0.08	x2
55.32	0.02	x1
55.34	0.14	x2
55.48	1.84	x1
57.32	0.06	x2
57.38	0.06	x1
57.44	0.06	x2
57.5	0.58	x1
58.08	0.06	x2
58.14	0.2	x1
58.34	0.02	x2
58.36	0.08	x1
58.44	0.04	x2
58.48	0.6	x1
59.08	0.04	x2
59.12	0.06	x1
59.18	0.06	x2
59.24	0.02	x1
59.26	0.04	x2
59.3	0.04	x1
59.34	0.04	x2
59.38	1.82	x1
61.2	0.02	x2
61.22	0.22	x1
61.44	0.1	x2
61.54	0.02	x1
61.56	0.04	x2
61.6	0.4	x1
62	0.04	x2
62.04	0.2	x1
62.24	0.08	x2
62.32	0.06	x1
62.38	0.08	x2
62.46	0.02	x1
62.48	0.04	x2
62.52	0.08	x1
62.6	0.04	x2
62.64	0.06	x1
62.7	0.22	x2
